"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_Set_1",1.94876721710227,0,0,452.717046263749,13.3707164114836,1.28768161503104e-05,7
"M_0.1_F_q_Set_1",1.96034131510725,0,0,447.434049642923,8.08771979065801,0.000182565110335542,7
"M_0.1_F_p_Set_1",1.96534702172485,0,0,545.496211919545,106.14988206728,9.37640888026069e-26,15
"M_0.1_F_lq_Set_1",1.96408251050982,0,0,461.464486100947,22.1181562486817,1.67451374719995e-07,11
"M_0.1_F_lp_Set_1",1.96370072225842,0,0,544.259792009956,104.913462157691,1.77729879712083e-25,15
"M_0.1_F_qp_Set_1",1.96715845534564,0,0,509.361225594809,70.0148957425437,6.80114485135004e-18,14
"M_0.1_F_lqp_Set_1",1.9678808802313,0,0,509.552962038621,70.2066321863564,6.24730120109825e-18,14
"M_0.2_F_l_Set_1",1.94780490187914,0,0,452.865582329186,13.5192524769205,1.28822830569826e-05,7
"M_0.2_F_q_Set_1",1.95972759003114,0,0,447.486684473952,8.14035462168738,0.000191766965440101,7
"M_0.2_F_p_Set_1",1.95165267565173,0,0,468.997448229499,29.6511183772344,4.13691003024608e-09,10
"M_0.2_F_lq_Set_1",1.96317536508272,0,0,466.490015018621,27.1436851663561,1.46595146926477e-08,11
"M_0.2_F_lp_Set_1",1.95444234297855,0,0,476.322146403595,36.97581655133,1.0867209586508e-10,11
"M_0.2_F_qp_Set_1",1.96338132948794,0,0,480.26517138595,40.9188415336851,1.531011220445e-11,12
"M_0.2_F_lqp_Set_1",1.96294240433838,0,0,480.642671939677,41.2963420874117,1.28275157956411e-11,12
"M_0.3_F_l_Set_1",1.94907256185601,0,0,448.45012878689,9.10379893462539,0.000127001313179983,6
"M_0.3_F_q_Set_1",1.96059411396603,0,0,447.597920117414,8.25159026514928,0.000196806164867704,7
"M_0.3_F_p_Set_1",1.94333981212658,0,0,472.198370690771,32.8520408385057,9.06657794818972e-10,10
"M_0.3_F_lq_Set_1",1.96097281712277,0,0,452.188160173253,12.8418303209884,2.03229777799501e-05,9
"M_0.3_F_lp_Set_1",1.9496493952418,0,0,479.368061961204,40.0217321089394,2.57872522224168e-11,11
"M_0.3_F_qp_Set_1",1.96097130599336,0,0,474.026679529093,34.6803496768281,3.7739784168966e-10,11
"M_0.3_F_lqp_Set_1",1.9613483743054,0,0,473.545316417461,34.1989865651959,4.86323481218202e-10,11
"M_0.4_F_l_Set_1",1.95005307718654,0,0,448.666582113232,9.3202522609667,0.000124420516541314,6
"M_0.4_F_q_Set_1",1.96118735262822,0,0,447.764984992506,8.41865514024124,0.00019784816570128,7
"M_0.4_F_p_Set_1",1.93821768417585,0,0,460.596580961171,21.2502511089061,3.27950848522183e-07,8
"M_0.4_F_lq_Set_1",1.95984740937568,0,0,455.609440696423,16.2631108441581,4.02394852870836e-06,9
"M_0.4_F_lp_Set_1",1.94979911580039,0,0,457.739052130733,18.3927222784681,1.40668059187724e-06,8
