Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.75947E-12,0.000000001,0.000000004,0.997105211,0,0
3.93265E-12,0.000000003,0.000000006,0.996705929,0,0
7.04749E-12,0.00000001,0.00000001,0.995208624,0,0
1.24423E-11,0.000000026,0.000000018,0.993611499,0,0
3.43037E-11,0.0000001,0.000000049,0.99061689,0,0
5.3403E-11,0.000000255,0.000000076,0.987222999,0,0
1.30495E-10,0.000001006,0.000000185,0.979037732,0,0
2.33088E-10,0.000002502,0.00000033,0.970652825,0,0
6.06525E-10,0.000010047,0.000000858,0.952385706,0,0
1.15E-9,0.000025064,0.000001627,0.935016969,0,0
2.02787E-9,0.000050167,0.00000287,0.918646436,0,0
3.40138E-9,0.000100273,0.000004813,0.900479138,0,0
7.9048E-9,0.000250362,0.000011186,0.872429627,0,0
1.5084E-8,0.000500928,0.000021345,0.849570773,0,0
3.02721E-8,0.001002284,0.000042837,0.82721102,0,0
7.5261E-8,0.002503601,0.000106496,0.797364743,0,0
1.401E-7,0.005007919,0.000198235,0.773308046,0,0
2.46484E-7,0.010015728,0.000348737,0.74685566,0,0
5.31282E-7,0.025038182,0.000751532,0.707626273,0,0
8.57307E-7,0.05001987,0.001212435,0.671591136,0,0
1.42787E-6,0.100132635,0.002018533,0.62657217,0,0
2.43348E-6,0.200210552,0.003437686,0.573767219,0,0
3.50997E-6,0.300105037,0.004954626,0.539828309,0,0
4.36234E-6,0.400083469,0.006154115,0.514374127,0,0
5.22029E-6,0.5002314,0.007359984,0.493411859,0,0
6.08475E-6,0.60030779,0.008573534,0.475643841,0,0
6.92388E-6,0.700382841,0.009750107,0.460271511,0,0
7.2878E-6,0.750087382,0.010259923,0.453284089,0,0
7.70881E-6,0.800332619,0.010849407,0.446596127,0,0
8.49095E-6,0.900472636,0.011943602,0.434318227,0,0
9.13801E-6,1.000218488,0.012847904,0.423038531,0,0
9.87326E-6,1.100315329,0.013874443,0.412557397,0,0
1.05602E-5,1.200544833,0.014832535,0.402775005,0,0
1.13077E-5,1.300149341,0.015874095,0.393691356,0,0
1.21635E-5,1.400438313,0.017065254,0.385206628,0,0
1.31259E-5,1.501288961,0.018403012,0.377221002,0,0
1.52111E-5,1.750721484,0.021295198,0.359652625,0,0
1.7184E-5,2.001218625,0.024023766,0.344180475,0,0
1.9239E-5,2.251195816,0.026857682,0.330405271,0,0
2.10775E-5,2.50151469,0.029386193,0.31802755,0,0
2.30794E-5,2.751539154,0.032131953,0.306747854,0,0
2.51831E-5,3.000134857,0.035008933,0.296466361,0,0
2.74576E-5,3.25221926,0.038109869,0.28688361,0,0
2.92598E-5,3.502235588,0.040559938,0.278099421,0,0
3.1541E-5,3.750673093,0.043652124,0.269914155,0,0
3.36171E-5,4.001627077,0.046457523,0.26222799,0,0
3.57535E-5,4.251684088,0.049336045,0.255040926,0,0
3.7762E-5,4.502170979,0.052034115,0.248253144,0,0
4.03385E-5,4.752068735,0.05548409,0.241864644,0,0
4.26939E-5,5.000283046,0.058627032,0.235875424,0,0
4.47206E-5,5.253328979,0.06132307,0.230085845,0,0
4.72729E-5,5.502229527,0.064707241,0.224695548,0,0
4.98859E-5,5.750396118,0.068159206,0.219604712,0,0
5.24026E-5,6.000807904,0.071471863,0.214713516,0,0
5.43839E-5,6.251515963,0.074071635,0.21002196,0,0
5.70321E-5,6.502445662,0.077534918,0.205530046,0,0
5.98544E-5,6.752831908,0.081211841,0.201237772,0,0
6.2396E-5,7.003334197,0.084510377,0.197145139,0,0
6.53301E-5,7.252924351,0.088303676,0.193252146,0,0
6.81009E-5,7.506015108,0.09187129,0.189458974,0,0
