Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.97122E-12,0.000000001,0.000000004,0.998203772,0,0
4.08181E-12,0.000000003,0.000000008,0.99770482,0,0
1.13064E-11,0.000000011,0.000000021,0.996507335,0,0
2.19489E-11,0.000000025,0.000000041,0.995609221,0,0
5.91796E-11,0.000000101,0.000000112,0.993812993,0,0
1.21002E-10,0.000000251,0.000000229,0.992316136,0,0
2.63937E-10,0.000001009,0.000000499,0.988224728,0,0
4.10969E-10,0.000002522,0.000000777,0.983734158,0,0
1.12479E-9,0.00001007,0.000002126,0.973954695,0,0
1.966E-9,0.000025078,0.000003716,0.964275022,0,0
3.27239E-9,0.000050168,0.000006186,0.954495559,0,0
5.11786E-9,0.000100329,0.000009675,0.942321126,0,0
9.97509E-9,0.000250512,0.000018857,0.921864085,0,0
1.71223E-8,0.000500215,0.000032367,0.903303064,0,0
3.03414E-8,0.0010012,0.000057355,0.881448957,0,0
6.65774E-8,0.002503503,0.000125849,0.849216645,0,0
1.18659E-7,0.005002757,0.000224285,0.821774274,0,0
2.21725E-7,0.010017532,0.000419056,0.792036723,0,0
4.92161E-7,0.025020111,0.000929938,0.748727672,0,0
8.42992E-7,0.050023761,0.001592306,0.710607724,0,0
1.43015E-6,0.100112778,0.002699884,0.666001397,0,0
2.48783E-6,0.200191793,0.004691901,0.614010578,0,0
3.34754E-6,0.300257289,0.006308136,0.579483086,0,0
4.16094E-6,0.400149909,0.007834902,0.552839038,0,0
5.00486E-6,0.500418464,0.009416469,0.530885141,0,0
5.83679E-6,0.600010675,0.010973107,0.5125237,0,0
6.56831E-6,0.700181095,0.012339828,0.496457439,0,0
6.9137E-6,0.750068485,0.012984493,0.489072947,0,0
7.39126E-6,0.800214828,0.013875134,0.482087616,0,0
8.17695E-6,0.900454835,0.015338683,0.469214649,0,0
9.00215E-6,1.00052843,0.016873508,0.457539168,0,0
1.00146E-5,1.100995699,0.018753279,0.446961381,0,0
1.08601E-5,1.200238978,0.020320424,0.437481289,0,0
1.15888E-5,1.300295341,0.021668937,0.42859994,0,0
1.23362E-5,1.400787714,0.023050375,0.420217543,0,0
1.30816E-5,1.501051774,0.024425868,0.412334098,0,0
1.51605E-5,1.751365084,0.028252304,0.39447161,0,0
1.72177E-5,2.001043972,0.032024002,0.379103882,0,0
1.95306E-5,2.251306717,0.036247008,0.365532382,0,0
2.15516E-5,2.500463027,0.039922012,0.353357948,0,0
2.35146E-5,2.750391808,0.043477984,0.342281209,0,0
2.53278E-5,3.002288729,0.046751038,0.332002794,0,0
2.74064E-5,3.251904142,0.050489416,0.322522702,0,0
2.97908E-5,3.50113598,0.054759617,0.313840934,0,0
3.21337E-5,3.752133065,0.058936828,0.305757908,0,0
3.38722E-5,4.003152454,0.06202441,0.298173835,0,0
3.62139E-5,4.251921029,0.066167407,0.291088714,0,0
3.79149E-5,4.500154928,0.069165325,0.284402754,0,0
4.00006E-5,4.75242301,0.072828157,0.277916376,0,0
4.23373E-5,5.003097887,0.076914612,0.271829159,0,0
4.48191E-5,5.251530337,0.081235222,0.266141104,0,0
4.73769E-5,5.500791345,0.085667007,0.26075242,0,0
4.93916E-5,5.752652483,0.089142669,0.255563317,0,0
5.23082E-5,6.002839402,0.094150693,0.250673585,0,0
5.49387E-5,6.253994141,0.09864405,0.245983435,0,0
5.72361E-5,6.500800726,0.102550187,0.241592655,0,0
5.93544E-5,6.751649392,0.106136699,0.237301667,0,0
6.12559E-5,7.004640201,0.109344022,0.233110468,0,0
6.38025E-5,7.254743867,0.11362123,0.22911885,0,0
6.63268E-5,7.501845389,0.117840957,0.225326814,0,0
6.85737E-5,7.751093596,0.121579943,0.221634567,0,0
7.10621E-5,8.002959304,0.125702422,0.218042112,0,0
7.37158E-5,8.256609118,0.130077301,0.214549446,0,0
7.56504E-5,8.50307741,0.133252871,0.211256362,0,0
7.83223E-5,8.757457698,0.137619665,0.207963277,0,0
8.04225E-5,9.004227459,0.14103665,0.204869773,0,0
8.24695E-5,9.256712127,0.14435418,0.20177627,0,0
8.49409E-5,9.508459391,0.148342369,0.198782557,0,0
8.69898E-5,9.757621021,0.151634655,0.195888634,0,0
8.9681E-5,10.00535335,0.155939565,0.193094502,0,0
9.17018E-5,10.250517065,0.15915785,0.19040016,0,0
9.49199E-5,10.502728923,0.164257545,0.187705818,0,0
9.73248E-5,10.752695228,0.168048235,0.185111266,0,0
9.99119E-5,11.009471999,0.172107094,0.182516715,0,0
1.02154E-4,11.251768285,0.175608508,0.180121744,0,0
1.0385E-4,11.509791672,0.17824704,0.177626983,0,0
1.05398E-4,11.750515879,0.180648682,0.175331803,0,0
1.08637E-4,12.008737722,0.185650938,0.172936833,0,0
1.10999E-4,12.250389008,0.189278937,0.170741443,0,0
