Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6679,1.7910,120,0.9477,10021,45.6007,0.0000,0.9103,51.9536,0.0499,1.4042,0.0813,54.1229,0.0000,1.4121,42.7151,0.7867,0.5599,0.4033,0.4746,1.6679,1.6369,0.9232,1.6664,1.6532,1.6668,0.4691,0.0835,0.0364,0.1517,0.1464,0.0168,0.0001,7.5445,0.1077,1.0000,0.0169,0.4575,0.0000,5.0000,0.0769,0.2718,0.0000,10.0000,0.1559,0.1931,0.0000,16.8342,0.2636,0.1369,0.0000,16.8342,0.2636,0.1369,0.0000,16.8504,0.2643,0.1369,0.1429,16.8342,0.2636,0.1369,0.0000,4.7444,0.0725,0.2781,0.0000,10.4178,0.1627,0.1886,0.0000
Gustavia_santanderiensis_1,21,2.0691,2.3006,120,0.9699,10021,41.5052,0.0000,0.0921,54.4850,2.0299,1.8517,0.0361,48.4755,0.0000,0.2935,42.7110,5.8809,2.6100,0.0291,0.5736,2.0691,2.0660,1.0444,1.9884,2.0059,2.0648,0.4570,0.0584,0.0987,0.2547,0.0672,0.0047,0.0046,7.1434,0.0709,1.0000,0.0110,0.3955,0.0000,5.0000,0.0569,0.2184,0.0000,10.0000,0.1220,0.1461,0.0000,11.0541,0.1353,0.1365,0.0000,27.0699,0.3844,0.0608,0.0476,27.0699,0.3844,0.0608,0.0476,27.0699,0.3844,0.0608,0.0476,4.3601,0.0493,0.2333,0.0000,12.3145,0.1524,0.1262,0.0476
Gustavia_santanderiensis_2,21,2.2407,2.5647,120,0.9717,10021,33.4734,0.2178,0.2278,59.8608,3.1451,3.0718,0.0033,38.5065,0.7371,0.4157,46.7156,7.6378,5.9141,0.0731,0.7509,2.2294,2.2327,0.9302,2.0795,2.1236,2.2371,0.3350,0.0728,0.1565,0.3847,0.0563,0.0071,0.0000,6.9717,0.0592,1.0000,0.0100,0.3729,0.0000,5.0000,0.0502,0.1998,0.0000,10.0000,0.1092,0.1307,0.0476,8.1251,0.0841,0.1505,0.0000,19.5089,0.2413,0.0741,0.0476,19.5089,0.2413,0.0741,0.0476,19.5089,0.2413,0.0741,0.0476,4.2004,0.0416,0.2180,0.0000,13.1582,0.1499,0.1064,0.0476
Gustavia_santanderiensis_3,21,1.7976,2.0021,120,0.9561,10021,36.2831,0.5492,0.1540,59.3871,2.0876,1.2462,0.2927,42.4507,0.0000,0.6342,46.4233,7.5257,2.4400,0.5261,0.4993,1.7976,1.7769,0.7367,1.7185,1.7536,1.7886,0.3229,0.0257,0.0769,0.2799,0.0420,0.0000,0.0011,7.4148,0.0936,1.0000,0.0140,0.4747,0.0000,5.0000,0.0669,0.2804,0.0000,10.0000,0.1283,0.1961,0.0000,14.0508,0.1794,0.1556,0.0000,20.2143,0.2635,0.1142,0.0952,20.2143,0.2635,0.1142,0.0952,14.0508,0.1794,0.1556,0.0000,4.7738,0.0641,0.2860,0.0000,12.9056,0.1656,0.1657,0.0000
Gustavia_santanderiensis_4,21,1.9163,2.1101,120,0.9586,10021,40.1093,0.0491,0.8887,55.8335,0.3583,2.5854,0.1758,49.2504,0.0000,0.2522,46.4031,2.0068,1.3272,0.7603,0.6019,1.9146,1.8820,0.9564,1.9032,1.8810,1.9119,0.4298,0.1075,0.0668,0.2331,0.1711,0.0394,0.0001,7.2962,0.0833,1.0000,0.0139,0.3985,0.0000,5.0000,0.0680,0.2278,0.0000,10.0000,0.1398,0.1576,0.0476,5.7849,0.0789,0.2128,0.0000,29.3335,0.4442,0.0638,0.0952,19.7486,0.2915,0.0952,0.0952,29.3335,0.4442,0.0638,0.0952,4.2588,0.0572,0.2448,0.0000,11.1479,0.1575,0.1471,0.0952
Gustavia_santanderiensis_5,21,1.9877,2.1564,120,0.9653,10021,42.4678,0.0000,4.2511,51.6094,0.8775,0.7300,0.0641,50.2271,0.0000,0.0531,44.0650,3.6787,1.3767,0.5994,0.5835,1.9877,1.9877,1.1124,1.9527,1.9640,1.9829,0.4463,0.0727,0.1306,0.2562,0.0871,0.0032,0.0018,7.2247,0.0771,1.0000,0.0121,0.4124,0.0000,5.0000,0.0596,0.2320,0.0000,10.0000,0.1214,0.1577,0.0000,11.8145,0.1486,0.1404,0.0000,29.1029,0.4165,0.0605,0.0952,26.7196,0.3852,0.0669,0.0476,26.7196,0.3852,0.0669,0.0476,4.4555,0.0533,0.2450,0.0000,12.2471,0.1546,0.1369,0.0476
Gustavia_santanderiensis_6,21,1.9781,2.2001,120,0.9597,10021,34.7775,0.3896,5.0818,56.0725,2.1960,1.4761,0.0066,42.9323,0.0000,0.0000,49.4637,6.0850,1.4372,0.0819,0.6524,1.9781,1.9781,0.9600,1.8975,1.9253,1.9779,0.3165,0.0377,0.1755,0.3512,0.0433,0.0000,0.0027,7.2343,0.0776,1.0000,0.0115,0.4473,0.0000,5.0000,0.0555,0.2553,0.0000,10.0000,0.1126,0.1724,0.0000,15.2100,0.1789,0.1254,0.0000,15.2100,0.1789,0.1254,0.0000,15.2526,0.1790,0.1251,0.1429,15.2100,0.1789,0.1254,0.0000,4.8074,0.0538,0.2601,0.0000,13.5219,0.1547,0.1383,0.0000
Gustavia_santanderiensis_7,21,2.4758,2.7510,120,0.9706,10021,28.5030,0.9753,9.3573,53.0255,5.5684,2.5262,0.0443,35.0746,0.0000,0.0000,52.6274,11.1568,1.1412,0.0000,0.9340,2.4758,2.4758,1.0822,2.2671,2.3825,2.4740,0.2489,0.0204,0.2844,0.5480,0.0131,0.0012,0.0027,6.7367,0.0463,1.0000,0.0075,0.3742,0.0000,5.0000,0.0383,0.1960,0.0000,10.0000,0.0836,0.1241,0.1429,9.8614,0.0820,0.1254,0.0000,9.8614,0.0820,0.1254,0.0000,9.8716,0.0823,0.1254,0.1429,9.8614,0.0820,0.1254,0.0000,4.3550,0.0331,0.2110,0.0000,15.5716,0.1433,0.0840,0.1429
Gustavia_santanderiensis_8,21,2.4448,2.7306,120,0.9778,10021,31.6195,0.4312,1.3033,60.9545,3.7946,1.7039,0.1930,37.6184,0.0000,1.4372,50.6380,8.7960,0.9895,0.5208,0.8129,2.4447,2.3761,0.8231,2.2677,2.3759,2.4310,0.3294,0.0167,0.1051,0.4294,0.0137,0.0024,0.0074,6.7676,0.0478,1.0000,0.0087,0.3349,0.0000,5.0000,0.0447,0.1795,0.0000,10.0000,0.0950,0.1167,0.0000,11.8213,0.1132,0.1024,0.0000,14.9664,0.1509,0.0830,0.0952,12.8885,0.1266,0.0952,0.0952,11.8213,0.1132,0.1024,0.0000,3.8218,0.0341,0.2050,0.0000,14.3059,0.1437,0.0867,0.0952
Gustavia_santanderiensis_9,21,1.8370,2.0062,120,0.9581,10021,45.4526,0.0795,0.1140,51.3325,0.3139,2.6495,0.0580,53.6105,0.0000,0.0555,41.5375,2.4011,1.9620,0.4334,0.6008,1.8331,1.8330,1.0895,1.8232,1.8035,1.8357,0.4926,0.1463,0.0826,0.1784,0.1578,0.0371,0.0001,7.3754,0.0904,1.0000,0.0143,0.4236,0.0000,5.0000,0.0691,0.2390,0.0000,10.0000,0.1440,0.1651,0.0476,7.0971,0.1005,0.2008,0.0000,30.8452,0.4827,0.0645,0.0476,30.8452,0.4827,0.0645,0.0476,30.8452,0.4827,0.0645,0.0476,4.4692,0.0617,0.2515,0.0000,10.5997,0.1556,0.1593,0.0476
