Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.46208E-12,0.000000001,0.000000002,0.997704133,0,0
7.30049E-12,0.000000003,0.000000007,0.997304851,0,0
1.10155E-11,0.000000011,0.00000001,0.996506289,0,0
2.69781E-11,0.000000027,0.000000025,0.995707726,0,0
6.04883E-11,0.000000101,0.000000056,0.994010781,0,0
1.29234E-10,0.000000262,0.000000119,0.992413655,0,0
3.14191E-10,0.00000102,0.00000029,0.988919944,0,0
5.34777E-10,0.00000255,0.000000494,0.985326412,0,0
1.39242E-9,0.000010134,0.000001287,0.977340787,0,0
2.67263E-9,0.00002507,0.00000247,0.970053903,0,0
3.79256E-9,0.000050163,0.000003505,0.962267918,0,0
6.04105E-9,0.000100246,0.000005582,0.951886604,0,0
1.14073E-8,0.000251126,0.000010541,0.934418048,0,0
1.7417E-8,0.000500725,0.000016095,0.917149132,0,0
2.76606E-8,0.001002029,0.000025561,0.894789379,0,0
5.48022E-8,0.002503321,0.000050641,0.857256938,0,0
9.09837E-8,0.005009025,0.000084074,0.822818926,0,0
1.54741E-7,0.010012338,0.000142984,0.781692953,0,0
3.14731E-7,0.025014738,0.000290797,0.716310641,0,0
5.80581E-7,0.050016274,0.000536365,0.658814135,0,0
1.10228E-6,0.100098328,0.001018089,0.596626073,0,0
2.16915E-6,0.200151203,0.00200248,0.533639449,0,0
3.16766E-6,0.300281336,0.002922923,0.495807546,0,0
4.11413E-6,0.400209877,0.003794606,0.468257137,0,0
5.06285E-6,0.50033545,0.004667597,0.446496307,0,0
5.97276E-6,0.600408897,0.005504154,0.428329008,0,0
6.83178E-6,0.700254406,0.006293287,0.412856858,0,0
7.17425E-6,0.750667646,0.006607719,0.405669794,0,0
7.65448E-6,0.800459901,0.007048465,0.398981833,0,0
8.58849E-6,0.900552316,0.007905121,0.386703933,0,0
9.43805E-6,1.000413384,0.008683671,0.375623877,0,0
1.02557E-5,1.100057541,0.009432436,0.365542024,0,0
1.13063E-5,1.200823274,0.010393652,0.356258734,0,0
1.2186E-5,1.300391881,0.011197776,0.347774007,0,0
1.32449E-5,1.40100468,0.012164863,0.339888201,0,0
1.3991E-5,1.500320767,0.012845699,0.332601318,0,0
1.60513E-5,1.750532925,0.014723357,0.315931324,0,0
