Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.7389,1.9895,140,0.9567,10020,35.3275,0.3389,12.3735,45.5081,3.8295,2.6225,0.0000,42.6856,0.0693,0.0378,42.7634,7.5359,6.9080,0.0000,0.5545,1.7380,1.7380,0.8643,1.6053,1.6514,1.7367,0.2873,0.0580,0.1971,0.2826,0.0390,0.0028,0.0005,7.4734,0.0991,1.0000,0.0139,0.5338,0.0000,5.0000,0.0596,0.3160,0.0000,10.0000,0.1181,0.2170,0.0000,17.0109,0.2061,0.1440,0.0000,28.3610,0.3705,0.0825,0.0476,28.3610,0.3705,0.0825,0.0476,28.3610,0.3705,0.0825,0.0476,5.7460,0.0678,0.2961,0.0000,13.4361,0.1557,0.1756,0.0000
Gustavia_santanderiensis_1,21,2.0286,2.2956,120,0.9661,10019,37.7858,0.1011,6.7943,50.6280,2.1911,2.4997,0.0000,47.4008,0.0000,0.0000,42.0193,3.1555,7.4244,0.0000,0.6683,2.0252,2.0286,1.0002,1.9362,1.9270,2.0286,0.3991,0.0913,0.1513,0.2802,0.0754,0.0158,0.0028,7.1837,0.0739,1.0000,0.0109,0.4209,0.0000,5.0000,0.0555,0.2301,0.0000,10.0000,0.1193,0.1530,0.0000,10.2041,0.1221,0.1510,0.0000,25.5607,0.3650,0.0667,0.0952,18.1251,0.2345,0.0952,0.0952,10.2041,0.1221,0.1510,0.0000,4.6305,0.0512,0.2389,0.0000,12.3763,0.1504,0.1315,0.0476
Gustavia_santanderiensis_2,21,2.1563,2.3890,120,0.9728,10021,43.9039,0.0611,19.9507,31.5424,2.0093,2.5326,0.0000,51.2407,0.0000,0.2594,37.0181,4.2446,7.2371,0.0000,0.6975,2.1541,2.1479,1.4234,2.0674,2.0521,2.1563,0.5131,0.1275,0.2281,0.2286,0.0945,0.0288,0.0059,7.0561,0.0653,1.0000,0.0099,0.3783,0.0000,5.0000,0.0551,0.1956,0.0000,10.0000,0.1240,0.1291,0.0476,9.9420,0.1235,0.1296,0.0000,29.2520,0.4399,0.0501,0.0952,25.1824,0.3658,0.0592,0.0476,25.1824,0.3658,0.0592,0.0476,4.2732,0.0452,0.2121,0.0000,11.7293,0.1502,0.1157,0.0476
Gustavia_santanderiensis_3,21,2.1558,2.4344,120,0.9698,10019,35.9262,0.0589,3.9773,55.1625,2.1488,2.7263,0.0000,46.6361,0.0000,0.0181,44.6190,4.2100,4.5169,0.0000,0.6796,2.1537,2.1555,0.9582,2.0467,2.0682,2.1538,0.3832,0.0770,0.1495,0.3262,0.0609,0.0090,0.0005,7.0564,0.0648,1.0000,0.0101,0.3973,0.0000,5.0000,0.0506,0.2148,0.0000,10.0000,0.1094,0.1405,0.0476,9.5022,0.1033,0.1457,0.0000,21.3155,0.2810,0.0723,0.0476,21.3155,0.2810,0.0723,0.0476,21.3155,0.2810,0.0723,0.0476,4.4405,0.0452,0.2280,0.0000,12.9265,0.1475,0.1158,0.0476
Gustavia_santanderiensis_4,21,2.2133,2.4868,140,0.9765,10020,36.0696,0.0084,3.6878,53.4293,3.7535,2.8234,0.2280,45.9702,0.0196,0.0000,42.1122,5.6294,5.9482,0.3203,0.6476,2.2128,2.2131,0.9734,2.0556,2.1134,2.2062,0.3930,0.0596,0.1476,0.3220,0.0406,0.0038,0.0014,6.9991,0.0610,1.0000,0.0095,0.3955,0.0000,5.0000,0.0477,0.2102,0.0000,10.0000,0.1035,0.1362,0.0000,21.0072,0.2694,0.0704,0.0000,29.4876,0.4036,0.0475,0.0952,21.0645,0.2697,0.0702,0.0952,21.0072,0.2694,0.0704,0.0000,4.5025,0.0428,0.2220,0.0000,13.2597,0.1478,0.1093,0.0000
Gustavia_santanderiensis_5,21,2.0681,2.2721,120,0.9698,10020,43.4775,0.0000,3.2129,49.8113,0.7156,2.1525,0.6302,54.5911,0.0000,0.0874,37.1137,2.6476,5.3399,0.2202,0.5408,2.0681,2.0663,1.1497,2.0187,2.0098,2.0612,0.5361,0.1048,0.0927,0.2006,0.1167,0.0337,0.0002,7.1443,0.0715,1.0000,0.0119,0.3746,0.0000,5.0000,0.0612,0.2014,0.0000,10.0000,0.1332,0.1362,0.0000,24.5095,0.3628,0.0666,0.0000,27.0815,0.4056,0.0598,0.0952,24.5095,0.3628,0.0666,0.0952,24.5095,0.3628,0.0666,0.0000,4.1285,0.0493,0.2209,0.0000,11.2149,0.1529,0.1263,0.0000
Gustavia_santanderiensis_6,21,1.8882,2.1149,120,0.9622,10019,37.7483,0.0000,15.0052,44.9453,0.5583,1.5184,0.2245,49.7961,0.0000,0.0887,46.1105,1.6501,1.8452,0.5093,0.5974,1.8882,1.8875,1.0455,1.8533,1.8640,1.8776,0.3357,0.0836,0.2270,0.3105,0.0986,0.0104,0.0001,7.3241,0.0853,1.0000,0.0132,0.4598,0.0000,5.0000,0.0578,0.2658,0.0000,10.0000,0.1174,0.1801,0.0000,19.9611,0.2577,0.1017,0.0000,28.1422,0.3898,0.0697,0.0952,21.3001,0.2802,0.0952,0.0952,19.9611,0.2577,0.1017,0.0000,5.0834,0.0587,0.2637,0.0000,12.7366,0.1504,0.1513,0.0000
Gustavia_santanderiensis_7,21,2.5535,2.8493,120,0.9816,10019,37.4042,0.2445,14.1357,42.1492,2.1975,3.8625,0.0064,45.3647,0.0571,0.0000,40.7664,4.0285,9.7833,0.0000,0.8110,2.5422,2.5535,1.4447,2.4333,2.4075,2.5516,0.4499,0.1282,0.2713,0.3621,0.1355,0.0591,0.0000,6.6589,0.0437,1.0000,0.0084,0.2813,0.0000,5.0000,0.0495,0.1409,0.0000,10.0000,0.1100,0.0911,0.0000,12.3529,0.1434,0.0774,0.0000,27.2555,0.3780,0.0368,0.0952,15.9625,0.2048,0.0624,0.0476,12.3529,0.1434,0.0774,0.0000,3.3884,0.0306,0.1722,0.0000,12.2739,0.1414,0.0778,0.0000
Gustavia_santanderiensis_8,21,2.3833,2.6985,140,0.9734,10018,28.8969,0.0358,14.2428,50.4309,3.6039,2.2123,0.5773,38.4951,0.2781,0.0000,48.9621,5.3671,6.4318,0.4657,0.8991,2.3722,2.3833,1.0452,2.2348,2.3091,2.3702,0.2495,0.0714,0.3332,0.5166,0.0526,0.0043,0.0011,6.8288,0.0513,1.0000,0.0087,0.3756,0.0000,5.0000,0.0409,0.1988,0.0000,10.0000,0.0896,0.1262,0.0000,13.7075,0.1344,0.0966,0.0000,18.1529,0.1949,0.0736,0.0952,14.4288,0.1453,0.0922,0.0952,13.7075,0.1344,0.0966,0.0000,4.5037,0.0361,0.2105,0.0000,14.4288,0.1453,0.0922,0.0476
Gustavia_santanderiensis_9,21,2.1110,2.3975,120,0.9733,10020,29.8041,2.4828,17.4065,40.1746,7.3886,2.6034,0.1400,41.6208,0.0000,0.7879,43.4163,8.7453,5.1680,0.2618,0.6741,2.1110,2.0904,1.0548,1.8868,2.0204,2.1023,0.2685,0.0274,0.2942,0.3816,0.0092,0.0000,0.0016,7.1013,0.0676,1.0000,0.0097,0.4790,0.0000,5.0000,0.0431,0.2669,0.0000,10.0000,0.0905,0.1742,0.0000,15.1832,0.1434,0.1217,0.0000,28.7281,0.3445,0.0570,0.0476,28.7281,0.3445,0.0570,0.0476,28.7281,0.3445,0.0570,0.0476,5.4684,0.0473,0.2546,0.0000,15.2731,0.1446,0.1211,0.0476
