Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.2268,2.3826,100,0.9711,10021,48.6219,0.0000,0.2165,44.7612,0.4238,5.9425,0.0342,63.7920,0.0007,0.4237,26.5142,1.5343,7.3325,0.4026,0.7120,2.2268,2.2208,1.4049,2.1937,2.1322,2.2238,0.6755,0.1830,0.0486,0.1409,0.2017,0.1183,0.0010,6.9856,0.0617,1.0000,0.0112,0.3067,0.0000,5.0000,0.0688,0.1589,0.0000,10.0000,0.1560,0.1113,0.0000,21.4374,0.3322,0.0647,0.0000,22.7721,0.3574,0.0613,0.0476,22.7721,0.3574,0.0613,0.0476,21.4374,0.3322,0.0647,0.0000,3.4211,0.0422,0.1899,0.0000,10.5750,0.1626,0.1078,0.0000
Gustavia_santanderiensis_1,21,2.0018,2.2431,120,0.9686,10021,40.7702,0.1292,0.3050,53.7372,2.3210,2.5880,0.1493,52.4056,0.0000,0.4811,37.2175,4.2891,5.4106,0.1962,0.6113,1.9978,1.9940,0.8538,1.9072,1.9265,1.9944,0.3939,0.0962,0.0875,0.2728,0.0865,0.0172,0.0000,7.2107,0.0762,1.0000,0.0121,0.4230,0.0000,5.0000,0.0563,0.2372,0.0000,10.0000,0.1200,0.1599,0.0000,12.0019,0.1468,0.1407,0.0000,27.8676,0.3833,0.0645,0.0952,27.7606,0.3824,0.0648,0.0476,27.7606,0.3824,0.0648,0.0476,4.6541,0.0526,0.2456,0.0000,12.7100,0.1559,0.1350,0.0476
Gustavia_santanderiensis_2,21,2.4383,2.7171,100,0.9804,10021,31.8006,0.0000,0.0000,60.7842,4.1402,1.8520,1.4230,46.8881,0.0000,0.0000,43.2201,5.9541,2.5606,1.3770,0.7807,2.4383,2.4383,0.9475,2.2519,2.3861,2.3991,0.2825,0.0357,0.2187,0.4851,0.0252,0.0000,0.0000,6.7740,0.0483,1.0000,0.0084,0.3693,0.0000,5.0000,0.0402,0.1951,0.0000,10.0000,0.0884,0.1247,0.0000,17.0717,0.1663,0.0777,0.0000,33.4462,0.4158,0.0321,0.0952,17.1343,0.1671,0.0774,0.0952,17.0717,0.1663,0.0777,0.0000,4.3340,0.0343,0.2106,0.0000,15.2281,0.1470,0.0872,0.0000
Gustavia_santanderiensis_3,21,2.0398,2.3042,120,0.9647,10021,34.9653,0.0000,0.0000,58.7107,3.9251,2.3860,0.0129,48.0622,0.0000,0.0000,40.8702,6.3878,4.4524,0.2274,0.6681,2.0398,2.0398,0.8371,1.8904,1.9632,2.0341,0.2869,0.0480,0.1774,0.3731,0.0338,0.0001,0.0003,7.1726,0.0730,1.0000,0.0110,0.4500,0.0000,5.0000,0.0500,0.2553,0.0000,10.0000,0.1046,0.1697,0.0000,14.2868,0.1583,0.1297,0.0000,21.4424,0.2544,0.0885,0.0952,20.0137,0.2326,0.0952,0.0952,14.2868,0.1583,0.1297,0.0000,5.0785,0.0507,0.2534,0.0000,14.2472,0.1580,0.1300,0.0000
Gustavia_santanderiensis_4,21,2.1229,2.3996,120,0.9703,10021,34.5671,0.0003,0.0000,56.0823,5.5176,3.2438,0.5890,48.6896,0.0000,0.0000,39.5001,6.7048,4.4150,0.6906,0.6521,2.1229,2.1229,0.8362,1.9051,2.0137,2.1091,0.3056,0.0451,0.1518,0.3553,0.0260,0.0004,0.0011,7.0895,0.0667,1.0000,0.0102,0.4388,0.0000,5.0000,0.0454,0.2430,0.0000,10.0000,0.0993,0.1588,0.0000,20.3429,0.2335,0.0852,0.0000,22.7467,0.2678,0.0752,0.0952,20.3429,0.2335,0.0852,0.0952,20.3429,0.2335,0.0852,0.0000,5.1302,0.0467,0.2397,0.0000,14.3059,0.1545,0.1196,0.0000
Gustavia_santanderiensis_5,21,2.3552,2.6520,120,0.9822,10021,37.5352,0.7633,0.2381,52.5103,5.0160,3.5020,0.4352,50.7269,0.0000,0.3314,37.2387,7.2919,3.9479,0.4632,0.6392,2.3552,2.3456,0.8823,2.1304,2.2457,2.3412,0.4078,0.0270,0.0818,0.3190,0.0133,0.0000,0.0095,6.8572,0.0526,1.0000,0.0089,0.3725,0.0000,5.0000,0.0441,0.1970,0.0000,10.0000,0.0959,0.1277,0.0000,31.9394,0.4110,0.0373,0.0000,31.9394,0.4110,0.0373,0.0000,31.9394,0.4110,0.0373,0.0000,31.9394,0.4110,0.0373,0.0000,4.3744,0.0372,0.2114,0.0000,14.4771,0.1513,0.0948,0.0000
Gustavia_santanderiensis_6,21,2.1059,2.4677,120,0.9675,10021,34.9658,0.3581,6.4624,42.9175,7.5233,7.7720,0.0009,44.3114,0.0000,0.2147,31.1978,9.9746,14.2819,0.0197,0.7068,2.0807,2.0933,1.1205,1.7671,1.8018,2.1059,0.3526,0.1333,0.2102,0.2599,0.0478,0.0408,0.0012,7.1066,0.0683,1.0000,0.0093,0.4341,0.0000,5.0000,0.0485,0.2267,0.0000,10.0000,0.1076,0.1475,0.0476,5.7727,0.0574,0.2095,0.0000,21.6000,0.2824,0.0762,0.0952,17.1512,0.2167,0.0952,0.0952,16.4872,0.2066,0.0985,0.0476,4.8975,0.0475,0.2293,0.0000,12.8774,0.1474,0.1216,0.0476
Gustavia_santanderiensis_7,21,1.5035,1.6782,100,0.9454,10021,41.8050,0.0000,0.0000,55.0821,1.3651,1.5500,0.1978,54.9568,0.0000,0.0000,36.2655,4.1753,4.2418,0.3606,0.4242,1.5035,1.5035,0.7236,1.4550,1.4675,1.4995,0.3251,0.0610,0.0863,0.2048,0.0669,0.0031,0.0003,7.7089,0.1269,1.0000,0.0181,0.5645,0.0000,5.0000,0.0747,0.3502,0.0000,10.0000,0.1410,0.2490,0.0000,22.5360,0.3177,0.1342,0.0000,25.9057,0.3680,0.1164,0.0476,25.9057,0.3680,0.1164,0.0476,22.5360,0.3177,0.1342,0.0000,5.8531,0.0851,0.3274,0.0000,12.0035,0.1673,0.2223,0.0000
Gustavia_santanderiensis_8,21,1.8736,2.0808,120,0.9586,10021,44.0546,0.2044,5.2126,41.8541,0.5985,8.0755,0.0003,55.4548,0.0000,0.0000,27.5056,3.1226,13.8996,0.0175,0.7229,1.8617,1.8723,1.3485,1.8215,1.7500,1.8736,0.4912,0.2273,0.1415,0.1588,0.2172,0.1275,0.0000,7.3388,0.0871,1.0000,0.0121,0.4337,0.0000,5.0000,0.0658,0.2349,0.0000,10.0000,0.1404,0.1597,0.0000,10.1720,0.1432,0.1580,0.0000,24.1756,0.3783,0.0805,0.0952,20.1668,0.3144,0.0952,0.0952,10.1720,0.1432,0.1580,0.0000,4.6092,0.0596,0.2442,0.0000,10.6379,0.1522,0.1535,0.0952
Gustavia_santanderiensis_9,21,2.0495,2.2930,100,0.9690,10021,37.0058,0.0000,0.0000,57.4643,3.3982,1.9613,0.1704,51.4894,0.0000,0.0000,38.7880,6.0095,3.5091,0.2041,0.6205,2.0495,2.0495,0.8922,1.9196,1.9856,2.0406,0.3356,0.0499,0.1535,0.3338,0.0365,0.0002,0.0008,7.1630,0.0723,1.0000,0.0112,0.4359,0.0000,5.0000,0.0509,0.2460,0.0000,10.0000,0.1077,0.1635,0.0000,13.5523,0.1538,0.1304,0.0000,19.1912,0.2262,0.0954,0.0476,19.2111,0.2265,0.0954,0.1429,13.5523,0.1538,0.1304,0.0000,4.9414,0.0502,0.2475,0.0000,13.7877,0.1572,0.1287,0.0476
