Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.5634E-12,0.000000001,0.000000008,0.997804391,0,0
8.79538E-12,0.000000003,0.000000021,0.99750499,0,0
1.54609E-11,0.000000011,0.000000037,0.996906188,0,0
2.45526E-11,0.000000026,0.000000058,0.996207585,0,0
7.90431E-11,0.000000104,0.000000187,0.994610778,0,0
1.45359E-10,0.000000262,0.000000344,0.993113772,0,0
3.58979E-10,0.000001027,0.000000849,0.99001996,0,0
5.97669E-10,0.000002548,0.000001414,0.986726547,0,0
1.33253E-9,0.000010039,0.000003151,0.979041916,0,0
2.3723E-9,0.00002523,0.000005611,0.970958084,0,0
4.0013E-9,0.000050367,0.000009463,0.962774451,0,0
6.60749E-9,0.000100401,0.000015627,0.952994012,0,0
1.31054E-8,0.000250271,0.000030994,0.93762475,0,0
2.31781E-8,0.000501056,0.000054815,0.923153693,0,0
4.416E-8,0.00100222,0.000104434,0.908083832,0,0
8.98836E-8,0.002501854,0.000212554,0.88502994,0,0
1.667E-7,0.005001092,0.000394172,0.86497006,0,0
2.84698E-7,0.010004118,0.000673092,0.842714571,0,0
6.11071E-7,0.025049831,0.001444155,0.808483034,0,0
1.01315E-6,0.050000903,0.002393257,0.777245509,0,0
1.65936E-6,0.100008167,0.00391673,0.739121756,0,0
2.77737E-6,0.200089482,0.006547015,0.693612774,0,0
3.70526E-6,0.300101189,0.008724745,0.662674651,0,0
4.55334E-6,0.400382619,0.010710998,0.638323353,0,0
5.34462E-6,0.500311206,0.012560613,0.618063872,0,0
6.15349E-6,0.600475289,0.014447773,0.600598802,0,0
6.90643E-6,0.700549612,0.016201198,0.585329341,0,0
7.2605E-6,0.750266888,0.017024671,0.578343313,0,0
7.63175E-6,0.800191997,0.017887365,0.571656687,0,0
8.38021E-6,0.900692483,0.019624301,0.559081836,0,0
9.10367E-6,1.000896396,0.021300279,0.547704591,0,0
9.92458E-6,1.10013431,0.023198555,0.537325349,0,0
1.06223E-5,1.200780138,0.024809166,0.52754491,0,0
1.12909E-5,1.300635072,0.026349886,0.518463074,0,0
1.196E-5,1.400787082,0.027889372,0.50988024,0,0
1.2624E-5,1.500242072,0.02941484,0.501796407,0,0
1.43282E-5,1.750613975,0.033318887,0.483233533,0,0
1.57209E-5,2.000939668,0.036497569,0.466566866,0,0
1.75297E-5,2.251138854,0.040610655,0.451596806,0,0
1.92868E-5,2.501001115,0.044589208,0.438023952,0,0
2.0767E-5,2.750935096,0.047927899,0.425548902,0,0
2.25857E-5,3.001339093,0.052014166,0.413972056,0,0
2.4385E-5,3.251850886,0.056039562,0.403293413,0,0
2.66525E-5,3.501739683,0.061088268,0.393512974,0,0
2.83469E-5,3.752354372,0.064843302,0.384431138,0,0
3.00298E-5,4.000817401,0.068557789,0.375948104,0,0
3.16559E-5,4.250379936,0.07213321,0.367864271,0,0
3.33765E-5,4.500736845,0.075901273,0.360179641,0,0
3.53855E-5,4.751549903,0.080281515,0.352894212,0,0
3.71857E-5,5.001638271,0.08418882,0.346007984,0,0
3.88907E-5,5.252762344,0.087874288,0.339421158,0,0
4.05042E-5,5.503009619,0.091348272,0.333133733,0,0
4.21392E-5,5.750470387,0.094855177,0.327145709,0,0
4.36313E-5,6.004219806,0.098043573,0.321257485,0,0
4.54624E-5,6.253181591,0.101941275,0.315668663,0,0
4.71053E-5,6.503226588,0.105423767,0.310279441,0,0
4.87275E-5,6.75223765,0.108849367,0.30508982,0,0
5.04113E-5,7.004639462,0.112391052,0.3,0,0
5.2395E-5,7.250822281,0.116545489,0.295209581,0,0
5.46412E-5,7.502216841,0.12122628,0.290518962,0,0
5.65137E-5,7.752282536,0.125109318,0.286027944,0,0
5.81441E-5,8.004491738,0.128476262,0.281636727,0,0
5.98779E-5,8.25258169,0.132042772,0.27744511,0,0
6.16021E-5,8.501910192,0.13557484,0.273353293,0,0
6.43012E-5,8.753419231,0.14107517,0.269361277,0,0
6.61409E-5,9.002020951,0.144804221,0.265568862,0,0
6.73051E-5,9.255372076,0.147155733,0.261776447,0,0
6.88703E-5,9.500663441,0.150306801,0.258183633,0,0
7.14513E-5,9.753754265,0.155477629,0.254590818,0,0
7.31412E-5,10.0065521,0.158846248,0.251097804,0,0
7.48302E-5,10.250685467,0.162199538,0.247804391,0,0
7.6559E-5,10.500414813,0.165618085,0.244510978,0,0
7.81905E-5,10.755047867,0.168831325,0.241217565,0,0
8.00064E-5,11.000090359,0.172393262,0.238123752,0,0
8.22726E-5,11.251588225,0.176817033,0.23502994,0,0
8.40822E-5,11.501039535,0.180332584,0.232035928,0,0
8.57593E-5,11.755664395,0.18357727,0.229041916,0,0
8.77752E-5,12.006789992,0.187460368,0.226147705,0,0
8.89942E-5,12.254583873,0.189799418,0.223353293,0,0
9.09325E-5,12.506221973,0.193505046,0.220558882,0,0
9.25881E-5,12.753988728,0.196656746,0.217864271,0,0
9.39525E-5,13.006023068,0.199244844,0.215169661,0,0
9.62801E-5,13.25409827,0.20364069,0.21257485,0,0
9.80519E-5,13.506906116,0.206970834,0.20998004,0,0
9.98013E-5,13.754491963,0.210244961,0.20748503,0,0
1.01772E-4,14.006413464,0.213917701,0.20499002,0,0
1.03626E-4,14.252813017,0.217357052,0.20259481,0,0
1.05507E-4,14.503782974,0.22083107,0.200199601,0,0
1.07158E-4,14.759380167,0.223867044,0.197804391,0,0
1.10084E-4,15.009620851,0.229218714,0.195508982,0,0
1.12473E-4,15.25467624,0.233561397,0.193313373,0,0
1.14125E-4,15.504080995,0.236550842,0.191117764,0,0
1.15845E-4,15.757189989,0.239650052,0.188922156,0,0
1.17586E-4,16.002228373,0.242775076,0.186826347,0,0
1.18963E-4,16.25082553,0.245235507,0.184730539,0,0
1.2135E-4,16.503067179,0.249484458,0.182634731,0,0
1.23181E-4,16.75960147,0.252728683,0.180538922,0,0
1.24881E-4,17.007607681,0.25572626,0.178542914,0,0
1.25982E-4,17.258633293,0.257661574,0.176546906,0,0
1.27601E-4,17.512560964,0.260499379,0.174550898,0,0
1.30482E-4,17.757610221,0.265519858,0.172654691,0,0
1.32868E-4,18.007927095,0.269654015,0.170758483,0,0
1.35888E-4,18.263581816,0.274851376,0.168862275,0,0
1.38329E-4,18.510364832,0.279025857,0.167065868,0,0
1.40934E-4,18.761562047,0.283454054,0.165269461,0,0
1.43164E-4,19.003055044,0.287222745,0.163572854,0,0
1.45822E-4,19.263246087,0.291690047,0.161776447,0,0
1.47462E-4,19.512362328,0.2944316,0.16007984,0,0
1.49471E-4,19.750046638,0.297775849,0.158483034,0,0
1.52094E-4,20.006725668,0.302118529,0.156786427,0,0
1.53156E-4,20.250976687,0.303870018,0.155189621,0,0
1.55343E-4,20.513382888,0.307461132,0.153493014,0,0
1.5713E-4,20.763099741,0.310380831,0.151896208,0,0
1.59541E-4,21.000839127,0.314302868,0.150399202,0,0
1.61612E-4,21.257822406,0.317652645,0.148802395,0,0
1.63766E-4,21.502179978,0.321120032,0.147305389,0,0
1.65468E-4,21.76586881,0.323846413,0.145708583,0,0
1.67244E-4,22.015560667,0.32668084,0.144211577,0,0
1.70298E-4,22.252134871,0.331527134,0.142814371,0,0
1.71889E-4,22.508782945,0.33403805,0.141317365,0,0
1.73657E-4,22.75093387,0.336815545,0.13992016,0,0
1.76447E-4,23.013080077,0.341178469,0.138423154,0,0
1.77668E-4,23.260969938,0.343077444,0.137025948,0,0
1.793E-4,23.511103737,0.345607951,0.135628743,0,0
1.81573E-4,23.763519834,0.349117149,0.134231537,0,0
1.8284E-4,24.00073331,0.351064241,0.132934132,0,0
1.85108E-4,24.258761377,0.354535762,0.131536926,0,0
1.87663E-4,24.501530715,0.358423526,0.130239521,0,0
1.89993E-4,24.766393986,0.36195044,0.128842315,0.095238095,0
1.93258E-4,25.016114941,0.366858292,0.12754491,0.095238095,0
1.95448E-4,25.269065795,0.370128602,0.126247505,0.095238095,0
1.966E-4,25.504619404,0.371841574,0.1250499,0.095238095,0
1.98438E-4,25.761162144,0.374567056,0.123752495,0.095238095,0
2.00925E-4,26.000995988,0.378234452,0.12255489,0.095238095,0
2.04183E-4,26.264858908,0.383007797,0.121257485,0.095238095,0
2.05689E-4,26.510994784,0.385200601,0.12005988,0.19047619,0
2.08183E-4,26.759631068,0.388816306,0.118862275,0.19047619,0
2.11319E-4,27.011482821,0.393332406,0.117664671,0.19047619,0
2.13117E-4,27.266304771,0.395906265,0.116467066,0.19047619,0
2.15743E-4,27.502260249,0.399646389,0.115369261,0.19047619,0
2.17684E-4,27.762381066,0.402396649,0.114171657,0.19047619,0
2.20289E-4,28.003259718,0.406066754,0.113073852,0.19047619,0
2.2188E-4,28.268589014,0.408298461,0.111876248,0.19047619,0
2.24701E-4,28.514709966,0.412232917,0.110778443,0.19047619,0
2.27886E-4,28.763686332,0.416643343,0.109680639,0.19047619,0
2.30691E-4,29.016031482,0.420500152,0.108582834,0.19047619,0
2.34301E-4,29.271613793,0.425426586,0.10748503,0.19047619,0
2.36124E-4,29.506936432,0.427898868,0.106487026,0.19047619,0
2.39109E-4,29.769144752,0.431922849,0.105389222,0.19047619,0
2.42027E-4,30.00987336,0.435830803,0.104391218,0.19047619,0
2.4525E-4,30.253879354,0.440114452,0.103393214,0.19047619,0
2.47781E-4,30.500462528,0.443455158,0.10239521,0.19047619,0
2.52223E-4,30.750585105,0.449271535,0.101397206,0.19047619,0
2.54791E-4,31.004079618,0.452606325,0.100399202,0.19047619,0
2.57182E-4,31.260272174,0.45569284,0.099401198,0.19047619,0
2.58992E-4,31.518521124,0.45801835,0.098403194,0.19047619,0
2.61035E-4,31.752560768,0.460630882,0.09750499,0.19047619,0
2.62736E-4,32.014461118,0.462796169,0.096506986,0.19047619,0
2.63866E-4,32.251452549,0.464229896,0.095608782,0.19047619,0
2.67536E-4,32.517410817,0.468859229,0.094610778,0.19047619,0
2.70399E-4,32.75959671,0.472444379,0.093712575,0.19047619,0
2.73072E-4,33.004269104,0.475768258,0.092814371,0.19047619,0
2.74958E-4,33.251036005,0.478102117,0.091916168,0.19047619,0
2.79156E-4,33.52780482,0.483258073,0.090918164,0.19047619,0
2.82237E-4,33.752899056,0.487009558,0.09011976,0.19047619,0
2.87223E-4,34.009244833,0.493023384,0.089221557,0.19047619,0
2.90512E-4,34.269532627,0.496951266,0.088323353,0.19047619,0
