X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.777528,5.638694,train,0.0018382158672793575,84.51577784772141,0.9691568432708421
-74.737889,5.684417,train,4.4745311039928596E-4,39.27413889808634,0.5712190569061717
-74.816917,4.42425,train,2.4018378379768514E-4,24.672569197871624,0.36526647401024126
-74.294444,6.048889,train,3.4577812185416395E-4,32.16849150510756,0.48024007925146006
-74.323667,6.515028,train,4.6476032509018236E-4,40.506328364250066,0.585035861218179
-74.351933,6.471417,train,0.0013436162377943337,76.02365680825517,0.9213545926838607
-74.854444,5.322778,train,9.775412335697603E-4,64.10805791488183,0.8427637369047103
-74.777222,5.689444,train,0.0015735124281436308,80.0244027219861,0.9490997117568164
-74.223111,5.967972,train,5.934450577507748E-4,47.9405572618843,0.6747301752482437
-74.859417,5.545194,train,0.0015752330001430775,80.33897132362382,0.9492651836369679
-74.103194,6.515417,train,4.1379033071206893E-4,37.00147586114585,0.543013757978069
-74.76675,5.676306,train,0.0010938652694612227,69.82625819230641,0.8738331508530827
-74.76675,5.676306,train,0.0010938652694612227,69.82625819230641,0.8738331508530827
-74.737583,5.667167,train,7.04890223411793E-4,53.54997258891203,0.7365814873088055
-74.816917,4.42425,train,2.4018378379768514E-4,24.672569197871624,0.36526647401024126
-74.223111,5.967972,train,5.934450577507748E-4,47.9405572618843,0.6747301752482437
-74.668706,5.574697,train,0.0018096997871999332,84.07369750414931,0.9674465991287324
-74.909722,5.559361,train,0.0023247031471362607,89.34099190630519,0.9877167902896061
-74.368611,6.438056,train,4.2926048234192974E-4,38.2338729714825,0.5561991695587297
-74.777222,5.689444,train,0.0015735124281436308,80.0244027219861,0.9490997117568164
-74.816917,4.42425,train,2.4018378379768514E-4,24.672569197871624,0.36526647401024126
