Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.7000,2.0831,260,0.9610,10021,52.7980,1.2519,12.6616,22.2364,7.6241,3.3890,0.0390,60.7320,0.0000,0.0000,37.0024,1.0614,1.0804,0.1238,0.6629,1.6985,1.7000,1.0276,1.6856,1.6834,1.6998,0.3829,0.1183,0.1629,0.2281,0.0904,0.0077,0.0004,7.5121,0.1046,1.0000,0.0166,0.4682,0.0000,5.0000,0.0756,0.2821,0.0000,10.0000,0.1453,0.2008,0.0000,18.7827,0.2623,0.1287,0.0000,33.5822,0.4948,0.0697,0.0476,33.5822,0.4948,0.0697,0.0476,33.5822,0.4948,0.0697,0.0476,4.6824,0.0703,0.2898,0.0000,11.7069,0.1707,0.1826,0.0000
Gustavia_santanderiensis_1,21,1.4439,1.7750,220,0.9494,10020,55.1332,1.0234,15.3648,21.7451,4.1854,2.5482,0.0000,59.9056,0.0000,0.0000,36.4257,1.4795,2.1892,0.0000,0.5556,1.4439,1.4439,0.8955,1.4171,1.4136,1.4439,0.3395,0.1183,0.1492,0.1879,0.0819,0.0126,0.0000,7.7685,0.1356,1.0000,0.0213,0.5477,0.0000,5.0000,0.0842,0.3460,0.0000,10.0000,0.1588,0.2511,0.0000,24.6904,0.3613,0.1291,0.0000,26.4699,0.3849,0.1202,0.0952,26.4699,0.3849,0.1202,0.0952,24.6904,0.3613,0.1291,0.0000,5.3905,0.0901,0.3359,0.0000,11.1696,0.1750,0.2360,0.0000
Gustavia_santanderiensis_2,21,1.8994,2.2934,220,0.9683,10021,56.1482,2.8436,17.2833,15.3423,7.0721,1.3105,0.0000,58.8834,0.0000,0.0471,33.5060,4.2497,3.3138,0.0000,0.7343,1.8994,1.8984,1.3177,1.8167,1.8489,1.8994,0.4377,0.0773,0.2202,0.2217,0.0358,0.0003,0.0125,7.3131,0.0852,1.0000,0.0139,0.4327,0.0000,5.0000,0.0641,0.2507,0.0000,10.0000,0.1284,0.1729,0.0000,14.7875,0.1941,0.1316,0.0000,27.8475,0.3943,0.0717,0.0952,26.5298,0.3723,0.0759,0.0952,26.4987,0.3712,0.0760,0.0476,4.5049,0.0581,0.2624,0.0000,12.4420,0.1625,0.1496,0.0000
Gustavia_santanderiensis_3,21,1.6666,2.0107,200,0.9594,10021,54.0241,1.6224,7.6596,24.4350,12.0671,0.1918,0.0000,59.5729,0.0000,1.0355,37.7288,0.8893,0.7735,0.0000,0.5994,1.6666,1.6554,0.8710,1.6518,1.6614,1.6666,0.3996,0.0516,0.0773,0.2015,0.0431,0.0000,0.0084,7.5457,0.1086,1.0000,0.0174,0.4613,0.0000,5.0000,0.0800,0.2782,0.0000,10.0000,0.1550,0.2006,0.0000,24.6329,0.3653,0.1037,0.0000,24.6329,0.3653,0.1037,0.0000,24.6329,0.3653,0.1037,0.1429,24.6329,0.3653,0.1037,0.0000,4.5174,0.0727,0.2897,0.0000,11.1212,0.1732,0.1888,0.0000
Gustavia_santanderiensis_4,21,2.1959,2.5134,240,0.9786,10020,52.8630,3.3957,14.6800,20.6149,8.1821,0.2200,0.0442,59.9814,0.0000,0.0000,37.6140,1.9135,0.1635,0.3275,0.8837,2.1944,2.1959,1.4094,2.1751,2.1919,2.1941,0.4479,0.0702,0.2360,0.3056,0.0356,0.0005,0.0101,7.0161,0.0636,1.0000,0.0115,0.3399,0.0000,5.0000,0.0602,0.1913,0.0000,10.0000,0.1240,0.1312,0.0000,20.9885,0.2878,0.0736,0.0000,32.3851,0.4585,0.0455,0.0952,23.5284,0.3264,0.0658,0.0476,20.9885,0.2878,0.0736,0.0000,3.6276,0.0435,0.2205,0.0000,12.7527,0.1596,0.1112,0.0000
Gustavia_santanderiensis_5,21,2.0519,2.4869,220,0.9759,10020,52.1388,1.5364,14.5911,21.2687,6.6698,3.7952,0.0000,56.8982,0.0000,0.0000,36.4532,2.7682,3.8803,0.0000,0.8463,2.0465,2.0519,1.1661,1.9936,1.9809,2.0519,0.4071,0.1409,0.2179,0.2890,0.0895,0.0170,0.0006,7.1609,0.0732,1.0000,0.0126,0.3905,0.0000,5.0000,0.0589,0.2213,0.0000,10.0000,0.1220,0.1502,0.0000,28.3870,0.4092,0.0599,0.0000,28.3870,0.4092,0.0599,0.0000,28.3870,0.4092,0.0599,0.0000,28.3870,0.4092,0.0599,0.0000,4.2249,0.0501,0.2391,0.0000,12.4926,0.1549,0.1285,0.0000
Gustavia_santanderiensis_6,21,1.8278,2.2175,300,0.9647,10020,56.9166,0.6049,18.6265,11.5348,7.8866,3.2901,1.1404,60.3563,0.0000,0.8319,28.7280,4.8130,5.2706,0.0000,0.7789,1.8278,1.8166,1.3241,1.7427,1.7366,1.8277,0.4669,0.1497,0.2265,0.1833,0.0843,0.0295,0.0055,7.3850,0.0912,1.0000,0.0150,0.4486,0.0000,5.0000,0.0635,0.2610,0.0000,10.0000,0.1297,0.1774,0.0000,11.3978,0.1522,0.1627,0.0000,28.3961,0.4138,0.0725,0.0952,22.0573,0.3153,0.0952,0.0952,11.3978,0.1522,0.1627,0.0000,4.9108,0.0623,0.2633,0.0000,11.5945,0.1547,0.1608,0.0476
Gustavia_santanderiensis_7,21,2.0579,2.4952,300,0.9738,10021,54.0231,2.7429,22.8868,12.3613,7.1875,0.7984,0.0000,57.2411,0.0000,0.5307,35.6947,3.8817,2.6518,0.0000,0.8891,2.0579,2.0495,1.4608,1.9773,2.0018,2.0579,0.3847,0.1276,0.3565,0.3069,0.0657,0.0109,0.0006,7.1544,0.0724,1.0000,0.0120,0.3996,0.0000,5.0000,0.0580,0.2260,0.0000,10.0000,0.1174,0.1531,0.0000,18.9522,0.2354,0.0912,0.0000,22.1772,0.2920,0.0777,0.0476,22.1772,0.2920,0.0777,0.0476,18.9522,0.2354,0.0912,0.0000,4.2775,0.0497,0.2428,0.0000,12.9092,0.1548,0.1276,0.0000
Gustavia_santanderiensis_8,21,1.7142,2.0322,220,0.9593,10021,60.4382,0.9456,18.0676,13.6129,5.7719,1.1638,0.0000,64.0240,0.0000,0.0000,35.2665,0.0000,0.7095,0.0000,0.6763,1.7129,1.7142,1.2121,1.7092,1.7052,1.7142,0.4385,0.1503,0.2192,0.1945,0.1159,0.0119,0.0004,7.4983,0.1032,1.0000,0.0165,0.4517,0.0000,5.0000,0.0765,0.2681,0.0000,10.0000,0.1535,0.1898,0.0000,16.3176,0.2473,0.1371,0.0000,34.3794,0.5211,0.0665,0.0476,34.3794,0.5211,0.0665,0.0476,34.3794,0.5211,0.0665,0.0476,4.5088,0.0695,0.2799,0.0000,10.9446,0.1660,0.1800,0.0000
Gustavia_santanderiensis_9,21,1.7801,2.1772,300,0.9652,10018,58.5091,1.1054,16.6677,15.3914,3.6881,3.3779,1.2604,59.2713,0.1334,0.0000,32.0204,3.4714,5.1035,0.0000,0.6966,1.7785,1.7801,1.1779,1.7259,1.7072,1.7801,0.4366,0.1576,0.2011,0.1951,0.0904,0.0235,0.0008,7.4319,0.0962,1.0000,0.0158,0.4549,0.0000,5.0000,0.0673,0.2689,0.0000,10.0000,0.1345,0.1860,0.0000,12.3608,0.1691,0.1616,0.0000,31.9276,0.4689,0.0675,0.0952,30.1180,0.4444,0.0726,0.0952,30.0832,0.4443,0.0727,0.0476,4.7935,0.0652,0.2740,0.0000,11.6391,0.1587,0.1685,0.0000
Gustavia_santanderiensis (average),21.0000,1.8338,2.2085,248.0000,0.9656,10020.3000,55.2992,1.7072,15.8489,17.8543,7.0335,2.0085,0.2484,59.6866,0.0133,0.2445,35.0440,2.4528,2.5136,0.0451,0.7323,1.8326,1.8306,1.1862,1.7895,1.7931,1.8336,0.4141,0.1162,0.2067,0.2314,0.0733,0.0114,0.0039,7.3786,0.0934,1.0000,0.0153,0.4395,0.0000,5.0000,0.0688,0.2594,0.0000,10.0000,0.1369,0.1813,0.0000,19.1297,0.2684,0.1179,0.0000,29.0185,0.4203,0.0755,0.0619,27.1862,0.3926,0.0807,0.0714,25.3592,0.3643,0.0905,0.0190,4.5438,0.0632,0.2697,0.0000,11.8772,0.1630,0.1634,0.0048
