X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.323667,6.515028,train,6.985742272672118E-4,50.801893508270496,0.7304055661482464
-74.909722,5.559361,train,0.0028135515177897083,94.7451286944495,0.9949049021661048
-74.777528,5.638694,train,0.0014052133393545575,75.60894142695969,0.9284104675101154
-74.737583,5.667167,train,5.743835989301653E-4,44.7144110222161,0.6596564008837421
-74.223111,5.967972,train,5.937718080501703E-4,45.45639528263408,0.6718158863695933
-74.777222,5.689444,train,0.001237517010688088,72.00955312811666,0.9019358447663032
-74.900639,5.568667,train,1.513461127425158E-4,16.5135622999191,0.2472278975148422
-74.76675,5.676306,train,9.215975455873799E-4,61.02448408523313,0.8225963570353434
-74.76675,5.676306,train,9.215975455873799E-4,61.02448408523313,0.8225963570353434
-74.777222,5.689444,train,0.001237517010688088,72.00955312811666,0.9019358447663032
-74.103194,6.515417,train,4.726134453619561E-4,39.79736191652658,0.5880418150179716
-74.294444,6.048889,train,4.262324016417857E-4,36.756066820223744,0.5505820246142894
-74.368611,6.438056,train,4.474839171151835E-4,38.278789988080156,0.5681509764904786
-74.816917,4.42425,train,1.6564572074646757E-4,17.51351829274547,0.267158024642804
-74.294444,6.048889,train,4.262324016417857E-4,36.756066820223744,0.5505820246142894
-74.668706,5.574697,train,0.0016806278736782746,79.6594315959271,0.9573021540200278
-74.294444,6.048889,train,4.262324016417857E-4,36.756066820223744,0.5505820246142894
-74.76675,5.676306,train,9.215975455873799E-4,61.02448408523313,0.8225963570353434
-74.76675,5.676306,train,9.215975455873799E-4,61.02448408523313,0.8225963570353434
-74.777528,5.638694,train,0.0014052133393545575,75.60894142695969,0.9284104675101154
-74.323667,6.515028,train,6.985742272672118E-4,50.801893508270496,0.7304055661482464
