Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.72815E-12,0.000000002,0.000000011,0.998702724,0,0
7.10747E-12,0.000000003,0.000000014,0.998503143,0,0
1.67432E-11,0.000000012,0.000000034,0.99780461,0,0
2.79723E-11,0.000000027,0.000000056,0.997106077,0,0
6.14174E-11,0.000000103,0.000000123,0.995309849,0,0
1.38706E-10,0.00000026,0.000000278,0.993613412,0,0
2.90079E-10,0.000001028,0.000000582,0.990020956,0,0
4.49237E-10,0.000002511,0.000000901,0.986029338,0,0
1.19361E-9,0.000010081,0.000002393,0.976549247,0,0
2.22973E-9,0.000025113,0.000004471,0.967767688,0,0
3.4931E-9,0.000050008,0.000007004,0.958886339,0,0
5.99732E-9,0.00010056,0.000012025,0.94790939,0,0
1.16292E-8,0.000250893,0.000023317,0.930046902,0,0
2.23061E-8,0.000501113,0.000044724,0.914978545,0,0
3.96165E-8,0.001003629,0.000079429,0.898113961,0,0
8.70622E-8,0.00250508,0.000174548,0.873465722,0,0
1.51544E-7,0.005003276,0.000303806,0.852310149,0,0
2.67407E-7,0.010016653,0.000536016,0.827861491,0,0
5.37442E-7,0.025024981,0.001077011,0.789342381,0,0
8.56111E-7,0.050074738,0.00171506,0.752619499,0,0
1.40149E-6,0.100074849,0.002806092,0.707713801,0,0
2.39482E-6,0.200207942,0.004790192,0.654126335,0,0
3.20707E-6,0.300267585,0.006409652,0.618201776,0,0
3.98524E-6,0.400210493,0.007958707,0.590360243,0,0
4.74988E-6,0.500454551,0.009478471,0.567408442,0,0
5.60806E-6,0.600444903,0.011181386,0.548248678,0,0
6.45911E-6,0.70051256,0.012867247,0.531683465,0,0
6.83051E-6,0.750298328,0.013602054,0.524199182,0,0
7.18512E-6,0.800085708,0.014303156,0.51711406,0,0
7.9762E-6,0.90056755,0.015865363,0.503841932,0,0
8.76214E-6,1.00007338,0.017414984,0.49196687,0,0
9.53056E-6,1.100526507,0.018927692,0.480989921,0,0
1.04747E-5,1.200442064,0.020783186,0.471010877,0,0
1.12165E-5,1.30026869,0.022238508,0.461830157,0,0
1.20175E-5,1.400070909,0.023807479,0.453248179,0,0
1.27924E-5,1.500474077,0.025323028,0.445165153,0,0
1.49137E-5,1.75029864,0.029459879,0.427103084,0,0
1.68333E-5,2.001154333,0.033188131,0.411336194,0,0
1.87021E-5,2.251446919,0.036804081,0.397265742,0,0
2.09647E-5,2.50163168,0.041163726,0.384692146,0,0
2.31101E-5,2.752310008,0.045279389,0.373316036,0,0
2.50022E-5,3.001406652,0.048894564,0.363037621,0,0
2.70638E-5,3.252030593,0.052817906,0.353457739,0,0
2.93275E-5,3.50040219,0.057107132,0.34467618,0,0
3.16921E-5,3.752582061,0.061566969,0.336393573,0,0
3.39352E-5,4.002763103,0.065778158,0.3288095,0,0
3.57503E-5,4.253526037,0.069171871,0.321624588,0,0
3.74773E-5,4.502202542,0.072389505,0.314838838,0,0
3.93619E-5,4.752025895,0.07588793,0.30835246,0,0
4.14182E-5,5.002545064,0.079690184,0.302165453,0,0
4.33227E-5,5.252026725,0.083197745,0.296277817,0,0
4.51238E-5,5.500000473,0.086502686,0.290689552,0,0
4.69415E-5,5.753601444,0.089825883,0.285201078,0,0
4.89581E-5,6.00285824,0.09349856,0.280011975,0,0
5.03538E-5,6.251230197,0.09603192,0.275022453,0,0
5.19518E-5,6.501619492,0.098923672,0.270132721,0,0
5.40916E-5,6.750581187,0.102781336,0.265442571,0,0
5.65162E-5,7.005304544,0.107132496,0.26085221,0,0
5.83464E-5,7.251998755,0.110402869,0.256561221,0,0
6.04281E-5,7.501085677,0.1141082,0.252370023,0,0
6.22283E-5,7.753035714,0.117300042,0.248278615,0,0
6.46076E-5,8.000633576,0.121501071,0.244386788,0,0
6.64412E-5,8.256085339,0.124724811,0.240494961,0,0
6.8323E-5,8.505497422,0.128021154,0.236802714,0,0
7.05473E-5,8.755485783,0.131901374,0.233210258,0,0
7.27089E-5,9.005678384,0.135655621,0.229717593,0,0
7.45432E-5,9.25606504,0.138828709,0.226324718,0,0
7.60881E-5,9.50484659,0.14149207,0.223031634,0,0
7.772E-5,9.751339275,0.144296523,0.219838339,0,0
7.94331E-5,10.003251279,0.147230752,0.216645045,0,0
8.17799E-5,10.25339959,0.151233939,0.213551542,0,0
8.42537E-5,10.502458263,0.155433398,0.210557829,0,0
8.63934E-5,10.758394677,0.159049022,0.207564115,0,0
8.81786E-5,11.003277891,0.162053676,0.204769983,0,0
8.97703E-5,11.252755992,0.164723683,0.201975851,0,0
9.18537E-5,11.507574027,0.168205569,0.199181718,0,0
9.40524E-5,11.758215054,0.171864432,0.196487377,0,0
9.60003E-5,12.005617859,0.175092524,0.193892825,0,0
9.78382E-5,12.257679842,0.178126667,0.191298274,0,0
9.94433E-5,12.5041394,0.180767517,0.188803513,0,0
1.00928E-4,12.754837728,0.183202946,0.186308752,0,0
1.03316E-4,13.009291827,0.187104333,0.183813991,0,0
1.0503E-4,13.259889922,0.189893694,0.18141902,0,0
1.07151E-4,13.50349512,0.193330696,0.17912384,0,0
1.08353E-4,13.751171146,0.19527309,0.17682866,0,0
1.10255E-4,14.002116681,0.198336341,0.17453348,0,0
1.12682E-4,14.257660698,0.202227697,0.1722383,0,0
1.1554E-4,14.508352643,0.206785948,0.17004291,0,0
1.18636E-4,14.754368135,0.211694324,0.167947311,0,0
1.21236E-4,15.006058451,0.215793414,0.165851711,0,0
1.22965E-4,15.262219484,0.218506406,0.163756112,0,0
1.25916E-4,15.510754185,0.223117126,0.161760303,0,0
1.27483E-4,15.751416441,0.225555043,0.159864285,0,0
1.28836E-4,16.007691076,0.227652306,0.157868476,0,0
1.30981E-4,16.254760205,0.23096717,0.155972458,0,0
1.32623E-4,16.505063659,0.233494535,0.154076439,0,0
1.35715E-4,16.760288422,0.238232896,0.152180421,0,0
1.3691E-4,17.005773914,0.240055847,0.150384193,0,0
1.39613E-4,17.255006747,0.244163121,0.148587965,0,0
1.41963E-4,17.508523515,0.24771489,0.146791737,0,0
1.46152E-4,17.753798675,0.254008113,0.1450953,0,0
1.50512E-4,18.005750241,0.26050066,0.143398862,0,0
1.53258E-4,18.264071463,0.264560628,0.141702425,0,0
1.55502E-4,18.511630673,0.267862173,0.140105778,0,0
1.57713E-4,18.762844336,0.27110086,0.138509131,0,0
1.60818E-4,19.002130336,0.275624835,0.137012274,0,0
1.62504E-4,19.260896202,0.278068848,0.135415627,0,0
1.65443E-4,19.507034666,0.282310819,0.133918771,0,0
1.68643E-4,19.757281434,0.286900836,0.132421914,0,0
1.70998E-4,20.012201988,0.290260866,0.130925057,0,0
1.73625E-4,20.253156689,0.293988828,0.129527991,0,0
1.75371E-4,20.515329667,0.29645613,0.128031135,0,0
1.78286E-4,20.763521898,0.300556132,0.126634068,0,0
1.80903E-4,21.014776113,0.304216793,0.125237002,0,0
1.83449E-4,21.251506529,0.307759414,0.123939727,0,0
1.85748E-4,21.510213447,0.310943372,0.12254266,0,0
1.87953E-4,21.753367088,0.313982925,0.121245385,0,0
1.89721E-4,22.017659159,0.316409774,0.119848319,0,0
1.94232E-4,22.266781022,0.32256549,0.118551043,0,0
1.99047E-4,22.50204008,0.329074009,0.117353558,0,0
2.01582E-4,22.762462126,0.332475013,0.116056282,0,0
2.05289E-4,23.006732341,0.337418266,0.114858797,0,0
2.09695E-4,23.256050921,0.343245602,0.113661311,0,0
2.12333E-4,23.5094183,0.34671071,0.112463826,0,0
2.1546E-4,23.766844554,0.350793381,0.111266341,0,0
2.16782E-4,24.004594094,0.352511939,0.110168646,0,0
2.19935E-4,24.266468843,0.356593264,0.108971161,0,0
2.21299E-4,24.50901556,0.358350125,0.107873466,0,0
2.2384E-4,24.753730451,0.361610817,0.106775771,0,0
2.25765E-4,25.001052631,0.36407029,0.105678076,0,0
2.27404E-4,25.250274484,0.366155839,0.104580381,0,0
2.28781E-4,25.501185027,0.367903835,0.103482686,0,0
2.31818E-4,25.753897602,0.371741141,0.102384992,0,0
2.3478E-4,26.010796442,0.375461027,0.101287297,0,0
2.38453E-4,26.271482084,0.380044186,0.100189602,0,0
2.42111E-4,26.512499974,0.384574082,0.099191697,0,0
