Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.3827,1.6222,180,0.9387,10020,59.9687,0.0000,16.0179,18.4180,5.3850,0.1050,0.1055,63.1328,0.0000,0.0000,36.4334,0.1803,0.0662,0.1872,0.6219,1.3827,1.3827,0.9715,1.3825,1.3822,1.3802,0.3732,0.0863,0.1425,0.1545,0.0462,0.0000,0.0150,7.8296,0.1445,1.0000,0.0218,0.5541,0.0000,5.0000,0.0891,0.3453,0.0000,10.0000,0.1715,0.2524,0.0000,21.8390,0.3529,0.1492,0.0000,27.4758,0.4378,0.1210,0.0952,27.4758,0.4378,0.1210,0.0952,21.8390,0.3529,0.1492,0.0000,5.3707,0.0954,0.3357,0.0000,10.1138,0.1733,0.2509,0.0000
Gustavia_santanderiensis_1,21,1.6200,1.9737,220,0.9603,10021,53.0987,2.1534,10.0345,31.7748,1.5724,1.2615,0.1048,57.5533,0.0020,0.6035,37.1065,2.9420,1.6065,0.1862,0.5238,1.6200,1.6107,0.9238,1.5958,1.5983,1.6172,0.3977,0.0767,0.0957,0.1885,0.0561,0.0036,0.0000,7.5925,0.1130,1.0000,0.0179,0.4829,0.0000,5.0000,0.0811,0.2961,0.0000,10.0000,0.1520,0.2134,0.0000,22.5014,0.3291,0.1176,0.0000,37.2481,0.5436,0.0657,0.0952,27.6644,0.4035,0.0952,0.0952,22.5014,0.3291,0.1176,0.0000,4.6840,0.0761,0.3038,0.0000,11.3793,0.1702,0.1979,0.0000
Gustavia_santanderiensis_2,21,2.3039,2.7567,220,0.9818,10021,53.4881,2.2489,15.2739,16.0211,10.4235,2.5201,0.0244,55.5982,0.0000,0.0000,36.4726,3.7152,4.1782,0.0357,0.8982,2.3039,2.3039,1.4417,2.2164,2.2288,2.3038,0.4567,0.1162,0.2545,0.3087,0.0494,0.0070,0.0041,6.9086,0.0559,1.0000,0.0101,0.3340,0.0000,5.0000,0.0528,0.1781,0.0000,10.0000,0.1152,0.1174,0.0000,19.0520,0.2493,0.0694,0.0000,35.0018,0.5000,0.0337,0.0952,27.1152,0.3742,0.0476,0.0476,19.0520,0.2493,0.0694,0.0000,3.8072,0.0390,0.2038,0.0000,12.4684,0.1478,0.0998,0.0000
Gustavia_santanderiensis_3,21,2.0143,2.4723,240,0.9689,10021,44.6710,0.6477,7.0109,25.6391,19.2724,2.2208,0.5381,53.5716,0.0000,2.9714,42.2421,0.6589,0.4938,0.0622,0.8947,1.9990,1.8998,0.8650,2.0085,1.9930,2.0136,0.3979,0.0901,0.0739,0.2706,0.0709,0.0029,0.0011,7.1982,0.0757,1.0000,0.0155,0.3578,0.0000,5.0000,0.0704,0.2164,0.0476,10.0000,0.1349,0.1530,0.0476,4.3299,0.0624,0.2294,0.0000,26.6412,0.3669,0.0681,0.0952,19.0972,0.2617,0.0952,0.0952,17.5707,0.2387,0.1022,0.0476,3.5232,0.0519,0.2478,0.0000,12.4002,0.1651,0.1334,0.0476
Gustavia_santanderiensis_4,21,2.0366,2.4042,260,0.9733,10020,52.9488,2.8098,13.1388,21.0303,9.3045,0.2319,0.5359,56.8066,0.0000,0.0000,40.1212,2.6489,0.2982,0.1252,0.7700,2.0366,2.0366,1.2117,2.0027,2.0294,2.0352,0.3968,0.0613,0.2042,0.3017,0.0222,0.0003,0.0070,7.1757,0.0736,1.0000,0.0127,0.3829,0.0000,5.0000,0.0637,0.2214,0.0000,10.0000,0.1238,0.1524,0.0000,14.7292,0.1887,0.1155,0.0000,28.2385,0.3902,0.0613,0.0952,25.0252,0.3433,0.0703,0.0476,14.7292,0.1887,0.1155,0.0000,4.0208,0.0508,0.2431,0.0000,12.5576,0.1587,0.1304,0.0000
Gustavia_santanderiensis_5,21,1.6749,1.9589,180,0.9573,10019,59.0496,0.0677,12.3260,24.1886,3.5206,0.8475,0.0000,61.8501,0.0000,0.0000,37.1684,0.4420,0.5395,0.0000,0.6271,1.6734,1.6749,1.0203,1.6727,1.6682,1.6749,0.4161,0.1247,0.1340,0.1998,0.0975,0.0057,0.0005,7.5371,0.1067,1.0000,0.0165,0.4573,0.0000,5.0000,0.0803,0.2746,0.0000,10.0000,0.1510,0.1959,0.0000,16.5136,0.2472,0.1400,0.0000,36.8413,0.5506,0.0620,0.0952,25.5797,0.3936,0.0952,0.0952,16.5136,0.2472,0.1400,0.0000,4.5285,0.0721,0.2858,0.0000,10.8046,0.1653,0.1872,0.0000
Gustavia_santanderiensis_6,21,1.7126,2.1697,260,0.9646,10020,52.6630,0.6087,24.7571,12.2809,7.3536,2.3164,0.0202,52.4083,0.0000,0.6898,36.0476,6.5366,4.3177,0.0000,0.8366,1.7121,1.6934,1.2743,1.6316,1.6352,1.7121,0.3120,0.1331,0.3333,0.2673,0.0615,0.0127,0.0016,7.4998,0.1019,1.0000,0.0164,0.4850,0.0000,5.0000,0.0686,0.2946,0.0000,10.0000,0.1299,0.2044,0.0000,15.3377,0.2049,0.1504,0.0000,34.4327,0.5032,0.0638,0.0952,33.5192,0.4883,0.0662,0.0476,33.5192,0.4883,0.0662,0.0476,5.0880,0.0696,0.2924,0.0000,12.0583,0.1585,0.1803,0.0000
Gustavia_santanderiensis_7,21,1.6089,1.9652,220,0.9595,10021,56.3177,1.9114,23.3944,14.4884,3.2004,0.6877,0.0000,58.4560,0.0000,1.0612,35.8517,2.5199,2.1113,0.0000,0.7547,1.6089,1.5875,1.2188,1.5877,1.5920,1.6089,0.3440,0.1247,0.2800,0.2389,0.0633,0.0037,0.0012,7.6034,0.1138,1.0000,0.0174,0.4920,0.0000,5.0000,0.0797,0.3022,0.0000,10.0000,0.1472,0.2166,0.0000,32.1215,0.4720,0.0791,0.0000,32.1215,0.4720,0.0791,0.0000,32.1215,0.4720,0.0791,0.0000,32.1215,0.4720,0.0791,0.0000,4.8075,0.0768,0.3070,0.0000,11.4252,0.1674,0.2001,0.0000
Gustavia_santanderiensis_8,21,1.8804,2.2427,180,0.9688,10019,54.8268,0.2187,16.1992,16.5184,10.8987,1.3382,0.0000,61.5270,0.0000,0.0000,37.3581,0.4911,0.6238,0.0000,0.8019,1.8748,1.8804,1.2864,1.8774,1.8680,1.8804,0.4507,0.1623,0.2282,0.2261,0.0919,0.0089,0.0037,7.3318,0.0865,1.0000,0.0146,0.3948,0.0000,5.0000,0.0718,0.2315,0.0000,10.0000,0.1428,0.1610,0.0000,29.6460,0.4501,0.0654,0.0000,29.6460,0.4501,0.0654,0.0000,29.6460,0.4501,0.0654,0.0000,29.6460,0.4501,0.0654,0.0000,4.0627,0.0592,0.2525,0.0000,10.9093,0.1558,0.1525,0.0000
Gustavia_santanderiensis_9,21,1.7254,2.0512,280,0.9621,10021,58.6202,1.1378,11.2469,25.1306,3.2890,0.5679,0.0076,60.7813,0.0099,0.3591,37.4226,0.9455,0.4221,0.0595,0.6195,1.7254,1.7229,1.0475,1.7207,1.7213,1.7252,0.4348,0.0897,0.1249,0.1993,0.0525,0.0003,0.0030,7.4872,0.1015,1.0000,0.0162,0.4418,0.0000,5.0000,0.0780,0.2638,0.0000,10.0000,0.1498,0.1874,0.0000,18.7383,0.2837,0.1214,0.0000,33.7865,0.5034,0.0668,0.0476,33.7865,0.5034,0.0668,0.0476,33.7865,0.5034,0.0668,0.0476,4.3410,0.0687,0.2793,0.0000,10.9091,0.1654,0.1780,0.0000
Gustavia_santanderiensis (average),21.0000,1.7960,2.1617,224.0000,0.9635,10020.3000,54.5653,1.1804,14.9400,20.5490,7.4220,1.2097,0.1336,58.1685,0.0012,0.5685,37.6224,2.1080,1.4657,0.0656,0.7348,1.7937,1.7793,1.1261,1.7696,1.7716,1.7952,0.3980,0.1065,0.1871,0.2355,0.0612,0.0045,0.0037,7.4164,0.0973,1.0000,0.0159,0.4383,0.0000,5.0000,0.0735,0.2624,0.0048,10.0000,0.1418,0.1854,0.0048,19.4809,0.2840,0.1237,0.0000,32.1433,0.4718,0.0687,0.0714,28.1031,0.4128,0.0802,0.0571,24.1279,0.3520,0.0971,0.0143,4.4234,0.0660,0.2751,0.0000,11.5026,0.1628,0.1710,0.0048
