Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.93414E-12,0.000000001,0.000000003,0.998303393,0,0
4.64437E-12,0.000000003,0.000000006,0.997804391,0,0
1.39173E-11,0.000000011,0.000000018,0.996906188,0,0
2.17263E-11,0.000000027,0.000000028,0.996007984,0,0
5.47529E-11,0.000000103,0.000000072,0.994011976,0,0
9.60105E-11,0.000000257,0.000000126,0.992015968,0,0
2.41987E-10,0.000001023,0.000000317,0.987325349,0,0
4.34823E-10,0.000002505,0.00000057,0.983033932,0,0
1.1728E-9,0.00001007,0.000001537,0.973153693,0,0
2.13696E-9,0.000025023,0.000002801,0.963872255,0,0
3.83679E-9,0.00005019,0.000005029,0.955189621,0,0
6.73558E-9,0.000100023,0.000008828,0.945708583,0,0
1.23638E-8,0.000251105,0.000016204,0.929840319,0,0
2.18801E-8,0.000500812,0.000028676,0.91497006,0,0
3.63022E-8,0.001000751,0.000047577,0.897704591,0,0
7.40131E-8,0.002505429,0.000096998,0.86996008,0,0
1.23268E-7,0.005006892,0.000161545,0.844111776,0,0
2.03251E-7,0.010001972,0.000266349,0.813473054,0,0
4.02382E-7,0.025013691,0.000527231,0.763672655,0,0
6.94096E-7,0.050011667,0.000909283,0.717664671,0,0
1.21763E-6,0.100070024,0.001594573,0.663872255,0,0
2.08736E-6,0.200111206,0.002731999,0.602095808,0,0
2.98727E-6,0.300010016,0.003907518,0.56237525,0,0
3.83176E-6,0.400334315,0.005009396,0.532934132,0,0
4.66687E-6,0.500242734,0.006097825,0.509381238,0,0
5.54088E-6,0.600009521,0.007235687,0.48992016,0,0
6.2347E-6,0.700155456,0.008138031,0.472954092,0,0
6.59209E-6,0.75027436,0.008602516,0.465169661,0,0
7.06682E-6,0.800142001,0.009219161,0.457884232,0,0
7.72516E-6,0.900290352,0.010073671,0.444311377,0,0
8.53774E-6,1.000660143,0.011127368,0.432035928,0,0
9.38268E-6,1.100052739,0.012221825,0.420958084,0,0
1.00239E-5,1.200831086,0.013051633,0.410578842,0,0
1.06259E-5,1.300065544,0.013829991,0.400998004,0,0
1.1357E-5,1.400137094,0.01477446,0.391916168,0,0
1.21063E-5,1.500640924,0.015741509,0.383333333,0,0
1.39064E-5,1.751358821,0.018060971,0.364071856,0,0
1.5666E-5,2.000104361,0.020322851,0.347305389,0,0
1.79373E-5,2.250169651,0.023234853,0.33243513,0,0
1.99191E-5,2.500869192,0.025768559,0.319261477,0,0
2.16879E-5,2.75108664,0.028024417,0.307285429,0,0
2.35884E-5,3.002166298,0.030442377,0.296207585,0,0
2.59516E-5,3.250910866,0.033440723,0.286227545,0,0
2.8389E-5,3.502034724,0.036523502,0.277045908,0,0
3.05971E-5,3.75297998,0.039307785,0.268562874,0,0
3.27811E-5,4.003152907,0.04205369,0.260678643,0,0
3.49453E-5,4.250145916,0.044767069,0.253393214,0,0
3.67889E-5,4.500277519,0.047072336,0.246407186,0,0
3.94111E-5,4.75112196,0.050341602,0.239820359,0,0
4.17928E-5,5.003308328,0.053301442,0.233632735,0,0
4.42405E-5,5.252294215,0.056333521,0.227844311,0,0
4.69175E-5,5.502623125,0.05963864,0.222355289,0,0
5.00695E-5,5.750473918,0.063515365,0.217265469,0,0
5.27022E-5,6.00263404,0.066740995,0.21237525,0,0
5.54587E-5,6.251771029,0.070106619,0.207784431,0,0
5.86351E-5,6.502592362,0.07396967,0.203393214,0,0
6.10709E-5,6.754163681,0.07692131,0.199201597,0,0
6.3326E-5,7.002436639,0.079645497,0.195209581,0,0
6.58815E-5,7.25513755,0.082722816,0.191317365,0,0
6.84597E-5,7.503332354,0.085817099,0.18762475,0,0
7.10654E-5,7.75446308,0.088933858,0.184031936,0,0
7.33866E-5,8.006765427,0.091701288,0.180538922,0,0
7.61559E-5,8.253706428,0.094991997,0.177245509,0,0
7.88355E-5,8.501479116,0.09816475,0.174051896,0,0
8.14163E-5,8.75032125,0.101210035,0.170958084,0,0
8.40553E-5,9.006354982,0.104313337,0.167864271,0,0
8.66729E-5,9.253902858,0.107380815,0.16497006,0,0
8.92793E-5,9.508922042,0.110424818,0.162075848,0,0
9.19522E-5,9.754001773,0.113535703,0.159381238,0,0
9.54851E-5,10.00684734,0.117630824,0.156686627,0,0
9.84927E-5,10.259758539,0.121102047,0.154091816,0,0
1.0116E-4,10.508680915,0.124169674,0.151596806,0,0
1.03933E-4,10.754659302,0.127346197,0.149201597,0,0
1.06842E-4,11.007601476,0.130666695,0.146806387,0,0
1.09406E-4,11.256513916,0.133584042,0.144510978,0,0
1.11614E-4,11.500143862,0.136086999,0.142315369,0,0
1.14531E-4,11.759927048,0.139383376,0.14001996,0,0
1.17137E-4,12.002659761,0.142317849,0.137924152,0,0
1.20134E-4,12.25229161,0.145680219,0.135828343,0,0
1.22896E-4,12.507530324,0.148767063,0.133732535,0,0
1.26763E-4,12.757074299,0.153070508,0.131736527,0,0
1.28823E-4,13.000202283,0.1553542,0.129840319,0,0
1.31658E-4,13.260486788,0.158486522,0.127844311,0,0
1.34856E-4,13.500130202,0.162006008,0.126047904,0,0
1.37869E-4,13.759945209,0.1653097,0.124151697,0,0
1.42081E-4,14.012233608,0.169904139,0.122355289,0,0
1.4565E-4,14.257930751,0.173777891,0.120658683,0,0
1.4845E-4,14.508032706,0.176804044,0.118962076,0,0
1.50788E-4,14.762296238,0.179323243,0.117265469,0,0
1.54052E-4,15.005880156,0.182826338,0.115668663,0,0
1.56858E-4,15.254964781,0.185826128,0.114071856,0,0
1.60125E-4,15.509072187,0.189305058,0.11247505,0,0
1.64526E-4,15.752455554,0.193967053,0.110978044,0,0
1.68936E-4,16.002315894,0.198612384,0.109481038,0,0
1.71083E-4,16.257379753,0.200864118,0.107984032,0,0
1.75815E-4,16.517176956,0.205805796,0.106487026,0,0
1.78456E-4,16.765309134,0.208549964,0.10508982,0.047619048,0
1.81369E-4,17.017145188,0.211564989,0.103692615,0.047619048,0
1.84771E-4,17.255007461,0.215072854,0.10239521,0.047619048,0
1.88331E-4,17.515908089,0.218727283,0.100998004,0.047619048,0
1.89323E-4,17.761372477,0.219741508,0.099700599,0.047619048,0
1.92872E-4,18.010177423,0.223362343,0.098403194,0.047619048,0
1.9786E-4,18.264347773,0.228423438,0.097105788,0.047619048,0
