Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6426,2.0813,240,0.9621,10019,50.8897,1.4035,23.6015,16.9964,5.8898,1.0941,0.1250,41.2793,0.5804,0.2892,47.6836,4.7177,5.3482,0.1017,0.7469,1.6405,1.6408,1.1232,1.5542,1.5788,1.6419,0.2674,0.1107,0.3204,0.3016,0.0343,0.0011,0.0000,7.5710,0.1103,1.0000,0.0174,0.5180,0.0000,5.0000,0.0700,0.3179,0.0000,10.0000,0.1346,0.2244,0.0000,30.0463,0.4052,0.0863,0.0000,32.0461,0.4367,0.0792,0.0952,30.0731,0.4053,0.0863,0.0952,30.0463,0.4052,0.0863,0.0000,5.3330,0.0746,0.3093,0.0000,12.5769,0.1679,0.1937,0.0000
Gustavia_santanderiensis_1,21,2.0339,2.5281,200,0.9718,10020,52.4546,0.4294,28.6396,12.6992,2.9745,2.7651,0.0377,44.2119,0.1434,1.6473,41.9479,3.6196,8.4299,0.0000,1.0560,2.0290,1.9906,1.5963,1.9416,1.9081,2.0322,0.3271,0.2026,0.5193,0.3333,0.0985,0.0280,0.0000,7.1783,0.0733,1.0000,0.0111,0.4320,0.0000,5.0000,0.0533,0.2336,0.0000,10.0000,0.1176,0.1567,0.0000,16.5172,0.2058,0.1064,0.0000,25.3744,0.3326,0.0685,0.0476,25.3744,0.3326,0.0685,0.0476,16.5172,0.2058,0.1064,0.0000,4.7908,0.0509,0.2388,0.0000,12.8847,0.1544,0.1307,0.0000
Gustavia_santanderiensis_2,21,1.5084,1.7028,160,0.9394,10021,58.1468,1.2985,16.1487,24.3928,0.0000,0.0132,0.0000,52.8905,0.0571,0.0000,46.9698,0.0000,0.0825,0.0000,0.6147,1.5084,1.5084,1.0008,1.5084,1.5036,1.5084,0.3796,0.0958,0.1584,0.2364,0.0926,0.0014,0.0016,7.7040,0.1268,1.0000,0.0194,0.5082,0.0000,5.0000,0.0844,0.3120,0.0000,10.0000,0.1642,0.2253,0.0000,17.6110,0.2804,0.1574,0.0000,20.8410,0.3268,0.1377,0.0476,20.8410,0.3268,0.1377,0.0476,17.6110,0.2804,0.1574,0.0000,5.0080,0.0847,0.3118,0.0000,10.3457,0.1715,0.2212,0.0000
Gustavia_santanderiensis_3,21,1.8422,2.3077,300,0.9658,10019,49.3601,1.0576,20.6140,16.8253,11.7931,0.3373,0.0126,43.3520,0.0000,0.0000,52.0606,2.8512,1.7362,0.0000,0.8507,1.8416,1.8422,1.1538,1.7879,1.8036,1.8419,0.2982,0.0957,0.3046,0.3447,0.0300,0.0000,0.0024,7.3699,0.0898,1.0000,0.0142,0.4509,0.0000,5.0000,0.0655,0.2666,0.0000,10.0000,0.1278,0.1864,0.0000,16.5256,0.2155,0.1299,0.0000,27.4263,0.3658,0.0784,0.0952,23.1169,0.3048,0.0952,0.0952,16.5256,0.2155,0.1299,0.0000,4.6889,0.0613,0.2742,0.0000,12.7773,0.1638,0.1584,0.0000
Gustavia_santanderiensis_4,21,2.2190,2.7118,220,0.9779,10019,52.1495,3.3404,27.7574,10.5844,5.7893,0.3789,0.0000,45.2227,0.0000,0.7683,49.2906,2.9036,1.8148,0.0000,1.0750,2.2190,2.1896,1.7211,2.1560,2.1824,2.2190,0.3270,0.0922,0.5370,0.4192,0.0338,0.0000,0.0031,6.9931,0.0608,1.0000,0.0106,0.3775,0.0000,5.0000,0.0497,0.2073,0.0000,10.0000,0.1064,0.1360,0.0000,21.8313,0.2706,0.0680,0.0000,22.0959,0.2750,0.0671,0.0476,22.0959,0.2750,0.0671,0.0476,21.8313,0.2706,0.0680,0.0000,4.2577,0.0425,0.2247,0.0000,13.4616,0.1506,0.1087,0.0000
Gustavia_santanderiensis_5,21,1.7779,2.1775,220,0.9681,10018,52.3761,0.9460,10.3770,25.3560,9.5702,1.3746,0.0000,48.5910,0.0000,0.4837,45.7896,2.5137,2.6221,0.0000,0.6417,1.7779,1.7607,1.0376,1.7240,1.7221,1.7779,0.4129,0.0619,0.1320,0.2144,0.0302,0.0000,0.0078,7.4342,0.0960,1.0000,0.0155,0.4394,0.0000,5.0000,0.0745,0.2606,0.0000,10.0000,0.1459,0.1850,0.0000,20.4138,0.2966,0.1103,0.0000,36.8285,0.5286,0.0565,0.0952,23.8656,0.3448,0.0952,0.0952,20.4138,0.2966,0.1103,0.0000,4.4456,0.0653,0.2736,0.0000,11.6259,0.1678,0.1689,0.0000
Gustavia_santanderiensis_6,21,1.6351,1.9874,240,0.9585,10020,55.7268,1.2321,9.5908,22.0416,10.4261,0.9715,0.0111,51.2944,0.3219,0.1071,47.2574,0.1589,0.7450,0.1152,0.6164,1.6316,1.6346,0.9370,1.6335,1.6220,1.6350,0.3857,0.0864,0.1122,0.2157,0.0690,0.0003,0.0024,7.5764,0.1111,1.0000,0.0175,0.4838,0.0000,5.0000,0.0759,0.2914,0.0000,10.0000,0.1523,0.2077,0.0000,16.3373,0.2431,0.1508,0.0000,35.9396,0.5282,0.0675,0.0952,27.1582,0.3991,0.0952,0.0952,16.3373,0.2431,0.1508,0.0000,4.9545,0.0749,0.2926,0.0000,11.1644,0.1684,0.1947,0.0000
Gustavia_santanderiensis_7,21,1.7411,2.1238,240,0.9680,10019,52.5874,0.6245,18.4084,18.3985,7.7392,1.9356,0.3064,47.0707,0.0000,0.0000,46.3554,2.5611,3.5778,0.4349,0.6785,1.7411,1.7411,1.1438,1.6806,1.6879,1.7377,0.3646,0.1251,0.2388,0.2467,0.0600,0.0061,0.0001,7.4712,0.0992,1.0000,0.0160,0.4704,0.0000,5.0000,0.0682,0.2794,0.0000,10.0000,0.1354,0.1948,0.0000,20.2158,0.2800,0.1143,0.0000,42.7314,0.6257,0.0448,0.0952,32.9320,0.4829,0.0664,0.0476,32.9320,0.4829,0.0664,0.0476,4.9609,0.0677,0.2804,0.0000,11.7953,0.1623,0.1753,0.0000
Gustavia_santanderiensis_8,21,1.7800,2.2166,240,0.9645,10019,57.2226,0.0036,19.3931,13.1836,7.2972,2.8963,0.0036,48.5558,0.0355,0.2250,40.2097,4.3209,6.6532,0.0000,0.7578,1.7794,1.7774,1.2625,1.6989,1.6728,1.7794,0.4075,0.1360,0.2502,0.2137,0.0608,0.0124,0.0053,7.4322,0.0954,1.0000,0.0150,0.4644,0.0000,5.0000,0.0648,0.2698,0.0000,10.0000,0.1356,0.1861,0.0000,11.4618,0.1580,0.1705,0.0000,28.0298,0.4080,0.0784,0.0952,23.3824,0.3389,0.0952,0.0952,11.4618,0.1580,0.1705,0.0000,5.0235,0.0652,0.2693,0.0000,11.6663,0.1593,0.1686,0.0476
Gustavia_santanderiensis_9,21,1.7529,2.1397,280,0.9642,10019,54.8696,0.4001,19.0754,18.1156,5.9016,1.2890,0.3486,48.4825,0.0000,0.0000,48.6223,1.0475,0.9364,0.9113,0.7091,1.7529,1.7529,1.1581,1.7341,1.7382,1.7439,0.3522,0.1429,0.2546,0.2725,0.0786,0.0063,0.0001,7.4593,0.0982,1.0000,0.0160,0.4521,0.0000,5.0000,0.0710,0.2702,0.0000,10.0000,0.1400,0.1897,0.0000,19.1735,0.2675,0.1178,0.0000,31.8025,0.4772,0.0685,0.0476,31.8025,0.4772,0.0685,0.0476,31.8025,0.4772,0.0685,0.0476,4.6580,0.0669,0.2785,0.0000,11.5729,0.1620,0.1732,0.0000
