Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.1126,2.3048,120,0.9694,10021,43.1808,1.2284,16.5250,36.1305,1.9366,0.9948,0.0040,60.9409,0.0000,0.0358,32.1024,5.5922,1.3288,0.0000,0.6463,2.1126,2.1125,1.2786,2.0482,2.0668,2.1125,0.4947,0.0547,0.1681,0.2461,0.0407,0.0000,0.0187,7.0998,0.0683,1.0000,0.0108,0.4009,0.0000,5.0000,0.0530,0.2205,0.0000,10.0000,0.1124,0.1474,0.0000,10.0357,0.1133,0.1471,0.0000,27.6874,0.3694,0.0583,0.0952,17.4409,0.2136,0.0952,0.0952,10.0357,0.1133,0.1471,0.0000,4.3996,0.0472,0.2347,0.0000,13.1570,0.1546,0.1208,0.0952
Gustavia_santanderiensis_1,21,1.9208,2.2224,120,0.9617,10019,39.4455,0.4939,16.8278,39.3197,1.2299,2.6832,0.0000,55.8116,0.0000,0.0000,35.7551,4.0146,4.4186,0.0000,0.7249,1.9053,1.9208,1.1223,1.8735,1.8419,1.9208,0.3725,0.1394,0.2043,0.2739,0.1280,0.0374,0.0000,7.2914,0.0825,1.0000,0.0126,0.4333,0.0000,5.0000,0.0626,0.2439,0.0000,10.0000,0.1249,0.1652,0.0476,9.6513,0.1205,0.1692,0.0000,16.8022,0.2211,0.1112,0.0476,16.8192,0.2213,0.1112,0.1429,16.8022,0.2211,0.1112,0.0476,4.6000,0.0568,0.2535,0.0000,11.9177,0.1531,0.1464,0.0476
Gustavia_santanderiensis_2,21,1.9187,2.2182,120,0.9650,10020,34.3569,0.0279,5.2700,55.9303,1.8241,2.0849,0.5059,53.7470,0.0000,0.0000,36.8236,6.5083,2.9212,0.0000,0.6014,1.9171,1.9175,0.8293,1.8410,1.8634,1.9021,0.3187,0.0764,0.1349,0.3182,0.0735,0.0117,0.0000,7.2934,0.0824,1.0000,0.0126,0.4573,0.0000,5.0000,0.0575,0.2674,0.0000,10.0000,0.1112,0.1808,0.0000,13.0463,0.1470,0.1482,0.0000,27.7564,0.3791,0.0687,0.0952,20.9944,0.2616,0.0952,0.0952,13.0463,0.1470,0.1482,0.0000,4.9494,0.0570,0.2687,0.0000,13.2096,0.1490,0.1467,0.0476
Gustavia_santanderiensis_3,21,1.5718,1.7709,120,0.9482,10020,40.9915,0.0000,15.1252,41.3178,0.8123,1.5196,0.2337,59.7453,0.0000,0.0000,34.2526,3.8922,2.1099,0.0000,0.4565,1.5718,1.5718,0.8939,1.5454,1.5414,1.5667,0.3353,0.0856,0.1457,0.2181,0.1003,0.0142,0.0000,7.6405,0.1180,1.0000,0.0174,0.5416,0.0000,5.0000,0.0734,0.3314,0.0000,10.0000,0.1381,0.2360,0.0000,19.2489,0.2606,0.1455,0.0000,23.8582,0.3264,0.1179,0.0952,23.8582,0.3264,0.1179,0.0952,19.2489,0.2606,0.1455,0.0000,5.4185,0.0797,0.3206,0.0000,12.2743,0.1679,0.2076,0.0000
Gustavia_santanderiensis_4,21,1.5683,1.7168,100,0.9450,10021,44.3331,0.0000,0.2934,54.6080,0.0854,0.6801,0.0000,66.8903,0.0000,0.0000,31.6004,0.7996,0.7097,0.0000,0.4761,1.5683,1.5596,0.8231,1.5658,1.5549,1.5683,0.4463,0.0836,0.0394,0.1474,0.0956,0.0055,0.0044,7.6444,0.1193,1.0000,0.0179,0.5075,0.0000,5.0000,0.0791,0.3067,0.0000,10.0000,0.1517,0.2198,0.0000,10.6247,0.1611,0.2123,0.0000,20.9168,0.3158,0.1295,0.0476,20.9168,0.3158,0.1295,0.1429,20.9168,0.3158,0.1295,0.0476,5.0489,0.0799,0.3055,0.0000,10.9564,0.1648,0.2084,0.0476
Gustavia_santanderiensis_5,21,1.9583,2.2190,120,0.9606,10018,34.4504,0.3274,7.7870,55.2271,1.5273,0.4547,0.2259,55.3238,0.0000,0.0000,39.2033,3.6862,1.7867,0.0000,0.6297,1.9583,1.9583,0.8955,1.9098,1.9364,1.9518,0.3163,0.0410,0.1602,0.3476,0.0498,0.0000,0.0003,7.2538,0.0797,1.0000,0.0121,0.4543,0.0000,5.0000,0.0567,0.2665,0.0000,10.0000,0.1093,0.1822,0.0000,15.8842,0.1779,0.1270,0.0000,15.8842,0.1779,0.1270,0.0000,15.9258,0.1782,0.1267,0.1429,15.8842,0.1779,0.1270,0.0000,4.7900,0.0548,0.2717,0.0000,14.0644,0.1565,0.1410,0.0000
Gustavia_santanderiensis_6,21,2.0984,2.3746,120,0.9729,10021,40.8076,0.6904,18.6710,35.3813,1.6391,2.8015,0.0091,56.0511,0.0426,0.0443,31.8780,6.2903,5.6936,0.0000,0.7566,2.0762,2.0980,1.2987,2.0139,2.0017,2.0983,0.4381,0.1530,0.2265,0.2636,0.1092,0.0324,0.0006,7.1144,0.0690,1.0000,0.0107,0.3861,0.0000,5.0000,0.0571,0.2076,0.0000,10.0000,0.1231,0.1380,0.0000,13.0172,0.1647,0.1140,0.0000,28.0576,0.4122,0.0548,0.0952,27.3365,0.4031,0.0566,0.0476,27.3365,0.4031,0.0566,0.0476,4.2740,0.0479,0.2241,0.0000,11.8251,0.1482,0.1226,0.0000
Gustavia_santanderiensis_7,21,2.3876,2.6590,120,0.9798,10020,40.9944,0.0000,11.9133,40.4095,2.1553,4.2863,0.2412,57.6422,0.0000,0.0000,31.3347,6.4735,4.4954,0.0542,0.6066,2.3876,2.3876,1.3005,2.2583,2.2813,2.3681,0.5029,0.0798,0.1559,0.2826,0.0852,0.0292,0.0000,6.8247,0.0513,1.0000,0.0087,0.3343,0.0000,5.0000,0.0477,0.1703,0.0000,10.0000,0.1063,0.1089,0.0000,19.8902,0.2647,0.0595,0.0000,31.3548,0.4623,0.0356,0.0952,19.9237,0.2653,0.0595,0.0952,19.8902,0.2647,0.0595,0.0000,3.8542,0.0360,0.1952,0.0000,12.4323,0.1388,0.0918,0.0000
Gustavia_santanderiensis_8,21,1.7682,2.0363,120,0.9536,10018,38.1406,0.4559,21.9589,37.7436,1.3714,0.3295,0.0000,57.2923,0.0000,0.2714,36.4405,4.0598,1.9360,0.0000,0.6756,1.7682,1.7604,1.0540,1.7358,1.7433,1.7682,0.3109,0.0714,0.2500,0.2978,0.0541,0.0002,0.0036,7.4440,0.0970,1.0000,0.0138,0.5106,0.0000,5.0000,0.0629,0.3034,0.0000,10.0000,0.1190,0.2114,0.0000,18.1631,0.2233,0.1339,0.0000,18.1631,0.2233,0.1339,0.0000,18.1631,0.2233,0.1339,0.1429,18.1631,0.2233,0.1339,0.0000,5.3026,0.0659,0.2957,0.0000,13.5952,0.1633,0.1706,0.0000
Gustavia_santanderiensis_9,21,2.0908,2.3578,120,0.9714,10020,37.2551,0.0000,2.7824,57.3705,1.0094,1.4395,0.1431,59.1558,0.0000,0.1784,35.7544,3.6087,1.2705,0.0321,0.5962,2.0908,2.0807,0.9442,2.0410,2.0539,2.0759,0.4161,0.0654,0.0997,0.2914,0.0795,0.0077,0.0000,7.1215,0.0694,1.0000,0.0116,0.3975,0.0000,5.0000,0.0552,0.2255,0.0000,10.0000,0.1103,0.1506,0.0000,11.9610,0.1351,0.1319,0.0000,27.3953,0.3669,0.0587,0.0476,27.3953,0.3669,0.0587,0.0476,27.3953,0.3669,0.0587,0.0476,4.3355,0.0481,0.2411,0.0000,12.9894,0.1474,0.1236,0.0476
