Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.9197,2.2107,120,0.9622,10021,32.8785,0.0000,0.0992,62.1752,2.8783,1.9684,0.0003,36.4638,0.0000,0.2939,56.9598,4.8602,1.4223,0.0000,0.6340,1.9197,1.9165,0.6558,1.8201,1.8552,1.9196,0.2860,0.0329,0.0997,0.3326,0.0211,0.0000,0.0024,7.2928,0.0827,1.0000,0.0115,0.4920,0.0000,5.0000,0.0543,0.2844,0.0000,10.0000,0.1083,0.1933,0.0000,19.3949,0.2246,0.1131,0.0000,19.3949,0.2246,0.1131,0.0000,19.4468,0.2248,0.1128,0.1429,19.3949,0.2246,0.1131,0.0000,5.2485,0.0568,0.2781,0.0000,14.5099,0.1615,0.1466,0.0000
Gustavia_santanderiensis_1,21,1.7655,1.9372,100,0.9516,10021,41.9580,0.0000,1.3411,54.8505,0.0000,1.8486,0.0018,45.9330,0.0000,0.7932,53.1067,0.0000,0.1671,0.0000,0.5500,1.7655,1.7046,0.8421,1.7655,1.7434,1.7654,0.4401,0.0900,0.0222,0.1735,0.1552,0.0213,0.0000,7.4469,0.0976,1.0000,0.0154,0.4360,0.0000,5.0000,0.0746,0.2576,0.0476,10.0000,0.1462,0.1818,0.0476,4.6486,0.0698,0.2656,0.0000,17.2820,0.2598,0.1253,0.0476,17.2996,0.2602,0.1253,0.1429,17.2820,0.2598,0.1253,0.0476,4.3815,0.0661,0.2721,0.0000,11.0717,0.1642,0.1710,0.0476
Gustavia_santanderiensis_2,21,2.0880,2.3090,120,0.9741,10021,41.4865,0.0000,0.2859,53.5282,0.5604,3.9942,0.1448,46.4730,0.0000,0.2516,48.5632,2.5358,2.1763,0.0000,0.5489,2.0880,2.0771,1.0436,2.0437,2.0126,2.0851,0.5084,0.0964,0.0580,0.2037,0.1200,0.0401,0.0000,7.1245,0.0699,1.0000,0.0118,0.3861,0.0000,5.0000,0.0567,0.2091,0.0000,10.0000,0.1274,0.1403,0.0000,26.0511,0.3716,0.0635,0.0000,38.3560,0.5483,0.0381,0.0952,32.9227,0.4673,0.0476,0.0476,26.0511,0.3716,0.0635,0.0000,4.3559,0.0484,0.2239,0.0000,12.0601,0.1582,0.1238,0.0000
Gustavia_santanderiensis_3,21,2.3364,2.6583,120,0.9817,10021,38.5691,0.0119,0.0000,51.5695,3.0796,6.7574,0.0125,42.0845,0.0000,0.0000,45.6663,5.6097,6.6395,0.0000,0.6250,2.3360,2.3364,1.2639,2.1663,2.1237,2.3360,0.4972,0.1022,0.1286,0.2399,0.0914,0.0649,0.0001,6.8760,0.0542,1.0000,0.0086,0.3424,0.0000,5.0000,0.0502,0.1770,0.0000,10.0000,0.1110,0.1166,0.0000,18.4468,0.2390,0.0712,0.0000,33.1826,0.4497,0.0360,0.0952,26.3624,0.3526,0.0491,0.0476,18.4468,0.2390,0.0712,0.0000,3.7744,0.0379,0.2034,0.0000,12.8714,0.1539,0.0966,0.0000
Gustavia_santanderiensis_4,21,1.9304,2.2083,120,0.9705,10021,37.3051,0.0000,3.8477,57.7529,0.3184,0.6385,0.1374,39.7953,0.0000,2.6360,56.5154,1.0533,0.0000,0.0000,0.5666,1.9304,1.8121,0.6428,1.9178,1.9141,1.9273,0.3692,0.0278,0.0145,0.2485,0.0612,0.0003,0.0004,7.2819,0.0825,1.0000,0.0131,0.4188,0.0000,5.0000,0.0650,0.2464,0.0000,10.0000,0.1330,0.1733,0.0000,21.1595,0.2806,0.0989,0.0000,32.2725,0.4236,0.0610,0.0952,22.0156,0.2907,0.0952,0.0952,21.1595,0.2806,0.0989,0.0000,4.2789,0.0563,0.2631,0.0000,13.2377,0.1747,0.1450,0.0000
Gustavia_santanderiensis_5,21,2.2016,2.4357,100,0.9762,10021,38.1334,0.0000,0.0000,59.9624,0.4709,0.9311,0.5021,43.5406,0.0000,0.0000,53.7965,2.2725,0.0627,0.3277,0.6441,2.2016,2.2016,1.0444,2.1752,2.1839,2.1892,0.4113,0.0737,0.1419,0.3230,0.0950,0.0091,0.0000,7.0108,0.0618,1.0000,0.0102,0.3777,0.0000,5.0000,0.0515,0.2064,0.0000,10.0000,0.1092,0.1365,0.0000,25.1111,0.3259,0.0590,0.0000,26.2928,0.3434,0.0558,0.0952,25.1467,0.3265,0.0590,0.0952,25.1111,0.3259,0.0590,0.0000,4.2527,0.0433,0.2235,0.0000,13.2286,0.1515,0.1106,0.0000
Gustavia_santanderiensis_6,21,2.3760,2.7083,120,0.9776,10021,37.3469,0.0390,11.9535,40.1770,3.1705,7.3083,0.0047,40.5232,0.2946,0.1022,45.1526,6.2686,7.6580,0.0007,0.8132,2.3613,2.3747,1.4748,2.2260,2.1228,2.3758,0.4900,0.1669,0.1971,0.2458,0.1372,0.1081,0.0001,6.8366,0.0521,1.0000,0.0090,0.3211,0.0000,5.0000,0.0519,0.1675,0.0000,10.0000,0.1136,0.1103,0.0476,7.9697,0.0869,0.1283,0.0000,26.4397,0.3610,0.0460,0.0952,15.2469,0.1870,0.0794,0.0952,15.2247,0.1867,0.0794,0.0476,3.6125,0.0365,0.1964,0.0000,12.6048,0.1503,0.0929,0.0476
Gustavia_santanderiensis_7,21,1.9598,2.1429,120,0.9615,10021,41.1511,0.0952,0.3691,57.4969,0.1497,0.6520,0.0860,46.1333,0.0169,0.0000,52.3717,1.0746,0.4035,0.0000,0.5063,1.9597,1.9472,0.9561,1.9521,1.9460,1.9580,0.4610,0.0506,0.0645,0.2238,0.0813,0.0029,0.0014,7.2525,0.0797,1.0000,0.0129,0.4090,0.0000,5.0000,0.0638,0.2348,0.0000,10.0000,0.1274,0.1613,0.0476,6.8849,0.0876,0.2006,0.0000,29.1318,0.4092,0.0645,0.0952,20.0880,0.2752,0.0952,0.0952,29.1318,0.4092,0.0645,0.0952,4.1824,0.0547,0.2538,0.0000,12.2634,0.1620,0.1408,0.0476
Gustavia_santanderiensis_8,21,1.7377,1.9561,100,0.9561,10021,37.1131,0.0000,10.6449,49.3871,1.0589,1.7959,0.0000,42.1230,0.0000,0.4114,53.0771,3.3698,1.0188,0.0000,0.5758,1.7377,1.7356,0.9457,1.7002,1.6839,1.7377,0.3263,0.0879,0.1888,0.2583,0.0887,0.0151,0.0000,7.4748,0.0994,1.0000,0.0142,0.5158,0.0000,5.0000,0.0634,0.3032,0.0000,10.0000,0.1217,0.2080,0.0000,16.3461,0.2113,0.1450,0.0000,23.3926,0.3132,0.1031,0.0476,23.3926,0.3132,0.1031,0.0476,16.3461,0.2113,0.1450,0.0000,5.4875,0.0679,0.2906,0.0000,12.7807,0.1603,0.1758,0.0000
Gustavia_santanderiensis_9,21,1.6900,1.9455,120,0.9566,10021,39.2218,0.0001,11.1045,45.5663,1.5947,2.5124,0.0002,41.4938,0.0015,0.4548,50.0539,4.9689,3.0270,0.0000,0.5205,1.6900,1.6838,0.9711,1.6335,1.6187,1.6900,0.3451,0.0969,0.1837,0.2219,0.0792,0.0200,0.0000,7.5225,0.1042,1.0000,0.0149,0.5388,0.0000,5.0000,0.0619,0.3184,0.0000,10.0000,0.1216,0.2175,0.0000,16.0860,0.2055,0.1536,0.0000,25.0429,0.3406,0.0998,0.0476,25.0654,0.3407,0.0998,0.1429,25.0429,0.3406,0.0998,0.0476,5.8168,0.0710,0.2965,0.0000,12.7340,0.1608,0.1845,0.0000
