Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.2242,2.4785,100,0.9769,10021,41.0615,0.0000,0.0000,56.2129,1.2516,1.2983,0.1756,55.3753,0.0000,0.0000,40.9935,2.6975,0.7792,0.1545,0.6835,2.2242,2.2242,1.1325,2.1625,2.1857,2.2174,0.4323,0.0715,0.1352,0.3153,0.0703,0.0041,0.0020,6.9882,0.0602,1.0000,0.0101,0.3813,0.0000,5.0000,0.0493,0.2100,0.0000,10.0000,0.1023,0.1382,0.0000,24.3336,0.3083,0.0599,0.0000,32.2528,0.4371,0.0409,0.0952,24.3336,0.3083,0.0599,0.0952,24.3336,0.3083,0.0599,0.0000,4.2280,0.0423,0.2277,0.0000,13.6191,0.1443,0.1081,0.0000
Gustavia_santanderiensis_1,21,2.0485,2.2512,120,0.9675,10021,42.3970,0.0175,0.4361,55.1564,0.4515,1.5416,0.0000,56.0461,0.0105,0.2282,41.0866,1.5335,1.0951,0.0000,0.6705,2.0478,2.0367,0.9975,2.0317,2.0101,2.0485,0.4537,0.0951,0.0720,0.2554,0.1107,0.0176,0.0006,7.1639,0.0726,1.0000,0.0119,0.3877,0.0000,5.0000,0.0613,0.2200,0.0000,10.0000,0.1256,0.1514,0.0000,12.0855,0.1506,0.1332,0.0000,27.0022,0.3733,0.0630,0.0952,18.1876,0.2343,0.0952,0.0952,12.0855,0.1506,0.1332,0.0000,4.1168,0.0502,0.2399,0.0000,12.6537,0.1559,0.1288,0.0952
Gustavia_santanderiensis_2,21,1.5789,1.7750,100,0.9514,10021,39.5867,1.4229,0.0000,53.3792,4.0994,1.5118,0.0000,51.3771,0.0000,0.0000,40.1253,7.8974,0.6002,0.0000,0.4616,1.5764,1.5789,0.6517,1.4857,1.5266,1.5789,0.3031,0.0110,0.0531,0.2156,0.0083,0.0021,0.0207,7.6335,0.1175,1.0000,0.0161,0.5844,0.0000,5.0000,0.0671,0.3532,0.0000,10.0000,0.1295,0.2507,0.0000,28.4904,0.3682,0.1032,0.0000,28.4904,0.3682,0.1032,0.0000,28.5127,0.3686,0.1032,0.1429,28.4904,0.3682,0.1032,0.0000,5.9450,0.0791,0.3275,0.0000,13.5332,0.1733,0.2062,0.0000
Gustavia_santanderiensis_3,21,2.4528,2.8244,120,0.9806,10021,35.1786,0.1198,5.9330,48.7870,4.1623,5.8076,0.0118,44.7256,0.4445,0.0187,39.7990,7.1820,7.8301,0.0000,0.8618,2.4302,2.4525,1.3230,2.2352,2.2150,2.4525,0.3821,0.1345,0.2234,0.3578,0.0874,0.0586,0.0000,6.7594,0.0478,1.0000,0.0079,0.3391,0.0000,5.0000,0.0446,0.1782,0.0000,10.0000,0.0957,0.1145,0.0000,12.9783,0.1331,0.0931,0.0000,20.1336,0.2313,0.0610,0.0952,19.7727,0.2247,0.0622,0.0476,12.9783,0.1331,0.0931,0.0000,3.7964,0.0338,0.2044,0.0000,14.2439,0.1505,0.0860,0.0476
Gustavia_santanderiensis_4,21,1.9651,2.2498,120,0.9723,10021,34.8355,0.0000,7.1700,51.3499,3.6642,2.2017,0.7787,48.0409,0.0000,0.6227,42.1861,7.1295,2.0208,0.0000,0.5845,1.9651,1.9511,1.0196,1.8227,1.9003,1.9421,0.2788,0.0546,0.2347,0.3450,0.0374,0.0018,0.0000,7.2473,0.0785,1.0000,0.0116,0.4930,0.0000,5.0000,0.0504,0.2858,0.0000,10.0000,0.0985,0.1915,0.0000,25.9251,0.3120,0.0756,0.0000,29.7255,0.3705,0.0628,0.0476,29.7255,0.3705,0.0628,0.0476,25.9251,0.3120,0.0756,0.0000,5.3883,0.0545,0.2757,0.0000,14.8268,0.1524,0.1401,0.0000
Gustavia_santanderiensis_5,21,2.0276,2.2990,120,0.9681,10021,43.1200,0.0760,0.6262,51.2757,1.5650,3.3129,0.0241,56.5106,0.0000,0.2396,38.1960,2.7528,2.1451,0.1558,0.6955,2.0250,2.0088,0.9983,1.9782,1.9231,2.0268,0.4950,0.0998,0.0418,0.2033,0.0845,0.0316,0.0103,7.1849,0.0744,1.0000,0.0113,0.3982,0.0000,5.0000,0.0612,0.2204,0.0000,10.0000,0.1300,0.1518,0.0000,10.9815,0.1425,0.1429,0.0000,37.8923,0.5383,0.0411,0.0952,18.6698,0.2514,0.0952,0.0952,37.8923,0.5383,0.0411,0.0952,4.2208,0.0512,0.2384,0.0000,12.4055,0.1614,0.1316,0.0952
Gustavia_santanderiensis_6,21,1.8704,2.0717,120,0.9654,10021,43.4916,0.0312,0.4921,53.6416,0.4351,1.8887,0.0196,58.4278,0.0000,0.2119,38.9129,1.2300,1.2174,0.0000,0.5771,1.8693,1.8548,0.9325,1.8544,1.8347,1.8699,0.4613,0.1007,0.0490,0.2014,0.1046,0.0198,0.0003,7.3421,0.0873,1.0000,0.0132,0.4305,0.0000,5.0000,0.0668,0.2490,0.0000,10.0000,0.1345,0.1739,0.0000,14.1020,0.1925,0.1384,0.0000,42.2682,0.6002,0.0405,0.0952,31.5982,0.4512,0.0625,0.0476,31.5982,0.4512,0.0625,0.0476,4.4389,0.0598,0.2622,0.0000,12.1141,0.1663,0.1540,0.0000
Gustavia_santanderiensis_7,21,2.4670,2.6632,100,0.9812,10021,42.8172,0.0000,1.0240,53.3048,0.4290,2.3088,0.1162,60.1282,0.0000,0.3286,37.4881,1.2060,0.8491,0.0000,0.7196,2.4670,2.4307,1.2215,2.4393,2.4230,2.4589,0.5875,0.0854,0.0475,0.2566,0.1256,0.0298,0.0008,6.7453,0.0477,1.0000,0.0094,0.2892,0.0000,5.0000,0.0533,0.1549,0.0000,10.0000,0.1107,0.1035,0.0000,18.0067,0.2236,0.0638,0.0000,23.5447,0.2991,0.0485,0.0476,23.5447,0.2991,0.0485,0.0476,18.0067,0.2236,0.0638,0.0000,3.2618,0.0334,0.1889,0.0000,13.0406,0.1488,0.0848,0.0000
Gustavia_santanderiensis_8,21,2.1444,2.4042,120,0.9714,10021,35.8491,0.0000,0.0000,59.4437,2.6938,1.9833,0.0301,48.1431,0.0000,0.0000,45.1097,5.9421,0.8050,0.0000,0.7271,2.1444,2.1444,0.8850,2.0360,2.0739,2.1432,0.3162,0.0460,0.1437,0.3770,0.0368,0.0008,0.0017,7.0681,0.0652,1.0000,0.0100,0.4243,0.0000,5.0000,0.0490,0.2378,0.0000,10.0000,0.0972,0.1574,0.0000,13.4024,0.1351,0.1249,0.0000,19.6555,0.2132,0.0861,0.0476,19.6555,0.2132,0.0861,0.0476,13.4024,0.1351,0.1249,0.0000,4.6760,0.0458,0.2457,0.0000,14.4316,0.1474,0.1171,0.0476
Gustavia_santanderiensis_9,21,2.1248,2.4690,120,0.9693,10021,34.7750,0.3216,4.8637,51.8196,3.8573,4.3127,0.0501,45.7434,0.5746,0.0133,41.5711,7.7633,4.3273,0.0070,0.7306,2.1129,2.1244,1.0677,1.9509,1.9767,2.1235,0.3193,0.1010,0.2132,0.3448,0.0559,0.0195,0.0000,7.0876,0.0667,1.0000,0.0095,0.4351,0.0000,5.0000,0.0479,0.2383,0.0000,10.0000,0.1004,0.1583,0.0476,8.4659,0.0850,0.1771,0.0000,21.7026,0.2498,0.0784,0.0952,21.1383,0.2412,0.0809,0.0952,21.1152,0.2411,0.0809,0.0476,4.8726,0.0467,0.2415,0.0000,14.2674,0.1515,0.1193,0.0476
