Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.70761E-12,0.000000001,0.000000003,0.998303224,0,0
5.51031E-12,0.000000003,0.000000007,0.998003793,0,0
1.65505E-11,0.00000001,0.00000002,0.99730512,0,0
2.58831E-11,0.000000025,0.000000032,0.996606448,0,0
7.12548E-11,0.000000104,0.000000088,0.994909672,0,0
1.14753E-10,0.000000251,0.000000142,0.993312706,0,0
2.88763E-10,0.000001018,0.000000357,0.989320291,0,0
6.1235E-10,0.000002547,0.000000758,0.985926739,0,0
1.46758E-9,0.000010078,0.000001816,0.978341152,0,0
2.72611E-9,0.000025093,0.000003374,0.971254616,0,0
4.18187E-9,0.000050166,0.000005175,0.963768839,0,0
6.5681E-9,0.000100231,0.000008128,0.954486476,0,0
1.15834E-8,0.000250886,0.000014335,0.937618525,0,0
1.93471E-8,0.000501103,0.000023943,0.921050005,0,0
3.23008E-8,0.001002495,0.000039974,0.901287554,0,0
6.3266E-8,0.002502765,0.000078293,0.869148618,0,0
1.0911E-7,0.005000596,0.000135022,0.83930532,0,0
1.94248E-7,0.010006619,0.000240365,0.805369797,0,0
4.12271E-7,0.025039961,0.000510082,0.754266893,0,0
7.25499E-7,0.050071857,0.000897448,0.710150714,0,0
1.24877E-6,0.10004025,0.001544244,0.658548757,0,0
2.14699E-6,0.20015434,0.002653509,0.59846292,0,0
2.95726E-6,0.300108844,0.003653104,0.558938018,0,0
3.7477E-6,0.400185482,0.004627274,0.528895099,0,0
4.52062E-6,0.500295332,0.005578939,0.504740992,0,0
5.32852E-6,0.600174952,0.006572692,0.484579299,0,0
6.01089E-6,0.700467742,0.007411261,0.466912866,0,0
6.35286E-6,0.750562505,0.007831246,0.458828226,0,0
6.68865E-6,0.800097477,0.00824346,0.451242639,0,0
7.41143E-6,0.900053005,0.009130184,0.437069568,0,0
8.06489E-6,1.000070215,0.009931167,0.424194031,0,0
8.79709E-6,1.100416813,0.010827911,0.412316598,0,0
9.46618E-6,1.200211585,0.011646647,0.401437269,0,0
1.00753E-5,1.300869058,0.012391421,0.391156802,0,0
1.09786E-5,1.400312813,0.013494769,0.381774628,0,0
