Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6427,2.0620,180,0.9594,10019,55.8177,0.2519,19.9518,13.4800,4.6587,5.5880,0.2519,44.8733,1.0289,0.0325,42.2481,7.4020,4.4152,0.0000,0.7946,1.6266,1.6424,1.1989,1.5871,1.5473,1.6353,0.3750,0.1259,0.1341,0.1862,0.1020,0.0373,0.0000,7.5695,0.1097,1.0000,0.0149,0.5299,0.0000,5.0000,0.0669,0.3060,0.0000,10.0000,0.1350,0.2102,0.0000,19.2674,0.2807,0.1295,0.0000,29.9975,0.4477,0.0822,0.0952,26.3787,0.3856,0.0952,0.0952,19.2674,0.2807,0.1295,0.0000,5.6036,0.0744,0.2900,0.0000,11.3768,0.1573,0.1934,0.0000
Gustavia_santanderiensis_1,21,2.0782,2.4169,180,0.9762,10018,56.1072,1.6924,9.7264,29.1286,1.6878,1.6572,0.0005,54.5735,0.0642,0.0382,43.6511,1.4373,0.2077,0.0280,0.7794,2.0777,2.0758,1.2852,2.0694,2.0621,2.0782,0.5413,0.0587,0.0505,0.2102,0.0801,0.0058,0.0039,7.1339,0.0709,1.0000,0.0114,0.3684,0.0000,5.0000,0.0627,0.2004,0.0000,10.0000,0.1348,0.1377,0.0000,30.6376,0.4371,0.0532,0.0000,35.4686,0.5047,0.0436,0.0476,33.3848,0.4729,0.0476,0.0476,30.6376,0.4371,0.0532,0.0000,3.8779,0.0487,0.2250,0.0000,11.6186,0.1608,0.1251,0.0000
Gustavia_santanderiensis_2,21,1.9153,2.3852,180,0.9660,10020,50.7520,0.8571,19.1144,13.9535,5.2876,10.0326,0.0028,39.7749,1.9543,0.0000,39.4049,9.0556,9.8103,0.0000,0.8913,1.8814,1.9153,1.2933,1.7808,1.6991,1.9151,0.3567,0.1404,0.1593,0.2379,0.1346,0.0768,0.0021,7.2971,0.0832,1.0000,0.0114,0.4547,0.0000,5.0000,0.0593,0.2481,0.0000,10.0000,0.1292,0.1685,0.0000,14.6743,0.1921,0.1285,0.0000,28.8707,0.4134,0.0670,0.0952,20.7331,0.2864,0.0952,0.0952,14.6743,0.1921,0.1285,0.0000,4.8394,0.0571,0.2521,0.0000,12.2403,0.1580,0.1473,0.0000
Gustavia_santanderiensis_3,21,1.8922,2.3469,160,0.9703,10019,54.5105,0.7448,18.9221,16.6450,7.8834,1.1835,0.1108,44.1759,0.1835,0.0000,48.3144,6.4704,0.8558,0.0000,0.8760,1.8875,1.8922,1.2444,1.8386,1.8386,1.8907,0.3694,0.0680,0.1393,0.2722,0.0477,0.0034,0.0026,7.3201,0.0850,1.0000,0.0124,0.4502,0.0000,5.0000,0.0613,0.2594,0.0000,10.0000,0.1216,0.1777,0.0000,15.4776,0.1981,0.1292,0.0000,30.4246,0.4111,0.0643,0.0952,21.6858,0.2897,0.0952,0.0952,15.4776,0.1981,0.1292,0.0000,4.7157,0.0584,0.2664,0.0000,12.7005,0.1597,0.1507,0.0000
Gustavia_santanderiensis_4,21,1.9512,2.4041,240,0.9731,10018,56.0949,1.6518,21.6750,11.4067,6.4107,2.7569,0.0041,45.1254,0.1134,0.3802,44.2353,7.4404,2.7053,0.0000,0.8520,1.9496,1.9498,1.3788,1.8583,1.8647,1.9512,0.3852,0.0742,0.1675,0.2653,0.0648,0.0128,0.0001,7.2603,0.0799,1.0000,0.0118,0.4503,0.0000,5.0000,0.0562,0.2521,0.0000,10.0000,0.1179,0.1690,0.0000,16.9515,0.2188,0.1127,0.0000,27.0474,0.3578,0.0698,0.0476,27.0474,0.3578,0.0698,0.0476,16.9515,0.2188,0.1127,0.0000,4.9362,0.0550,0.2537,0.0000,12.7658,0.1551,0.1419,0.0000
Gustavia_santanderiensis_5,21,2.0716,2.5484,200,0.9737,10019,54.2485,2.0723,20.9465,13.0491,7.6054,2.0697,0.0085,45.1197,0.0000,0.0000,51.4434,2.5685,0.8684,0.0000,0.9601,2.0683,2.0716,1.3727,2.0501,2.0440,2.0715,0.3629,0.0756,0.2318,0.3410,0.0760,0.0032,0.0000,7.1406,0.0711,1.0000,0.0115,0.4025,0.0000,5.0000,0.0565,0.2276,0.0000,10.0000,0.1176,0.1539,0.0000,10.5159,0.1236,0.1489,0.0000,29.3116,0.3853,0.0573,0.0476,29.3116,0.3853,0.0573,0.0476,29.3116,0.3853,0.0573,0.0476,4.3935,0.0491,0.2417,0.0000,13.2752,0.1599,0.1260,0.0476
Gustavia_santanderiensis_6,21,1.9444,2.3272,200,0.9692,10020,58.2421,1.9863,16.3480,15.6418,6.2294,1.5057,0.0467,50.8632,0.0000,0.0293,43.2302,5.1485,0.7288,0.0000,0.8363,1.9444,1.9443,1.3663,1.8821,1.8828,1.9426,0.4909,0.0473,0.0948,0.1949,0.0346,0.0003,0.0195,7.2680,0.0807,1.0000,0.0125,0.4289,0.0000,5.0000,0.0594,0.2403,0.0000,10.0000,0.1259,0.1636,0.0000,14.8847,0.1971,0.1232,0.0000,24.8689,0.3483,0.0772,0.0952,20.1926,0.2804,0.0952,0.0952,14.8847,0.1971,0.1232,0.0000,4.7046,0.0556,0.2475,0.0000,12.1872,0.1582,0.1430,0.0000
Gustavia_santanderiensis_7,21,1.8785,2.2057,160,0.9674,10019,53.3018,4.0395,15.8591,21.5332,4.4982,0.7665,0.0018,46.1685,0.0000,0.0266,48.6586,4.4890,0.6147,0.0427,0.7526,1.8784,1.8779,1.2296,1.8423,1.8585,1.8785,0.3766,0.0211,0.0885,0.2658,0.0238,0.0000,0.0014,7.3338,0.0865,1.0000,0.0129,0.4502,0.0000,5.0000,0.0632,0.2607,0.0000,10.0000,0.1288,0.1816,0.0000,15.5606,0.1994,0.1332,0.0000,28.4577,0.3769,0.0736,0.0952,22.6543,0.3045,0.0952,0.0952,15.5606,0.1994,0.1332,0.0000,4.6661,0.0593,0.2688,0.0000,12.9875,0.1672,0.1528,0.0000
Gustavia_santanderiensis_8,21,2.0912,2.5908,220,0.9775,10019,54.9717,1.3459,21.2596,10.6729,5.2844,6.2990,0.1666,45.0240,0.0563,0.3045,37.0481,9.3583,8.2087,0.0000,0.9255,2.0886,2.0783,1.5530,1.9612,1.9094,2.0876,0.4510,0.1046,0.1928,0.2291,0.0738,0.0289,0.0004,7.1209,0.0694,1.0000,0.0099,0.4242,0.0000,5.0000,0.0512,0.2217,0.0000,10.0000,0.1145,0.1459,0.0000,23.2521,0.3153,0.0710,0.0000,30.9643,0.4253,0.0505,0.0952,23.4996,0.3205,0.0702,0.0476,23.2521,0.3153,0.0710,0.0000,4.7915,0.0482,0.2268,0.0000,12.5825,0.1520,0.1235,0.0000
Gustavia_santanderiensis_9,21,1.7474,2.1286,240,0.9648,10019,53.4818,2.6007,13.3698,23.1966,6.4064,0.9447,0.0000,47.0780,0.5970,0.0229,48.1220,3.7700,0.4100,0.0000,0.6900,1.7428,1.7447,1.0869,1.7283,1.7218,1.7474,0.3781,0.0293,0.0603,0.2294,0.0347,0.0000,0.0025,7.4650,0.0990,1.0000,0.0142,0.4812,0.0000,5.0000,0.0692,0.2838,0.0000,10.0000,0.1362,0.2009,0.0000,16.5427,0.2250,0.1421,0.0000,32.6470,0.4463,0.0705,0.0952,25.4923,0.3503,0.0952,0.0952,16.5427,0.2250,0.1421,0.0000,4.8633,0.0673,0.2872,0.0000,12.5368,0.1706,0.1742,0.0000
