Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.75264E-12,0.000000001,0.000000007,0.998902305,0,0
9.52885E-12,0.000000003,0.000000014,0.998702724,0,0
2.68595E-11,0.00000001,0.000000039,0.998403353,0,0
5.03245E-11,0.000000028,0.000000073,0.998004191,0,0
9.25918E-11,0.000000105,0.000000134,0.996906496,0,0
1.61562E-10,0.000000255,0.000000234,0.995709011,0,0
4.20562E-10,0.000001023,0.00000061,0.99321425,0,0
7.55231E-10,0.000002505,0.000001096,0.99081928,0,0
2.08096E-9,0.000010083,0.00000302,0.984931644,0,0
4.04737E-9,0.000025083,0.000005873,0.980241493,0,0
6.86857E-9,0.000050654,0.000009967,0.975551342,0,0
1.14739E-8,0.000100725,0.00001665,0.970162658,0,0
2.09442E-8,0.000250827,0.000030391,0.960582776,0,0
3.27044E-8,0.000500231,0.000047456,0.951202475,0,0
4.73239E-8,0.001004136,0.000068669,0.93872867,0,0
8.62155E-8,0.002508141,0.000125099,0.915976449,0,0
1.32336E-7,0.005002068,0.000192012,0.893024648,0,0
2.10262E-7,0.010003296,0.000305063,0.863586468,0,0
3.89577E-7,0.025015976,0.000565152,0.812593554,0,0
6.38757E-7,0.050004286,0.000926464,0.763796028,0,0
1.08303E-6,0.100080013,0.001570341,0.70511925,0,0
1.94163E-6,0.20013838,0.00281351,0.637660912,0,0
2.73432E-6,0.300166201,0.003959879,0.594551442,0,0
3.50183E-6,0.400221477,0.005068577,0.56241892,0,0
4.22541E-6,0.500128698,0.006112691,0.536672987,0,0
5.0348E-6,0.60020865,0.007279318,0.515118252,0,0
5.72657E-6,0.700483409,0.008275338,0.496457439,0,0
6.0812E-6,0.750168902,0.00878555,0.488075042,0,0
6.47755E-6,0.800516428,0.009355467,0.480091807,0,0
7.22886E-6,0.900308912,0.010434894,0.465622193,0,0
7.99352E-6,1.000732309,0.011532303,0.452449855,0,0
8.6992E-6,1.100693974,0.012543979,0.440475002,0,0
9.3872E-6,1.200010608,0.013529307,0.429498054,0,0
1.01953E-5,1.300059697,0.0146854,0.419319429,0,0
1.07904E-5,1.400795599,0.015535879,0.409739547,0,0
1.14791E-5,1.501082727,0.016519294,0.400758407,0,0
1.38276E-5,1.750429298,0.019865122,0.3809999,0,0
1.58576E-5,2.001372146,0.022748079,0.364135316,0,0
1.75133E-5,2.25131499,0.025093177,0.34916675,0,0
1.95526E-5,2.500864898,0.027973885,0.33569504,0,0
2.15017E-5,2.750850294,0.030719098,0.323520607,0,0
2.34352E-5,3.001365468,0.033434825,0.312344077,0,0
2.53689E-5,3.250344263,0.036143233,0.302165453,0,0
2.74503E-5,3.500347229,0.039049951,0.292685361,0,0
2.92437E-5,3.752491268,0.041547508,0.283804012,0,0
3.18189E-5,4.000944629,0.045122317,0.275720986,0,0
3.40233E-5,4.251786737,0.048171964,0.268136912,0,0
3.62134E-5,4.501309072,0.051192128,0.261051791,0,0
3.85509E-5,4.751995484,0.054404929,0.254365832,0,0
