Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.8901,2.2730,180,0.9730,10020,51.9884,0.0099,11.2780,31.0124,3.2133,2.4353,0.0626,52.9784,0.0000,0.6614,42.5539,1.6213,2.1850,0.0000,0.7322,1.8891,1.8866,1.1189,1.8662,1.8520,1.8889,0.4201,0.0702,0.0757,0.2496,0.0841,0.0163,0.0000,7.3222,0.0856,1.0000,0.0129,0.4390,0.0000,5.0000,0.0617,0.2507,0.0000,10.0000,0.1260,0.1702,0.0000,28.8213,0.4268,0.0678,0.0000,38.2841,0.5555,0.0469,0.0476,37.9634,0.5526,0.0476,0.0476,28.8213,0.4268,0.0678,0.0000,4.7489,0.0586,0.2569,0.0000,11.8978,0.1526,0.1510,0.0000
Gustavia_santanderiensis_1,21,1.9145,2.2301,160,0.9679,10021,55.6050,0.0000,16.1187,20.9486,6.2885,1.0392,0.0000,55.0301,0.0000,0.0000,44.7229,0.0078,0.2392,0.0000,0.7842,1.9145,1.9145,1.2463,1.9129,1.9061,1.9145,0.4138,0.0646,0.1225,0.2752,0.0733,0.0043,0.0000,7.2979,0.0835,1.0000,0.0131,0.4279,0.0000,5.0000,0.0618,0.2438,0.0000,10.0000,0.1291,0.1662,0.0000,13.1401,0.1719,0.1374,0.0000,28.5657,0.4182,0.0671,0.0476,28.5657,0.4182,0.0671,0.0476,28.5657,0.4182,0.0671,0.0476,4.5843,0.0572,0.2539,0.0000,11.9329,0.1545,0.1474,0.0000
Gustavia_santanderiensis_2,21,1.6943,2.0747,140,0.9624,10021,51.2854,0.1686,11.8579,36.2483,0.0309,0.3165,0.0924,52.1401,0.0000,1.6636,45.8562,0.2115,0.1285,0.0000,0.6803,1.6855,1.6689,0.9887,1.6937,1.6830,1.6921,0.3791,0.0590,0.0525,0.2302,0.0759,0.0029,0.0000,7.5182,0.1048,1.0000,0.0168,0.4584,0.0000,5.0000,0.0771,0.2785,0.0000,10.0000,0.1454,0.1980,0.0476,9.6475,0.1405,0.2022,0.0000,39.5487,0.5841,0.0554,0.0952,37.3312,0.5600,0.0601,0.0476,37.3312,0.5600,0.0601,0.0476,4.5322,0.0708,0.2897,0.0000,11.3134,0.1633,0.1837,0.0476
Gustavia_santanderiensis_3,21,1.7193,2.1031,140,0.9627,10020,56.6133,0.2952,20.7229,15.3048,6.1420,0.9051,0.0168,52.1497,0.0000,0.0000,44.9565,1.7380,1.1558,0.0000,0.7722,1.7183,1.7193,1.2226,1.6930,1.6937,1.7184,0.3608,0.0561,0.1683,0.2543,0.0373,0.0005,0.0019,7.4930,0.1018,1.0000,0.0147,0.5100,0.0000,5.0000,0.0656,0.2998,0.0000,10.0000,0.1273,0.2084,0.0000,17.2178,0.2247,0.1391,0.0000,31.8753,0.4580,0.0729,0.0952,25.4068,0.3506,0.0952,0.0952,17.2178,0.2247,0.1391,0.0000,5.2895,0.0691,0.2924,0.0000,12.5285,0.1598,0.1791,0.0000
Gustavia_santanderiensis_4,21,1.6229,2.0041,200,0.9606,10021,49.3238,1.5558,10.7716,28.9848,8.7655,0.5481,0.0504,46.9243,0.0000,1.6719,48.5822,2.0402,0.7639,0.0175,0.6621,1.6223,1.5919,0.8465,1.5930,1.6000,1.6223,0.2985,0.0185,0.0458,0.2638,0.0247,0.0000,0.0000,7.5892,0.1126,1.0000,0.0162,0.5183,0.0000,5.0000,0.0745,0.3125,0.0000,10.0000,0.1400,0.2224,0.0000,13.7795,0.1939,0.1810,0.0000,25.3966,0.3577,0.1072,0.0476,25.3966,0.3577,0.1072,0.1429,25.3966,0.3577,0.1072,0.0476,5.1105,0.0758,0.3098,0.0000,12.1518,0.1710,0.1972,0.0000
Gustavia_santanderiensis_5,21,1.9323,2.3529,240,0.9717,10021,52.0799,0.3216,20.2688,14.6142,6.2752,6.3319,0.1083,46.2405,0.0191,0.0000,40.3769,4.2033,9.1603,0.0000,0.8593,1.9175,1.9323,1.3189,1.8536,1.8095,1.9323,0.3543,0.1054,0.1890,0.2881,0.0944,0.0375,0.0001,7.2801,0.0818,1.0000,0.0115,0.4524,0.0000,5.0000,0.0572,0.2481,0.0000,10.0000,0.1192,0.1664,0.0000,14.3765,0.1852,0.1268,0.0000,27.7556,0.4014,0.0676,0.0476,27.7556,0.4014,0.0676,0.0476,27.7556,0.4014,0.0676,0.0476,4.9090,0.0563,0.2504,0.0000,12.1237,0.1514,0.1448,0.0000
Gustavia_santanderiensis_6,21,1.7136,2.0453,180,0.9638,10019,56.4539,0.0000,16.8510,19.4344,5.9971,1.2636,0.0000,53.8509,0.0000,0.0000,44.5124,0.9729,0.6638,0.0000,0.6829,1.7136,1.7136,1.1437,1.7041,1.6977,1.7136,0.3819,0.0616,0.1126,0.2384,0.0551,0.0040,0.0000,7.4986,0.1023,1.0000,0.0150,0.4946,0.0000,5.0000,0.0681,0.2911,0.0000,10.0000,0.1315,0.2023,0.0000,17.3901,0.2378,0.1345,0.0000,34.2923,0.5072,0.0657,0.0952,33.0630,0.4924,0.0688,0.0476,33.0630,0.4924,0.0688,0.0476,5.1253,0.0694,0.2881,0.0000,11.9201,0.1601,0.1802,0.0000
Gustavia_santanderiensis_7,21,1.7576,2.0940,140,0.9653,10021,51.7426,1.1369,15.3418,23.1335,7.8050,0.8402,0.0000,51.4405,0.0000,0.0000,46.1862,1.1635,1.2098,0.0000,0.7268,1.7576,1.7576,1.1366,1.7284,1.7346,1.7576,0.3483,0.0277,0.1117,0.2740,0.0293,0.0000,0.0019,7.4548,0.0978,1.0000,0.0143,0.5011,0.0000,5.0000,0.0642,0.2941,0.0000,10.0000,0.1245,0.2039,0.0000,19.1879,0.2520,0.1228,0.0000,31.0665,0.4356,0.0726,0.0952,24.7062,0.3404,0.0952,0.0952,19.1879,0.2520,0.1228,0.0000,5.1879,0.0666,0.2894,0.0000,12.7641,0.1600,0.1724,0.0000
Gustavia_santanderiensis_8,21,1.7969,2.1920,180,0.9676,10021,51.3096,0.7236,9.0936,29.1597,8.5309,1.0706,0.1119,51.0745,0.0000,2.6075,45.8719,0.2967,0.1494,0.0000,0.6824,1.7960,1.7650,0.9593,1.7955,1.7939,1.7949,0.3883,0.0318,0.0407,0.2525,0.0466,0.0000,0.0001,7.4157,0.0944,1.0000,0.0148,0.4465,0.0000,5.0000,0.0699,0.2637,0.0000,10.0000,0.1381,0.1850,0.0000,18.4844,0.2608,0.1188,0.0000,30.2140,0.4363,0.0725,0.0952,29.8375,0.4312,0.0737,0.0952,18.4844,0.2608,0.1188,0.0000,4.5859,0.0641,0.2736,0.0000,11.8879,0.1623,0.1658,0.0000
Gustavia_santanderiensis_9,21,1.8218,2.2974,180,0.9679,10021,56.0387,2.1773,25.4896,8.8448,5.5901,1.8595,0.0000,49.0366,0.0000,0.0000,43.0635,3.8390,4.0609,0.0000,0.8304,1.8217,1.8125,1.3815,1.7497,1.7483,1.8218,0.3104,0.0591,0.2652,0.3122,0.0380,0.0031,0.0000,7.3907,0.0913,1.0000,0.0127,0.5240,0.0000,5.0000,0.0549,0.3012,0.0000,10.0000,0.1077,0.2024,0.0000,23.6236,0.3042,0.0944,0.0000,29.8517,0.4074,0.0713,0.0952,25.3077,0.3300,0.0872,0.0952,23.6236,0.3042,0.0944,0.0000,5.7506,0.0625,0.2811,0.0000,13.4762,0.1510,0.1617,0.0000
