Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.64897E-11,0.000000002,0.00000003,0.999301467,0,0
1.72075E-11,0.000000004,0.000000031,0.999201676,0,0
3.61533E-11,0.000000013,0.000000065,0.998902305,0,0
4.12759E-11,0.000000029,0.000000074,0.998503143,0,0
9.80484E-11,0.000000105,0.000000176,0.997405449,0,0
2.74868E-10,0.000000257,0.000000495,0.996507335,0,0
6.79241E-10,0.000001022,0.000001222,0.994910688,0,0
1.08988E-9,0.000002582,0.000001961,0.99321425,0,0
2.95025E-9,0.000010005,0.000005309,0.989621794,0,0
5.32152E-9,0.00002511,0.000009577,0.985929548,0,0
7.73119E-9,0.000050488,0.000013913,0.982037721,0,0
1.12598E-8,0.000100988,0.000020263,0.976649037,0,0
2.0012E-8,0.000250268,0.000036013,0.967268736,0,0
3.10808E-8,0.000500536,0.000055932,0.957489273,0,0
4.76819E-8,0.001002527,0.000085806,0.944915677,0,0
8.61609E-8,0.0025022,0.000155045,0.922063666,0,0
1.39258E-7,0.005005146,0.00025058,0.899511027,0,0
2.31005E-7,0.010022186,0.000415634,0.872368027,0,0
4.44197E-7,0.025003264,0.000799066,0.827262748,0,0
7.02498E-7,0.05001774,0.001263429,0.783155374,0,0
1.19667E-6,0.100070801,0.002151234,0.73016665,0,0
2.04293E-6,0.200037923,0.003669747,0.667797625,0,0
2.91172E-6,0.30015426,0.005226284,0.627083125,0,0
3.6904E-6,0.400086889,0.006619305,0.596547251,0,0
4.51586E-6,0.500433286,0.008093884,0.571899012,0,0
5.27884E-6,0.600129425,0.009454922,0.551541762,0,0
5.99611E-6,0.700592898,0.010732695,0.533779064,0,0
6.33957E-6,0.750592597,0.01134398,0.525696038,0,0
6.78223E-6,0.800295433,0.012131248,0.518111965,0,0
7.50015E-6,0.900363648,0.013406733,0.504141303,0,0
8.23362E-6,1.000443596,0.014708132,0.491467917,0,0
8.9959E-6,1.100366253,0.016058851,0.479892226,0,0
9.74014E-6,1.200230375,0.017375803,0.46931444,0,0
1.04125E-5,1.3000334,0.018564078,0.459435186,0,0
1.12709E-5,1.400500986,0.020078977,0.450154675,0,0
1.19581E-5,1.500337285,0.021290167,0.441572697,0,0
1.39851E-5,1.750625035,0.024853778,0.422213352,0,0
1.61158E-5,2.000625922,0.028585686,0.405448558,0,0
1.81542E-5,2.250655715,0.032142724,0.390879154,0,0
2.04335E-5,2.500843063,0.036104642,0.377906397,0,0
2.22934E-5,2.751002001,0.039325512,0.366230915,0,0
2.445E-5,3.000847884,0.043046734,0.355553338,0,0
2.60945E-5,3.250176556,0.045874599,0.345674084,0,0
2.81986E-5,3.50211559,0.049480557,0.336393573,0,0
3.01291E-5,3.75299441,0.052777195,0.327811596,0,0
3.21249E-5,4.000908513,0.056173198,0.31982836,0,0
3.38604E-5,4.251199858,0.059116429,0.312244287,0,0
3.59904E-5,4.503308577,0.062715975,0.305059375,0,0
3.76643E-5,4.753674389,0.065535251,0.298273625,0,0
3.94019E-5,5.00060492,0.068452844,0.291887037,0,0
4.13547E-5,5.25079974,0.071720692,0.28570003,0,0
4.33724E-5,5.50140637,0.075085321,0.279812394,0,0
4.55188E-5,5.750526956,0.0786511,0.274224129,0,0
4.71791E-5,6.000600901,0.08139982,0.268835446,0,0
4.98021E-5,6.253121313,0.08572587,0.263646343,0,0
5.20333E-5,6.503105828,0.089389605,0.258756611,0,0
5.36999E-5,6.751412087,0.092116689,0.25406646,0,0
5.58867E-5,7.00442208,0.095682465,0.2494761,0,0
5.7843E-5,7.254854326,0.098860672,0.245085321,0,0
5.93769E-5,7.501635024,0.101344672,0.240894122,0,0
6.13505E-5,7.755482205,0.104530794,0.236702924,0,0
6.33274E-5,8.004908707,0.107710904,0.232711306,0,0
6.60437E-5,8.251275826,0.112062096,0.22891927,0,0
6.86424E-5,8.500120936,0.116205004,0.225227023,0,0
