Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6137,2.0121,220,0.9610,10021,53.4889,1.1628,22.3597,20.3915,2.3386,0.2176,0.0410,49.6504,0.0000,0.6442,47.6022,2.0103,0.0382,0.0546,0.7382,1.6137,1.6041,1.1666,1.5750,1.5944,1.6133,0.2994,0.0621,0.1463,0.2540,0.0454,0.0015,0.0000,7.5988,0.1130,1.0000,0.0163,0.5194,0.0000,5.0000,0.0728,0.3129,0.0000,10.0000,0.1399,0.2202,0.0000,29.1103,0.4193,0.0888,0.0000,29.1103,0.4193,0.0888,0.0000,29.1103,0.4193,0.0888,0.1429,29.1103,0.4193,0.0888,0.0000,5.3324,0.0765,0.3045,0.0000,11.7687,0.1666,0.1991,0.0000
Gustavia_santanderiensis_1,21,1.7170,2.1137,140,0.9625,10021,50.3633,2.5305,16.7599,23.2506,6.5894,0.4871,0.0191,46.8466,0.0000,0.0000,51.3307,1.6843,0.0000,0.1384,0.7326,1.7168,1.7170,1.0798,1.6818,1.6966,1.7167,0.2857,0.0313,0.1142,0.2925,0.0319,0.0000,0.0000,7.4953,0.1017,1.0000,0.0147,0.4915,0.0000,5.0000,0.0685,0.2919,0.0000,10.0000,0.1346,0.2051,0.0000,19.9888,0.2664,0.1217,0.0000,23.9459,0.3268,0.1016,0.0476,23.9679,0.3270,0.1016,0.1429,19.9888,0.2664,0.1217,0.0000,5.0800,0.0693,0.2899,0.0000,12.3335,0.1675,0.1795,0.0000
Gustavia_santanderiensis_2,21,1.7927,2.1854,140,0.9657,10021,53.4399,0.2325,14.6744,22.0132,5.9202,3.6576,0.0621,50.7185,0.0496,0.0000,46.0995,2.1045,0.8303,0.1976,0.6951,1.7916,1.7927,1.0923,1.7375,1.7479,1.7910,0.3625,0.0777,0.0871,0.2471,0.0725,0.0145,0.0000,7.4198,0.0940,1.0000,0.0136,0.4697,0.0000,5.0000,0.0658,0.2715,0.0000,10.0000,0.1300,0.1879,0.0000,17.4355,0.2319,0.1241,0.0000,31.0267,0.4505,0.0674,0.0952,28.8441,0.4197,0.0738,0.0952,28.8115,0.4190,0.0738,0.0476,4.9292,0.0644,0.2733,0.0000,11.9902,0.1579,0.1665,0.0000
Gustavia_santanderiensis_3,21,1.4690,1.8492,140,0.9497,10021,53.8651,0.1301,17.7258,23.2600,4.8721,0.1341,0.0128,50.8391,0.0000,0.0000,47.5270,1.5573,0.0766,0.0000,0.6453,1.4685,1.4689,0.9920,1.4324,1.4513,1.4684,0.3055,0.0421,0.0978,0.2078,0.0242,0.0000,0.0031,7.7432,0.1314,1.0000,0.0185,0.5677,0.0000,5.0000,0.0781,0.3462,0.0000,10.0000,0.1529,0.2490,0.0000,24.1151,0.3473,0.1296,0.0000,24.1151,0.3473,0.1296,0.0000,24.1707,0.3477,0.1293,0.1429,24.1151,0.3473,0.1296,0.0000,5.6000,0.0878,0.3302,0.0000,11.4673,0.1720,0.2300,0.0000
Gustavia_santanderiensis_4,21,2.0788,2.5389,160,0.9760,10021,52.2466,0.0379,13.4570,20.7224,7.6963,5.8087,0.0312,51.1991,0.0000,0.0000,39.9918,4.1682,4.6410,0.0000,0.7939,2.0774,2.0788,1.3235,1.9157,1.8985,2.0787,0.4624,0.0894,0.0959,0.2129,0.0766,0.0367,0.0001,7.1337,0.0703,1.0000,0.0108,0.3892,0.0000,5.0000,0.0596,0.2096,0.0000,10.0000,0.1228,0.1413,0.0000,19.5718,0.2682,0.0823,0.0000,26.7332,0.3890,0.0596,0.0476,26.7332,0.3890,0.0596,0.0476,19.5718,0.2682,0.0823,0.0000,4.2039,0.0488,0.2276,0.0000,11.9056,0.1481,0.1250,0.0000
Gustavia_santanderiensis_5,21,2.3853,2.9229,260,0.9867,10021,46.8439,3.5494,5.1400,39.4729,2.3611,1.9499,0.6828,53.8928,1.0106,0.9869,39.3128,0.0000,4.0030,0.7939,0.8852,2.2870,2.3552,1.4271,2.3853,2.2849,2.3605,0.5393,0.0283,0.0298,0.2445,0.0683,0.0000,0.0043,6.8272,0.0512,1.0000,0.0101,0.3074,0.0000,5.0000,0.0542,0.1685,0.0000,10.0000,0.1128,0.1120,0.0000,37.6100,0.5371,0.0267,0.0000,37.6100,0.5371,0.0267,0.0000,37.6100,0.5371,0.0267,0.0000,37.6100,0.5371,0.0267,0.0000,3.3565,0.0361,0.2017,0.0000,13.0813,0.1532,0.0920,0.0000
Gustavia_santanderiensis_6,21,2.1626,2.4568,160,0.9731,10021,59.4781,0.0976,12.8752,19.3306,2.3800,3.0445,2.7940,58.6134,0.0000,0.0000,39.2063,0.6207,0.9278,0.6319,0.8027,2.1626,2.1626,1.4725,2.1375,2.1197,2.1498,0.5439,0.1382,0.0846,0.2069,0.2082,0.0897,0.0007,7.0499,0.0647,1.0000,0.0113,0.3381,0.0000,5.0000,0.0620,0.1786,0.0000,10.0000,0.1367,0.1199,0.0000,23.0300,0.3530,0.0618,0.0000,28.9135,0.4602,0.0487,0.0952,23.2975,0.3590,0.0611,0.0476,23.0300,0.3530,0.0618,0.0000,3.7169,0.0449,0.2057,0.0000,10.6699,0.1463,0.1150,0.0000
Gustavia_santanderiensis_7,21,2.1069,2.6792,220,0.9728,10021,49.6435,0.7100,16.5960,19.2424,11.6297,2.1784,0.0000,46.6900,0.3409,0.4288,50.3698,1.9733,0.1972,0.0000,0.8728,2.0995,2.1033,1.2053,2.0488,2.0472,2.1069,0.3448,0.0626,0.1660,0.3443,0.0693,0.0052,0.0000,7.1055,0.0685,1.0000,0.0111,0.3958,0.0000,5.0000,0.0550,0.2191,0.0000,10.0000,0.1166,0.1469,0.0476,8.9926,0.1036,0.1575,0.0000,32.1094,0.4396,0.0479,0.0952,22.8241,0.3000,0.0726,0.0952,22.8241,0.3000,0.0726,0.0476,4.2997,0.0474,0.2354,0.0000,13.0083,0.1556,0.1215,0.0476
Gustavia_santanderiensis_8,21,2.0888,2.5100,200,0.9754,10021,53.6256,0.4571,17.1811,22.5765,4.5008,1.6425,0.0164,51.3114,0.0000,0.0000,46.1470,1.9518,0.5587,0.0310,0.8251,2.0885,2.0888,1.3904,2.0452,2.0449,2.0886,0.4163,0.0818,0.1392,0.2861,0.0821,0.0141,0.0000,7.1237,0.0696,1.0000,0.0114,0.3764,0.0000,5.0000,0.0586,0.2073,0.0000,10.0000,0.1258,0.1389,0.0000,22.1115,0.3135,0.0718,0.0000,27.2418,0.4022,0.0574,0.0952,23.3024,0.3301,0.0681,0.0476,22.1115,0.3135,0.0718,0.0000,4.1008,0.0483,0.2276,0.0000,11.7953,0.1480,0.1237,0.0000
Gustavia_santanderiensis_9,21,1.7865,2.2208,180,0.9637,10021,50.6066,1.3407,11.2312,25.2564,11.1471,0.4181,0.0000,48.7416,0.0000,0.0000,48.8940,2.3644,0.0000,0.0000,0.7699,1.7865,1.7865,0.9817,1.7331,1.7596,1.7865,0.3353,0.0268,0.0659,0.2659,0.0235,0.0000,0.0051,7.4258,0.0947,1.0000,0.0135,0.4728,0.0000,5.0000,0.0670,0.2748,0.0000,10.0000,0.1343,0.1921,0.0000,19.5030,0.2575,0.1162,0.0000,20.0109,0.2659,0.1134,0.0952,20.0109,0.2659,0.1134,0.0952,19.5030,0.2575,0.1162,0.0000,4.8334,0.0648,0.2790,0.0000,12.3974,0.1658,0.1674,0.0000
