Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.66258E-12,0.000000001,0.000000003,0.997904401,0,0
3.15991E-12,0.000000003,0.000000006,0.997205868,0,0
9.53557E-12,0.000000011,0.000000017,0.996008382,0,0
1.72021E-11,0.000000026,0.00000003,0.994810897,0,0
3.76098E-11,0.000000101,0.000000066,0.992116555,0,0
6.6944E-11,0.000000255,0.000000117,0.989122842,0,0
1.64926E-10,0.000001013,0.000000289,0.982636463,0,0
3.64849E-10,0.000002527,0.00000064,0.976848618,0,0
9.4459E-10,0.000010007,0.000001657,0.964574394,0,0
1.81366E-9,0.000025178,0.000003182,0.953397864,0,0
3.07913E-9,0.0000503,0.000005402,0.942720287,0,0
5.49273E-9,0.00010006,0.000009636,0.930745435,0,0
1.17253E-8,0.000250895,0.00002057,0.912583574,0,0
2.09786E-8,0.000500106,0.000036802,0.897016266,0,0
3.78677E-8,0.001002704,0.00006643,0.879552939,0,0
7.83054E-8,0.00250542,0.000137363,0.852809101,0,0
1.50862E-7,0.005001144,0.000264624,0.830456042,0,0
2.68472E-7,0.010026369,0.000470875,0.806107175,0,0
5.48073E-7,0.025033867,0.000961033,0.768386389,0,0
8.8085E-7,0.050078705,0.001544099,0.733160363,0,0
1.46162E-6,0.100046114,0.002560867,0.689951103,0,0
2.35638E-6,0.200073028,0.004125303,0.636962379,0,0
3.2395E-6,0.300164501,0.005667001,0.601137611,0,0
4.07381E-6,0.400143488,0.007121289,0.573894821,0,0
4.80855E-6,0.500391806,0.008400243,0.551342181,0,0
5.60021E-6,0.600368033,0.009776457,0.532082626,0,0
6.34439E-6,0.700072553,0.011068371,0.515317833,0,0
6.7129E-6,0.750256544,0.011707494,0.507633969,0,0
7.06621E-6,0.80066413,0.012319868,0.500349267,0,0
7.79891E-6,0.900462746,0.013588612,0.486977348,0,0
8.52841E-6,1.000593492,0.014850183,0.474703123,0,0
9.35127E-6,1.100554458,0.016271285,0.463526594,0,0
1.00464E-5,1.200495948,0.017470181,0.453248179,0,0
1.08418E-5,1.300794322,0.018840307,0.443668297,0,0
1.16955E-5,1.401119229,0.020308621,0.434786947,0,0
1.23693E-5,1.501207761,0.021465983,0.426504341,0,0
1.44145E-5,1.750615135,0.024970649,0.407743738,0,0
1.6668E-5,2.001495478,0.028817622,0.391677477,0,0
1.84455E-5,2.250745166,0.031841312,0.377507235,0,0
2.03397E-5,2.501469634,0.035053153,0.364634268,0,0
2.22181E-5,2.752025764,0.038227729,0.352858996,0,0
2.3901E-5,3.000432432,0.041063112,0.342081629,0,0
2.55864E-5,3.250233999,0.043894124,0.332002794,0,0
2.78252E-5,3.500671869,0.047642047,0.322622493,0,0
2.98426E-5,3.7514019,0.051006622,0.313940724,0,0
3.18163E-5,4.001894388,0.054286893,0.305857699,0,0
3.37031E-5,4.251253225,0.057411953,0.298273625,0,0
3.57372E-5,4.50179571,0.06076954,0.291088714,0,0
3.78183E-5,4.751922216,0.064192397,0.284302964,0,0
3.95377E-5,5.000049376,0.067010841,0.277916376,0,0
4.15881E-5,5.250293382,0.070360899,0.271729368,0,0
4.37111E-5,5.502571066,0.073816757,0.265841732,0,0
4.58296E-5,5.752637244,0.077252576,0.260253468,0,0
4.74562E-5,6.000101305,0.07988201,0.254964574,0,0
5.01625E-5,6.254673833,0.084239983,0.249775472,0,0
5.23952E-5,6.50110536,0.08781995,0.24498553,0,0
5.37912E-5,6.750527151,0.090051144,0.24029538,0,0
5.59902E-5,7.002812919,0.093554732,0.235705019,0,0
5.82346E-5,7.254332805,0.097116843,0.23131424,0,0
6.04732E-5,7.503166955,0.100655684,0.227123042,0,0
6.24476E-5,7.755594849,0.103765335,0.223031634,0,0
6.43209E-5,8.0027618,0.106705801,0.219139806,0,0
6.65267E-5,8.251252448,0.110155914,0.21534777,0,0
6.84313E-5,8.501207486,0.113124199,0.211655523,0,0
7.12336E-5,8.752061657,0.117473494,0.208063068,0,0
7.33581E-5,9.005099352,0.12075659,0.204570402,0,0
7.56968E-5,9.251527116,0.124356514,0.201277318,0,0
7.80491E-5,9.505507732,0.127962624,0.197984233,0,0
8.02053E-5,9.750357168,0.13125498,0.194890729,0,0
8.2566E-5,10.002760339,0.134845437,0.191797226,0,0
8.53423E-5,10.255589498,0.139048904,0.188803513,0,0
8.76051E-5,10.50666922,0.142459846,0.18590959,0,0
8.95602E-5,10.755099473,0.145395999,0.183115458,0,0
9.21537E-5,11.000200978,0.149275473,0.180421116,0,0
9.4672E-5,11.252451227,0.153025663,0.177726774,0,0
9.67344E-5,11.500974462,0.156084634,0.175132222,0,0
9.90399E-5,11.75525364,0.159491002,0.172537671,0,0
1.02406E-4,12.008300181,0.164439981,0.17004291,0,0
1.0467E-4,12.256577619,0.167751869,0.167647939,0,0
1.0675E-4,12.510073044,0.170783062,0.165252969,0,0
1.09385E-4,12.758828209,0.174608128,0.162957789,0,0
1.11888E-4,13.002658809,0.178223423,0.160762399,0,0
1.15457E-4,13.253034055,0.183352355,0.158567009,0,0
1.18013E-4,13.509400348,0.187007307,0.15637162,0,0
1.20361E-4,13.76052109,0.190348109,0.15427602,0,0
1.23892E-4,14.005337594,0.195348294,0.152280212,0,0
1.2692E-4,14.257000032,0.199611684,0.150284403,0,0
1.28815E-4,14.512713585,0.202268257,0.148288594,0,0
1.3046E-4,14.759303283,0.204566363,0.146392576,0,0
1.32228E-4,15.008843902,0.207030352,0.144496557,0,0
1.34286E-4,15.262287709,0.209887446,0.142600539,0,0
1.37078E-4,15.507203007,0.21374799,0.140804311,0,0
1.38698E-4,15.755475861,0.21597985,0.139008083,0.047619048,0
1.4114E-4,16.007556477,0.219331992,0.137211855,0.047619048,0
1.44237E-4,16.250118833,0.223561986,0.135515418,0.047619048,0
1.4677E-4,16.511783745,0.227003531,0.13371919,0.047619048,0
1.50283E-4,16.763690783,0.23175288,0.132022752,0.047619048,0
1.53044E-4,17.006145465,0.235465413,0.130426105,0.047619048,0
1.56202E-4,17.253661159,0.23968879,0.128829458,0.047619048,0
1.59236E-4,17.506132398,0.243725982,0.127232811,0.047619048,0
1.62127E-4,17.763609702,0.247551912,0.125636164,0.047619048,0
1.65644E-4,18.009306305,0.252180108,0.124139307,0.047619048,0
1.69454E-4,18.261054612,0.257161058,0.122642451,0.047619048,0
1.72486E-4,18.516873325,0.261102103,0.121145594,0.047619048,0
1.74914E-4,18.760293265,0.264242091,0.119748528,0.047619048,0
1.78005E-4,19.007745646,0.268222089,0.118351462,0.047619048,0
1.81041E-4,19.258823469,0.272108799,0.116954396,0.047619048,0
1.83388E-4,19.513474139,0.275099252,0.11555733,0.047619048,0
1.87316E-4,19.754153415,0.280077328,0.114260054,0.047619048,0
1.9057E-4,20.018412581,0.284176215,0.112862988,0.047619048,0
1.94821E-4,20.268838249,0.289494327,0.111565712,0.047619048,0
1.9755E-4,20.504244311,0.292887056,0.110368227,0.047619048,0
2.00805E-4,20.763407187,0.296914191,0.109070951,0.047619048,0
2.04211E-4,21.007075606,0.301102107,0.107873466,0.047619048,0
2.06836E-4,21.253630244,0.304313499,0.10667598,0.047619048,0
2.09498E-4,21.503175104,0.307554905,0.105478495,0.047619048,0
2.12612E-4,21.756095226,0.31132728,0.10428101,0.047619048,0
2.15836E-4,22.01378649,0.315211915,0.103083525,0.047619048,0
2.19583E-4,22.253173558,0.319698255,0.10198583,0.047619048,0
2.23811E-4,22.519236018,0.324725729,0.100788344,0.047619048,0
2.26803E-4,22.767091092,0.328260281,0.09969065,0.047619048,0
2.27878E-4,23.017341666,0.329526806,0.098592955,0.047619048,0
2.31935E-4,23.270533671,0.334281036,0.09749526,0.047619048,0
2.3659E-4,23.504990953,0.339696075,0.096497356,0.047619048,0
2.38426E-4,23.766218076,0.341818723,0.095399661,0.047619048,0
2.43416E-4,24.007734375,0.347555773,0.094401756,0.047619048,0
2.4725E-4,24.25361775,0.351928893,0.093403852,0.047619048,0
2.51529E-4,24.503995585,0.356775482,0.092405948,0.047619048,0
2.53934E-4,24.756565674,0.359484234,0.091408043,0.047619048,0
2.60137E-4,25.013248587,0.366416437,0.090410139,0.047619048,0
2.6383E-4,25.275426516,0.370507656,0.089412234,0.047619048,0
2.67553E-4,25.51498305,0.374606239,0.08851412,0.047619048,0
2.72742E-4,25.758431074,0.380273336,0.087616006,0.047619048,0
2.75866E-4,26.005259065,0.383660312,0.086717892,0.047619048,0
2.78957E-4,26.25523913,0.386993706,0.085819778,0.047619048,0
2.82997E-4,26.50857472,0.391322208,0.084921665,0.047619048,0
2.86964E-4,26.765414832,0.395544348,0.084023551,0.047619048,0
