Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.7361,2.0830,140,0.9612,10021,40.6765,0.0000,0.4035,58.7787,0.0025,0.1387,0.0000,59.0385,0.0000,1.0549,39.9066,0.0000,0.0000,0.0000,0.6187,1.7361,1.7215,0.8893,1.7360,1.7314,1.7361,0.4023,0.0856,0.1016,0.2307,0.0639,0.0013,0.0052,7.4763,0.1008,1.0000,0.0164,0.4264,0.0000,5.0000,0.0794,0.2535,0.0000,10.0000,0.1594,0.1809,0.0000,17.9054,0.2791,0.1233,0.0000,17.9054,0.2791,0.1233,0.0000,17.9054,0.2791,0.1233,0.1429,17.9054,0.2791,0.1233,0.0000,4.2556,0.0681,0.2706,0.0000,10.4857,0.1678,0.1761,0.0000
Gustavia_santanderiensis_1,21,2.0300,2.5073,180,0.9737,10021,35.3388,1.3311,28.4319,33.1119,1.0911,0.6951,0.0000,54.8659,0.0000,0.0000,43.7315,0.9701,0.4325,0.0000,0.7821,2.0300,2.0248,1.4412,1.9986,2.0020,2.0300,0.3256,0.1089,0.4080,0.3753,0.0451,0.0027,0.0000,7.1822,0.0737,1.0000,0.0125,0.3986,0.0000,5.0000,0.0589,0.2247,0.0000,10.0000,0.1211,0.1521,0.0000,19.7279,0.2608,0.0881,0.0000,28.5991,0.4049,0.0588,0.0952,25.1274,0.3496,0.0685,0.0476,19.7279,0.2608,0.0881,0.0000,4.4049,0.0512,0.2386,0.0000,12.3193,0.1528,0.1312,0.0000
Gustavia_santanderiensis_2,21,1.8739,2.3071,160,0.9696,10021,38.9247,0.0000,1.2621,59.6562,0.0664,0.0907,0.0000,54.8689,0.0000,2.5810,42.3721,0.1001,0.0779,0.0000,0.6956,1.8739,1.8252,0.7858,1.8713,1.8713,1.8739,0.3851,0.0577,0.0643,0.2715,0.0462,0.0002,0.0068,7.3385,0.0877,1.0000,0.0153,0.3932,0.0000,5.0000,0.0754,0.2323,0.0000,10.0000,0.1516,0.1657,0.0000,19.1374,0.2805,0.1063,0.0000,26.6675,0.3956,0.0781,0.0952,21.7008,0.3191,0.0952,0.0952,19.1374,0.2805,0.1063,0.0000,3.9423,0.0594,0.2557,0.0000,11.4074,0.1729,0.1535,0.0000
Gustavia_santanderiensis_3,21,1.6613,1.9423,120,0.9549,10021,46.5948,0.0000,0.3033,52.7867,0.0000,0.3152,0.0000,63.3503,0.0000,1.1158,35.5338,0.0000,0.0000,0.0000,0.5435,1.6613,1.6502,0.9537,1.6613,1.6541,1.6613,0.4975,0.0949,0.0594,0.1468,0.0785,0.0018,0.0134,7.5512,0.1089,1.0000,0.0176,0.4440,0.0000,5.0000,0.0781,0.2648,0.0000,10.0000,0.1628,0.1869,0.0000,16.5246,0.2797,0.1363,0.0000,32.4486,0.5195,0.0753,0.0952,25.7904,0.4283,0.0952,0.0952,16.5246,0.2797,0.1363,0.0000,4.6583,0.0731,0.2731,0.0000,9.7382,0.1574,0.1898,0.0000
Gustavia_santanderiensis_4,21,1.9114,2.3451,140,0.9695,10021,35.9369,0.0000,13.4024,49.6513,0.2673,0.7377,0.0045,54.4709,0.0298,0.0000,44.8840,0.0589,0.5423,0.0142,0.7470,1.9113,1.9114,1.1037,1.9047,1.8966,1.9113,0.3223,0.1298,0.2671,0.3490,0.0821,0.0114,0.0002,7.3009,0.0835,1.0000,0.0144,0.4064,0.0000,5.0000,0.0671,0.2354,0.0000,10.0000,0.1344,0.1627,0.0000,17.3820,0.2407,0.1084,0.0000,27.0200,0.3911,0.0703,0.0476,27.0200,0.3911,0.0703,0.0476,17.3820,0.2407,0.1084,0.0000,4.2619,0.0574,0.2525,0.0000,11.5722,0.1552,0.1478,0.0000
Gustavia_santanderiensis_5,21,1.7871,2.1305,140,0.9637,10021,41.3134,0.1114,0.0009,57.9575,0.2955,0.3214,0.0000,60.3523,0.3185,0.0221,38.2290,0.7907,0.2875,0.0000,0.5894,1.7859,1.7871,0.9412,1.7794,1.7748,1.7871,0.4238,0.0742,0.0954,0.2289,0.0533,0.0005,0.0086,7.4256,0.0952,1.0000,0.0149,0.4381,0.0000,5.0000,0.0705,0.2544,0.0000,10.0000,0.1469,0.1772,0.0000,13.0401,0.1909,0.1497,0.0000,33.3277,0.4992,0.0633,0.0952,22.9051,0.3515,0.0952,0.0952,13.0401,0.1909,0.1497,0.0000,4.5213,0.0647,0.2658,0.0000,10.9838,0.1632,0.1674,0.0000
Gustavia_santanderiensis_6,21,1.9544,2.3215,160,0.9699,10021,41.0771,0.0000,12.1118,45.0377,0.6648,1.1086,0.0000,58.0682,0.0000,0.0000,40.1987,0.9624,0.7706,0.0000,0.6643,1.9544,1.9544,1.1861,1.9307,1.9162,1.9544,0.4056,0.1149,0.2197,0.2812,0.0689,0.0143,0.0000,7.2580,0.0799,1.0000,0.0132,0.3990,0.0000,5.0000,0.0636,0.2250,0.0000,10.0000,0.1342,0.1537,0.0000,12.0171,0.1649,0.1359,0.0000,27.0805,0.4063,0.0666,0.0476,27.0805,0.4063,0.0666,0.0476,27.0805,0.4063,0.0666,0.0476,4.2907,0.0551,0.2416,0.0000,11.3252,0.1521,0.1416,0.0000
Gustavia_santanderiensis_7,21,1.7425,2.1860,180,0.9661,10021,40.3153,0.0334,28.7719,27.9233,1.9355,1.0206,0.0000,56.4327,0.0000,0.0000,39.2910,2.7488,1.5275,0.0000,0.6521,1.7421,1.7410,1.2247,1.7026,1.6931,1.7425,0.3652,0.1385,0.2885,0.2516,0.0537,0.0115,0.0002,7.4698,0.0990,1.0000,0.0149,0.4747,0.0000,5.0000,0.0670,0.2779,0.0000,10.0000,0.1348,0.1918,0.0000,15.5209,0.2139,0.1407,0.0000,32.9393,0.4930,0.0654,0.0952,30.6357,0.4535,0.0717,0.0952,30.6357,0.4535,0.0717,0.0476,5.0755,0.0676,0.2760,0.0000,11.5107,0.1562,0.1750,0.0000
Gustavia_santanderiensis_8,21,1.9997,2.4688,160,0.9739,10021,35.0623,1.2096,24.2563,37.1999,0.2471,2.0247,0.0000,52.1442,0.0000,0.0000,44.2318,2.3106,1.3133,0.0000,0.7851,1.9997,1.9997,1.2526,1.9518,1.9586,1.9997,0.3167,0.0934,0.3247,0.3712,0.0447,0.0022,0.0005,7.2127,0.0761,1.0000,0.0127,0.4087,0.0000,5.0000,0.0595,0.2321,0.0000,10.0000,0.1227,0.1579,0.0000,18.8795,0.2439,0.0958,0.0000,29.9659,0.4221,0.0578,0.0952,19.0244,0.2459,0.0952,0.0952,18.8795,0.2439,0.0958,0.0000,4.5138,0.0525,0.2436,0.0000,12.4884,0.1558,0.1353,0.0000
Gustavia_santanderiensis_9,21,1.8808,2.1822,140,0.9633,10021,40.2688,0.0000,9.4190,50.2322,0.0002,0.0799,0.0000,59.7651,0.0000,0.0000,40.2342,0.0007,0.0000,0.0000,0.6229,1.8808,1.8808,1.1176,1.8808,1.8792,1.8808,0.4081,0.0927,0.1849,0.2700,0.0733,0.0010,0.0014,7.3317,0.0867,1.0000,0.0144,0.3934,0.0000,5.0000,0.0745,0.2269,0.0000,10.0000,0.1458,0.1596,0.0000,11.7788,0.1755,0.1441,0.0000,28.3453,0.4280,0.0694,0.0952,20.4703,0.3158,0.0952,0.0952,11.7788,0.1755,0.1441,0.0000,4.0200,0.0592,0.2487,0.0000,10.7846,0.1586,0.1524,0.0000
