Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.07686E-12,0.000000001,0.000000002,0.99441062,0,0
2.53034E-12,0.000000003,0.000000004,0.993412516,0,0
4.94507E-12,0.00000001,0.000000008,0.991216688,0,0
9.07333E-12,0.000000025,0.000000014,0.98902086,0,0
1.9857E-11,0.000000102,0.00000003,0.983531291,0,0
3.60444E-11,0.000000252,0.000000055,0.978141531,0,0
1.00883E-10,0.000001005,0.000000153,0.966962771,0,0
2.15236E-10,0.000002512,0.000000327,0.957181355,0,0
6.47765E-10,0.000010001,0.000000985,0.938317197,0,0
1.45604E-9,0.000025145,0.000002213,0.923146023,0,0
2.54128E-9,0.000050169,0.000003863,0.910370296,0,0
4.60613E-9,0.000100398,0.000007002,0.895997605,0,0
1.0153E-8,0.000250521,0.000015433,0.875137239,0,0
1.99533E-8,0.000501907,0.00003033,0.857969857,0,0
3.46163E-8,0.001000099,0.000052618,0.839504941,0,0
7.21422E-8,0.002501702,0.000109656,0.810160695,0,0
1.18423E-7,0.005005748,0.000179997,0.783611139,0,0
2.10576E-7,0.010020696,0.000320043,0.752769737,0,0
4.38186E-7,0.025030506,0.00066586,0.705060385,0,0
7.27833E-7,0.050016124,0.001105759,0.66214193,0,0
1.2698E-6,0.100043132,0.001928351,0.611637888,0,0
2.2813E-6,0.200188094,0.003461777,0.554646172,0,0
3.2366E-6,0.300095073,0.004907836,0.518315201,0,0
4.14233E-6,0.400367424,0.006276925,0.491066973,0,0
5.0589E-6,0.500099982,0.007660484,0.469308314,0,0
6.01009E-6,0.600113045,0.009094266,0.451142829,0,0
6.99025E-6,0.700089991,0.01056954,0.435772033,0,0
7.55625E-6,0.750294724,0.011420451,0.428885118,0,0
8.11812E-6,0.80042316,0.012264429,0.422497255,0,0
9.2358E-6,0.900317715,0.013941136,0.411019064,0,0
1.01444E-5,1.000893291,0.015302124,0.400638786,0,0
1.10726E-5,1.100257138,0.016690409,0.391256612,0,0
1.21394E-5,1.200338279,0.018283736,0.382672921,0,0
1.32724E-5,1.3002718,0.019973057,0.374787903,0,0
1.41801E-5,1.400439737,0.021324287,0.367501747,0,0
1.5351E-5,1.500824752,0.023064697,0.360714642,0,0
1.80261E-5,1.7505277,0.027029194,0.345643278,0,0
2.03385E-5,2.000900222,0.03044326,0.332568121,0,0
2.2822E-5,2.25003964,0.034096521,0.320990119,0,0
2.50761E-5,2.50058527,0.03740049,0.310510031,0,0
2.76157E-5,2.752405328,0.041109452,0.300928236,0,0
2.985E-5,3.002482507,0.044360634,0.292244735,0,0
3.22942E-5,3.250836697,0.04790453,0.284259906,0,0
3.48401E-5,3.502543809,0.051582034,0.276774129,0,0
3.75716E-5,3.753085511,0.05551187,0.269887214,0,0
3.963E-5,4.003864645,0.058462535,0.263399541,0,0
4.19988E-5,4.252752093,0.061846587,0.257311109,0,0
4.46876E-5,4.503440286,0.065673293,0.251522108,0,0
4.74356E-5,4.752114137,0.069567996,0.246132349,0,0
4.97151E-5,5.00451217,0.07278643,0.24094221,0,0
5.20099E-5,5.25438604,0.076015193,0.236051502,0,0
5.40725E-5,5.504451182,0.078907547,0.231360415,0,0
5.68937E-5,5.754060133,0.082849204,0.226868949,0,0
5.94573E-5,6.003013933,0.086416339,0.222577104,0,0
6.20747E-5,6.251920563,0.090044021,0.218484879,0,0
6.48535E-5,6.506205104,0.093879463,0.214492464,0,0
6.72058E-5,6.750930404,0.097113742,0.210799481,0,0
6.9387E-5,7.00372859,0.100102369,0.207106498,0,0
7.19169E-5,7.250412617,0.103556419,0.203613135,0,0
7.44143E-5,7.506625089,0.106953132,0.200119772,0,0
7.65683E-5,7.755758038,0.109872425,0.196826031,0,0
7.90448E-5,8.004921228,0.113217075,0.193632099,0,0
8.14763E-5,8.253440295,0.11648868,0.190537978,0,0
8.38245E-5,8.501901913,0.119636664,0.187543667,0,0
8.66199E-5,8.758269851,0.123369646,0.184549356,0,0
8.96704E-5,9.004968007,0.127425217,0.181754666,0,0
9.3054E-5,9.251751313,0.131901662,0.179059786,0,0
9.57235E-5,9.506549337,0.135417185,0.176364907,0,0
9.87733E-5,9.758775846,0.139416034,0.173769837,0,0
1.00739E-4,10.008210239,0.141984104,0.171274578,0,0
1.03236E-4,10.253315006,0.145234622,0.16887913,0,0
1.04831E-4,10.502936425,0.147304684,0.166483681,0,0
1.06992E-4,10.757037526,0.150100704,0.164088232,0,0
1.0968E-4,11.005741152,0.153566372,0.161792594,0,0
1.13045E-4,11.251336521,0.157884144,0.159596766,0,0
1.16394E-4,11.503499345,0.162161426,0.157400938,0,0
1.19365E-4,11.750949887,0.165935788,0.155304921,0,0
1.22155E-4,12.004491337,0.169466094,0.153208903,0,0
1.2452E-4,12.250796761,0.172446507,0.151212696,0,0
1.27517E-4,12.502882351,0.176207543,0.149216489,0,0
1.30443E-4,12.761233004,0.179863944,0.147220281,0,0
1.33201E-4,13.012569803,0.183294924,0.145323885,0,0
1.35231E-4,13.254041782,0.185811637,0.143527298,0,0
1.39537E-4,13.501355148,0.19112344,0.141730712,0,0
1.43134E-4,13.75569714,0.195533306,0.139934125,0,0
1.45288E-4,14.000653694,0.198163402,0.138237349,0,0
1.47977E-4,14.250206911,0.201433777,0.136540573,0,0
1.51335E-4,14.504824565,0.205499819,0.134843797,0,0
1.54296E-4,14.764176648,0.20906767,0.133147021,0,0
1.57049E-4,15.013110503,0.212370785,0.131550055,0,0
1.59333E-4,15.250897349,0.215101024,0.130052899,0,0
1.62115E-4,15.508288436,0.218413472,0.128455934,0,0
1.64814E-4,15.754082033,0.22161291,0.126958778,0,0
1.67461E-4,16.003473368,0.224738795,0.125461623,0,0
1.70485E-4,16.256790243,0.228294291,0.123964468,0,0
1.7496E-4,16.515578845,0.233526434,0.122467312,0,0
1.76852E-4,16.761742257,0.235727579,0.121069967,0,0
1.80727E-4,17.012811124,0.24021635,0.119672622,0,0
1.83807E-4,17.268133248,0.243764911,0.118275277,0,0
1.86925E-4,17.509501057,0.247340655,0.116977742,0,0
1.89404E-4,17.754589029,0.250171356,0.115680208,0,0
1.92232E-4,18.003313372,0.2533875,0.114382673,0,0
1.95639E-4,18.255750915,0.257244936,0.113085138,0,0
1.9938E-4,18.512508059,0.261456734,0.111787604,0,0
