X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.76675,5.676306,train,0.001322438739985028,65.91710322190407,0.866041178072451
-74.859417,5.545194,train,0.0020090793010866374,78.13485911439028,0.9528290327918023
-74.737583,5.667167,train,8.489854569632313E-4,52.50202348151261,0.7248757118837696
-74.351933,6.471417,train,0.0013761977574460978,67.58740310955336,0.8765527383131853
-74.737583,5.667167,train,8.489854569632313E-4,52.50202348151261,0.7248757118837696
-74.737889,5.684417,train,4.418040578507374E-4,35.25408886492614,0.4890997440522352
-74.859417,5.545194,train,0.0020090793010866374,78.13485911439028,0.9528290327918023
-74.737889,5.684417,train,4.418040578507374E-4,35.25408886492614,0.4890997440522352
-74.591222,6.190222,train,0.0017749902696895452,75.28005352751889,0.9326694243273288
-74.737583,5.667167,train,8.489854569632313E-4,52.50202348151261,0.7248757118837696
-74.777528,5.638694,train,0.0024641704003115668,82.54713450609978,0.9763822102186223
-74.76675,5.676306,train,0.001322438739985028,65.91710322190407,0.866041178072451
-74.816917,4.42425,train,2.4729487956021097E-4,22.26593446764157,0.31333579972676384
-74.76675,5.676306,train,0.001322438739985028,65.91710322190407,0.866041178072451
-74.737889,5.684417,train,4.418040578507374E-4,35.25408886492614,0.4890997440522352
-74.909722,5.559361,train,0.003115373463701044,88.95239871846643,0.99122317711561
-74.816917,4.42425,train,2.4729487956021097E-4,22.26593446764157,0.31333579972676384
-74.777528,5.638694,train,0.0024641704003115668,82.54713450609978,0.9763822102186223
-74.777528,5.638694,train,0.0024641704003115668,82.54713450609978,0.9763822102186223
-74.294444,6.048889,train,3.3183408104996457E-4,28.25637243772428,0.39614241524141347
-74.909722,5.559361,train,0.003115373463701044,88.95239871846643,0.99122317711561
