Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.0532,2.4792,220,0.9749,10019,42.1543,0.0000,8.7365,47.9436,0.0825,0.6708,0.4122,60.1837,0.0000,0.0000,38.6561,0.6938,0.1936,0.2728,0.6562,2.0532,2.0532,1.1596,2.0450,2.0420,2.0489,0.4126,0.1436,0.1985,0.2821,0.1174,0.0185,0.0001,7.1590,0.0729,1.0000,0.0130,0.3743,0.0000,5.0000,0.0611,0.2172,0.0000,10.0000,0.1236,0.1474,0.0000,27.1809,0.3924,0.0628,0.0000,30.2004,0.4318,0.0556,0.0952,27.2197,0.3927,0.0628,0.0952,27.1809,0.3924,0.0628,0.0000,3.9469,0.0500,0.2407,0.0000,12.2823,0.1596,0.1283,0.0000
Gustavia_santanderiensis_1,21,1.8415,2.3574,200,0.9645,10020,36.1805,0.1245,23.4963,36.3457,3.1121,0.7409,0.0000,51.7524,0.0000,0.0000,42.7733,4.5364,0.9378,0.0000,0.7636,1.8391,1.8415,1.1102,1.7801,1.8053,1.8415,0.2814,0.0929,0.3203,0.3355,0.0412,0.0003,0.0012,7.3707,0.0904,1.0000,0.0147,0.4551,0.0000,5.0000,0.0649,0.2773,0.0000,10.0000,0.1240,0.1946,0.0000,19.1003,0.2406,0.1187,0.0000,27.2289,0.3513,0.0817,0.0952,23.8560,0.3065,0.0952,0.0952,19.1003,0.2406,0.1187,0.0000,4.7482,0.0614,0.2835,0.0000,13.5527,0.1666,0.1585,0.0000
Gustavia_santanderiensis_2,21,1.8370,2.3198,200,0.9690,10021,45.5055,0.0686,27.7851,22.8164,0.7120,2.6374,0.4749,60.9452,0.0485,0.0350,32.5236,2.2441,3.9976,0.2060,0.8011,1.8347,1.8360,1.3766,1.8144,1.7609,1.8306,0.4596,0.2039,0.2650,0.1783,0.1104,0.0521,0.0070,7.3749,0.0906,1.0000,0.0135,0.4384,0.0000,5.0000,0.0672,0.2469,0.0000,10.0000,0.1370,0.1703,0.0000,11.8596,0.1648,0.1522,0.0000,40.3823,0.6106,0.0457,0.0952,21.5348,0.3254,0.0952,0.0952,40.3823,0.6106,0.0457,0.0952,4.6154,0.0616,0.2562,0.0000,11.1103,0.1535,0.1592,0.0000
Gustavia_santanderiensis_3,21,1.6423,1.9902,160,0.9578,10020,41.2939,0.0000,9.6001,48.3287,0.3068,0.4705,0.0000,59.7433,0.0000,0.0000,38.2792,1.3727,0.6049,0.0000,0.5759,1.6423,1.6423,0.9509,1.6326,1.6283,1.6423,0.3640,0.1152,0.1658,0.2159,0.0699,0.0048,0.0010,7.5700,0.1108,1.0000,0.0169,0.4805,0.0000,5.0000,0.0789,0.2935,0.0000,10.0000,0.1479,0.2112,0.0000,20.6320,0.3014,0.1252,0.0000,21.2143,0.3085,0.1222,0.0476,21.2143,0.3085,0.1222,0.1429,20.6320,0.3014,0.1252,0.0000,4.6682,0.0744,0.3016,0.0000,11.5875,0.1697,0.1935,0.0000
Gustavia_santanderiensis_4,21,2.0218,2.4790,240,0.9761,10020,43.0003,0.0000,6.1170,49.8175,0.1770,0.8882,0.0000,60.0385,0.0000,0.0279,38.5204,0.7335,0.6796,0.0000,0.6955,2.0218,2.0175,1.1094,2.0132,1.9985,2.0218,0.4244,0.1306,0.1727,0.2632,0.0915,0.0185,0.0001,7.1905,0.0754,1.0000,0.0136,0.3722,0.0000,5.0000,0.0643,0.2171,0.0000,10.0000,0.1306,0.1490,0.0000,28.5093,0.4220,0.0615,0.0000,33.6238,0.4823,0.0502,0.0952,28.6336,0.4234,0.0612,0.0476,28.5093,0.4220,0.0615,0.0000,3.9764,0.0516,0.2399,0.0000,11.9473,0.1573,0.1323,0.0000
Gustavia_santanderiensis_5,21,2.1781,2.7320,200,0.9811,10018,39.1529,0.0000,21.9860,36.1934,2.2612,0.4065,0.0000,54.9139,0.0311,0.0000,40.6043,3.2229,1.2278,0.0000,0.9033,2.1763,2.1781,1.3093,2.1238,2.1384,2.1781,0.3669,0.1099,0.3330,0.3455,0.0365,0.0018,0.0063,7.0342,0.0641,1.0000,0.0119,0.3698,0.0000,5.0000,0.0545,0.2111,0.0000,10.0000,0.1097,0.1412,0.0000,22.6217,0.2879,0.0701,0.0000,33.1924,0.4477,0.0438,0.0952,30.5145,0.4142,0.0492,0.0476,22.6217,0.2879,0.0701,0.0000,3.9960,0.0443,0.2336,0.0000,13.4628,0.1548,0.1132,0.0000
Gustavia_santanderiensis_6,21,1.8857,2.3648,160,0.9712,10019,39.6822,0.3205,0.8355,58.8229,0.2286,0.1102,0.0000,56.4781,0.0000,1.7899,41.1054,0.5663,0.0602,0.0000,0.6579,1.8857,1.8438,0.7810,1.8795,1.8820,1.8857,0.3943,0.0685,0.0505,0.2439,0.0486,0.0024,0.0084,7.3265,0.0868,1.0000,0.0153,0.4006,0.0000,5.0000,0.0728,0.2409,0.0000,10.0000,0.1420,0.1713,0.0000,22.2659,0.3133,0.0948,0.0000,28.2564,0.3961,0.0741,0.0952,22.2907,0.3136,0.0948,0.0952,22.2659,0.3133,0.0948,0.0000,4.0397,0.0588,0.2625,0.0000,12.1888,0.1711,0.1517,0.0000
Gustavia_santanderiensis_7,21,1.8503,2.3559,180,0.9713,10020,41.8115,0.1382,20.1842,35.2113,0.7559,1.8988,0.0000,57.1989,0.0530,0.0000,36.8848,2.5950,3.2683,0.0000,0.7291,1.8466,1.8503,1.1979,1.8217,1.7978,1.8503,0.3969,0.1764,0.2424,0.2330,0.1028,0.0359,0.0002,7.3620,0.0894,1.0000,0.0140,0.4323,0.0000,5.0000,0.0684,0.2530,0.0000,10.0000,0.1328,0.1750,0.0000,17.0831,0.2385,0.1181,0.0000,37.3448,0.5443,0.0506,0.0952,30.9736,0.4567,0.0649,0.0476,30.9736,0.4567,0.0649,0.0476,4.4221,0.0609,0.2668,0.0000,11.7770,0.1558,0.1571,0.0000
Gustavia_santanderiensis_8,21,2.3614,2.9104,240,0.9818,10018,33.7915,0.1602,19.3514,44.0938,1.6681,0.3758,0.5592,51.3817,0.2311,0.0000,45.5728,1.9555,0.5080,0.3509,0.9566,2.3572,2.3614,1.3592,2.3126,2.3496,2.3556,0.2912,0.1131,0.4390,0.4811,0.0402,0.0005,0.0002,6.8508,0.0532,1.0000,0.0108,0.3465,0.0000,5.0000,0.0467,0.1931,0.0000,10.0000,0.0992,0.1270,0.0000,22.1189,0.2611,0.0626,0.0000,28.7461,0.3587,0.0457,0.0952,22.1511,0.2624,0.0626,0.0952,22.1189,0.2611,0.0626,0.0000,3.9178,0.0370,0.2172,0.0000,14.5636,0.1533,0.0942,0.0000
Gustavia_santanderiensis_9,21,1.9338,2.5425,260,0.9700,10020,34.9723,0.1937,29.4220,32.4298,2.7556,0.2167,0.0098,51.2078,0.0000,0.0000,42.6488,4.4538,1.6896,0.0000,0.8617,1.9289,1.9325,1.3066,1.8763,1.8984,1.9337,0.2694,0.1222,0.4482,0.3765,0.0421,0.0029,0.0000,7.2789,0.0823,1.0000,0.0137,0.4405,0.0000,5.0000,0.0592,0.2657,0.0000,10.0000,0.1147,0.1826,0.0000,25.0012,0.3177,0.0824,0.0000,27.9524,0.3572,0.0722,0.0952,25.0276,0.3178,0.0824,0.0952,25.0012,0.3177,0.0824,0.0000,4.6954,0.0562,0.2732,0.0000,13.8598,0.1626,0.1446,0.0000
