Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.53043E-12,0.000000001,0.000000005,0.998303224,0,0
4.43009E-12,0.000000003,0.000000008,0.997804172,0,0
1.22322E-11,0.00000001,0.000000023,0.996905879,0,0
1.75147E-11,0.000000025,0.000000033,0.995907775,0,0
6.1811E-11,0.000000103,0.000000118,0.993911568,0,0
1.20145E-10,0.000000257,0.000000229,0.992214792,0,0
2.58948E-10,0.000001004,0.000000493,0.988222377,0,0
4.55072E-10,0.000002511,0.000000867,0.984130153,0,0
1.14792E-9,0.000010106,0.000002188,0.974049306,0,0
2.08083E-9,0.000025012,0.000003965,0.964766943,0,0
3.53792E-9,0.00005011,0.000006742,0.95558439,0,0
5.86337E-9,0.000100248,0.000011174,0.945004491,0,0
1.219E-8,0.000250356,0.00002323,0.927837109,0,0
2.23659E-8,0.000501489,0.000042622,0.912865555,0,0
4.13717E-8,0.001000171,0.000078839,0.896995708,0,0
8.61281E-8,0.002501898,0.000164121,0.872941411,0,0
1.49644E-7,0.005008961,0.000285137,0.851282563,0,0
2.56241E-7,0.010015293,0.000488199,0.825930732,0,0
5.11358E-7,0.025033367,0.00097402,0.786306019,0,0
8.16175E-7,0.050066248,0.001554175,0.748677513,0,0
1.38515E-6,0.100121576,0.002636208,0.701966264,0,0
2.34228E-6,0.200202793,0.004453734,0.647569618,0,0
3.19553E-6,0.300306217,0.006071213,0.611238647,0,0
4.04454E-6,0.400236335,0.007678049,0.583591177,0,0
4.88104E-6,0.500146554,0.009258663,0.561034035,0,0
5.75885E-6,0.600548327,0.010914632,0.542169877,0,0
6.45869E-6,0.700346004,0.012232882,0.525800978,0,0
6.89783E-6,0.750417138,0.013059181,0.518315201,0,0
7.34986E-6,0.800008549,0.013908996,0.511328476,0,0
8.11816E-6,0.900666278,0.015351719,0.498253319,0,0
8.89232E-6,1.000117367,0.016803326,0.486575507,0,0
9.65416E-6,1.100106483,0.018229727,0.475795988,0,0
1.04842E-5,1.2004367,0.019781544,0.465814952,0,0
1.12348E-5,1.300314575,0.021182658,0.456632398,0,0
1.216E-5,1.400909805,0.022906824,0.448048707,0,0
1.28977E-5,1.500139752,0.024279487,0.440163689,0,0
1.49592E-5,1.750263067,0.028105266,0.422297634,0,0
1.71339E-5,2.000150617,0.03212477,0.406827029,0,0
1.93307E-5,2.250523149,0.036168237,0.393153009,0,0
2.14527E-5,2.50117671,0.040057926,0.380876335,0,0
2.30668E-5,2.751755399,0.043006254,0.369597764,0,0
2.52345E-5,3.001625583,0.046951355,0.359317297,0,0
2.75205E-5,3.252564864,0.051094269,0.349835313,0,0
2.93748E-5,3.50041018,0.05444163,0.341151812,0,0
3.14184E-5,3.752225044,0.058116805,0.332867552,0,0
3.37026E-5,4.000333654,0.062207968,0.325281964,0,0
3.58906E-5,4.250945,0.066110079,0.318095618,0,0
3.79689E-5,4.502813503,0.06980153,0.311308514,0,0
3.99898E-5,4.751673207,0.073377075,0.304920651,0,0
4.21155E-5,5.002019081,0.077123151,0.298832219,0,0
4.42393E-5,5.251711042,0.080850833,0.293043218,0,0
4.62659E-5,5.500668284,0.084393855,0.287553648,0,0
4.83118E-5,5.751238368,0.087956743,0.282263699,0,0
4.98449E-5,6.001626317,0.090617503,0.277173371,0,0
5.18492E-5,6.250996182,0.094084392,0.272282663,0,0
5.37382E-5,6.504734762,0.097339698,0.267491766,0,0
5.56874E-5,6.75145272,0.100686377,0.263000299,0,0
5.76245E-5,7.000805973,0.104000073,0.258608644,0,0
5.97116E-5,7.253172346,0.107556772,0.254316798,0,0
6.13928E-5,7.501655742,0.110411508,0.250224573,0,0
6.35413E-5,7.751308844,0.114046389,0.246232159,0,0
6.54009E-5,8.002726233,0.117180571,0.242339555,0,0
6.72975E-5,8.254827133,0.120365646,0.238546761,0,0
6.93675E-5,8.50044835,0.123828683,0.234953588,0,0
7.12971E-5,8.753950444,0.127044685,0.231360415,0,0
7.34933E-5,9.007218226,0.1306906,0.227867053,0,0
7.53576E-5,9.252792392,0.13377355,0.224573311,0,0
7.72366E-5,9.5044967,0.136869884,0.221279569,0,0
7.98809E-5,9.755556747,0.141208403,0.218085637,0,0
8.23966E-5,10.007022026,0.14531582,0.214991516,0,0
8.43578E-5,10.257289108,0.148504116,0.211997205,0,0
8.63189E-5,10.504327877,0.151680565,0.209102705,0,0
8.77949E-5,10.756604349,0.154063255,0.206208204,0,0
8.97137E-5,11.005411464,0.157151044,0.203413514,0,0
9.17933E-5,11.250470521,0.160484703,0.200718635,0,0
9.33372E-5,11.500270622,0.162951091,0.198023755,0,0
9.60053E-5,11.756552367,0.167196299,0.195328875,0,0
9.76493E-5,12.008547614,0.169801409,0.192733806,0,0
9.97002E-5,12.255426956,0.17303982,0.190238547,0,0
1.02298E-4,12.508574574,0.177124325,0.187743288,0,0
1.05099E-4,12.757086181,0.181504175,0.185347839,0,0
1.07139E-4,13.001080531,0.184679869,0.183052201,0,0
1.0941E-4,13.250060942,0.188201056,0.180756563,0,0
1.11984E-4,13.504434871,0.192173084,0.178460924,0,0
1.13729E-4,13.752532315,0.194855144,0.176265096,0,0
1.16425E-4,14.00643171,0.198981487,0.174069268,0,0
1.18658E-4,14.253483098,0.202382191,0.171973251,0,0
1.20784E-4,14.505076208,0.205607657,0.169877233,0,0
1.22506E-4,14.760713777,0.208210309,0.167781216,0,0
1.25192E-4,15.007871546,0.212253563,0.165785008,0,0
1.28268E-4,15.26175459,0.21685665,0.163788801,0,0
1.30547E-4,15.507436483,0.220251236,0.161892404,0,0
1.33003E-4,15.757751486,0.223892362,0.159996008,0,0
1.35623E-4,16.01303689,0.227757911,0.158099611,0,0
1.3696E-4,16.25840236,0.229722668,0.156303024,0,0
1.38887E-4,16.506935811,0.23254652,0.154506438,0,0
1.41472E-4,16.759649251,0.236317898,0.152709851,0,0
1.43592E-4,17.001834503,0.239397172,0.151013075,0,0
1.46126E-4,17.262344388,0.243060715,0.149216489,0,0
1.4915E-4,17.512993661,0.247410823,0.147519713,0,0
1.51448E-4,17.753719974,0.250699375,0.145922747,0,0
1.53032E-4,18.012727524,0.252957602,0.144225971,0,0
1.54898E-4,18.259138606,0.25560993,0.142629005,0,0
1.58008E-4,18.509377314,0.260008092,0.141032039,0,0
1.61211E-4,18.764673496,0.264511479,0.139435073,0,0
