Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.1378,2.6364,160,0.9778,10021,34.6154,0.0000,6.4268,56.9432,1.4037,0.5276,0.0832,52.1727,0.0000,0.0000,45.3216,0.7888,1.7169,0.0000,0.8240,2.1378,2.1378,1.0823,2.0967,2.1225,2.1299,0.3026,0.0806,0.2423,0.4105,0.0337,0.0000,0.0001,7.0745,0.0667,1.0000,0.0125,0.3858,0.0000,5.0000,0.0544,0.2255,0.0000,10.0000,0.1096,0.1539,0.0000,18.7148,0.2216,0.0933,0.0000,32.7236,0.4063,0.0475,0.0952,19.5691,0.2327,0.0894,0.0952,18.7148,0.2216,0.0933,0.0000,4.0878,0.0459,0.2465,0.0000,14.3325,0.1576,0.1179,0.0000
Gustavia_santanderiensis_1,21,1.9989,2.4080,180,0.9729,10020,38.4819,0.0000,9.3431,50.1496,0.7829,1.1520,0.0904,55.6699,0.0000,0.0000,40.7098,0.5516,3.0687,0.0000,0.6723,1.9989,1.9989,1.1397,1.9718,1.9620,1.9978,0.3786,0.1201,0.2101,0.3000,0.0886,0.0127,0.0000,7.2135,0.0766,1.0000,0.0132,0.4035,0.0000,5.0000,0.0612,0.2352,0.0000,10.0000,0.1232,0.1617,0.0000,12.6925,0.1585,0.1375,0.0000,29.6875,0.4006,0.0603,0.0952,27.5147,0.3633,0.0663,0.0476,27.5147,0.3633,0.0663,0.0476,4.2841,0.0527,0.2518,0.0000,12.9747,0.1612,0.1354,0.0476
Gustavia_santanderiensis_2,21,1.6173,2.1171,180,0.9645,10021,38.9894,0.0279,23.6287,34.0208,1.5238,1.2352,0.5742,53.3457,0.0099,0.0000,39.1004,1.2705,6.2735,0.0000,0.5475,1.6171,1.6173,1.0868,1.5639,1.5794,1.6104,0.3156,0.1188,0.2444,0.2426,0.0423,0.0037,0.0000,7.5951,0.1134,1.0000,0.0180,0.5127,0.0000,5.0000,0.0758,0.3194,0.0000,10.0000,0.1393,0.2291,0.0000,28.3898,0.3870,0.0966,0.0000,34.6224,0.4752,0.0745,0.0476,34.6224,0.4752,0.0745,0.0476,28.3898,0.3870,0.0966,0.0000,5.0280,0.0763,0.3187,0.0000,12.6342,0.1738,0.1984,0.0000
Gustavia_santanderiensis_3,21,1.6596,2.0682,160,0.9606,10019,40.3001,0.0041,21.4217,36.8251,0.7261,0.7230,0.0000,54.8867,0.0000,0.0000,42.5492,0.7455,1.8186,0.0000,0.6287,1.6595,1.6596,1.0563,1.6406,1.6380,1.6596,0.3239,0.1152,0.2425,0.2582,0.0565,0.0015,0.0003,7.5526,0.1089,1.0000,0.0168,0.4866,0.0000,5.0000,0.0771,0.2988,0.0000,10.0000,0.1453,0.2150,0.0000,20.7903,0.2880,0.1276,0.0000,24.4878,0.3408,0.1087,0.0952,24.4878,0.3408,0.1087,0.0952,20.7903,0.2880,0.1276,0.0000,4.7437,0.0732,0.3051,0.0000,12.2654,0.1734,0.1901,0.0000
Gustavia_santanderiensis_4,21,1.5346,1.8218,120,0.9506,10017,43.3677,0.0000,6.3689,49.8359,0.0487,0.3789,0.0000,60.0026,0.0000,0.0000,39.2697,0.0000,0.7278,0.0000,0.4970,1.5346,1.5346,0.8901,1.5327,1.5274,1.5346,0.3617,0.0928,0.1291,0.1971,0.0673,0.0022,0.0013,7.6774,0.1237,1.0000,0.0189,0.5102,0.0000,5.0000,0.0838,0.3144,0.0000,10.0000,0.1594,0.2296,0.0000,21.3799,0.3218,0.1360,0.0000,21.6703,0.3259,0.1344,0.0476,21.6703,0.3259,0.1344,0.1905,21.3799,0.3218,0.1360,0.0000,4.9335,0.0824,0.3161,0.0000,11.2130,0.1775,0.2154,0.0000
Gustavia_santanderiensis_5,21,1.5996,1.9374,160,0.9543,10019,41.1244,0.0000,21.0905,37.1277,0.3584,0.2990,0.0000,58.4598,0.0000,0.0000,39.7023,0.0000,1.8379,0.0000,0.5845,1.5996,1.5996,1.0801,1.5896,1.5894,1.5996,0.3467,0.0889,0.2188,0.2256,0.0528,0.0000,0.0050,7.6125,0.1158,1.0000,0.0175,0.4977,0.0000,5.0000,0.0806,0.3057,0.0000,10.0000,0.1528,0.2218,0.0000,21.8340,0.3190,0.1277,0.0000,23.1017,0.3330,0.1212,0.0952,23.1017,0.3330,0.1212,0.0952,21.8340,0.3190,0.1277,0.0000,4.8480,0.0776,0.3095,0.0000,11.7780,0.1760,0.2019,0.0000
Gustavia_santanderiensis_6,21,1.8493,2.2384,160,0.9687,10020,37.7151,0.3484,3.3789,57.2642,0.7853,0.5082,0.0000,54.7834,0.0000,0.1394,42.4870,0.6360,1.9542,0.0000,0.6328,1.8493,1.8478,0.9823,1.8219,1.8307,1.8493,0.3569,0.0550,0.1473,0.2788,0.0255,0.0000,0.0064,7.3630,0.0898,1.0000,0.0147,0.4356,0.0000,5.0000,0.0689,0.2611,0.0000,10.0000,0.1355,0.1847,0.0000,18.1913,0.2416,0.1212,0.0000,28.2622,0.3811,0.0775,0.0952,23.5036,0.3119,0.0952,0.0952,18.1913,0.2416,0.1212,0.0000,4.3804,0.0610,0.2757,0.0000,12.9191,0.1741,0.1573,0.0000
Gustavia_santanderiensis_7,21,1.9923,2.5073,220,0.9757,10020,32.7255,0.3010,13.9695,49.3902,1.4693,1.5080,0.6365,48.4553,0.2331,0.0000,43.8984,3.1523,4.1513,0.1096,0.8104,1.9824,1.9923,1.1104,1.9267,1.9448,1.9821,0.2883,0.1677,0.2890,0.3686,0.0724,0.0138,0.0029,7.2199,0.0770,1.0000,0.0138,0.4159,0.0000,5.0000,0.0592,0.2462,0.0000,10.0000,0.1149,0.1684,0.0000,24.1863,0.3114,0.0783,0.0000,30.5704,0.4064,0.0586,0.0952,24.2137,0.3116,0.0783,0.0952,24.1863,0.3114,0.0783,0.0000,4.4789,0.0529,0.2586,0.0000,13.4637,0.1580,0.1363,0.0000
Gustavia_santanderiensis_8,21,2.0127,2.4060,120,0.9729,10018,33.9384,1.9206,3.9752,57.1309,2.7362,0.2986,0.0000,53.0719,0.2694,0.0000,45.3528,0.8065,0.4994,0.0000,0.7089,2.0087,2.0127,1.0934,1.9649,1.9919,2.0127,0.3171,0.0249,0.1882,0.3455,0.0077,0.0175,0.0090,7.1992,0.0762,1.0000,0.0125,0.4204,0.0000,5.0000,0.0582,0.2452,0.0000,10.0000,0.1189,0.1707,0.0000,19.0493,0.2337,0.1048,0.0000,20.5200,0.2506,0.0978,0.0952,20.5200,0.2506,0.0978,0.0952,19.0493,0.2337,0.1048,0.0000,4.3952,0.0520,0.2595,0.0000,14.3074,0.1717,0.1336,0.0000
Gustavia_santanderiensis_9,21,1.6782,1.9793,160,0.9572,10019,44.6768,0.0000,27.9498,26.8011,0.0124,0.5600,0.0000,60.5010,0.0000,0.0000,37.2024,0.0000,2.2966,0.0000,0.5462,1.6782,1.6781,1.2462,1.6779,1.6641,1.6782,0.4020,0.1485,0.2456,0.2030,0.1098,0.0143,0.0000,7.5337,0.1065,1.0000,0.0167,0.4668,0.0000,5.0000,0.0795,0.2807,0.0000,10.0000,0.1510,0.2015,0.0000,16.7834,0.2433,0.1426,0.0000,36.7762,0.5285,0.0629,0.0952,26.3056,0.3902,0.0952,0.0952,16.7834,0.2433,0.1426,0.0000,4.5015,0.0719,0.2925,0.0000,11.4038,0.1707,0.1866,0.0000
