Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.54058E-12,0.000000001,0.000000011,0.999301467,0,0
1.02773E-11,0.000000003,0.00000002,0.999002096,0,0
1.71813E-11,0.000000012,0.000000033,0.998403353,0,0
4.2682E-11,0.000000027,0.000000082,0.997904401,0,0
1.06093E-10,0.0000001,0.000000204,0.997006287,0,0
2.12584E-10,0.000000257,0.000000408,0.996008382,0,0
5.43532E-10,0.000001031,0.000001043,0.993912783,0,0
9.99695E-10,0.000002596,0.000001918,0.991916974,0,0
2.16496E-9,0.00001016,0.000004154,0.987526195,0,0
3.53381E-9,0.000025285,0.000006781,0.982337092,0,0
5.62529E-9,0.000050036,0.000010794,0.977048199,0,0
8.5415E-9,0.000100013,0.000016389,0.970062868,0,0
1.60692E-8,0.000250364,0.000030833,0.957788644,0,0
2.5761E-8,0.000500378,0.000049429,0.946013372,0,0
4.36403E-8,0.001003004,0.000083734,0.931244387,0,0
8.6084E-8,0.002505984,0.000165165,0.907294681,0,0
1.44248E-7,0.005013317,0.000276745,0.885440575,0,0
2.50916E-7,0.010013097,0.000481342,0.859894222,0,0
4.86669E-7,0.025030143,0.000933385,0.818880351,0,0
7.99008E-7,0.050034292,0.001531963,0.78006187,0,0
1.31376E-6,0.100020835,0.002517673,0.732162459,0,0
2.19116E-6,0.200065779,0.004195575,0.674683165,0,0
2.98058E-6,0.300264773,0.005702827,0.635665103,0,0
3.80036E-6,0.400082758,0.007265609,0.606226923,0,0
4.62632E-6,0.500105828,0.008837703,0.582476799,0,0
5.40258E-6,0.600050665,0.010312938,0.562618501,0,0
6.11305E-6,0.700267703,0.011661214,0.545254965,0,0
6.48245E-6,0.750090315,0.01236149,0.53737152,0,0
6.86174E-6,0.80017789,0.013080016,0.529887237,0,0
7.56453E-6,0.900442852,0.014410008,0.516016366,0,0
8.33392E-6,1.000018093,0.015863964,0.503542561,0,0
9.05433E-6,1.100891959,0.01722341,0.49196687,0,0
9.72774E-6,1.200613182,0.018492489,0.481389083,0,0
1.0521E-5,1.300447901,0.019985352,0.47160962,0,0
1.11982E-5,1.400361382,0.021257927,0.462428899,0,0
1.19567E-5,1.500197689,0.022681406,0.453846921,0,0
1.36418E-5,1.751107662,0.025836348,0.434287995,0,0
1.54477E-5,2.000683439,0.02920602,0.41722383,0,0
1.74522E-5,2.25173037,0.03293276,0.401955893,0,0
1.95549E-5,2.501797748,0.036826824,0.388484183,0,0
2.16495E-5,2.751711846,0.040690147,0.37640954,0,0
2.35504E-5,3.002297152,0.04418273,0.365332801,0,0
2.547E-5,3.250872786,0.047696838,0.355253967,0,0
2.75037E-5,3.500374677,0.051405799,0.345873665,0,0
2.91694E-5,3.752720278,0.05443278,0.336992316,0,0
