Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.88699E-12,0.000000001,0.000000005,0.998702724,0,0
1.38184E-11,0.000000003,0.000000023,0.998403353,0,0
5.76929E-11,0.000000016,0.000000097,0.998103982,0,0
1.03319E-10,0.000000033,0.000000173,0.997904401,0,0
1.90168E-10,0.000000114,0.000000319,0.997405449,0,0
3.27257E-10,0.000000261,0.000000548,0.996806706,0,0
8.38033E-10,0.000001083,0.000001404,0.99540964,0,0
1.95098E-9,0.000002501,0.000003268,0.994311945,0,0
3.67536E-9,0.000010059,0.000006156,0.991617603,0,0
6.50388E-9,0.00002517,0.000010894,0.988823471,0,0
9.72193E-9,0.000050328,0.000016284,0.985729967,0,0
1.55052E-8,0.000100411,0.00002597,0.98183814,0,0
2.52612E-8,0.000251566,0.000042311,0.974553438,0,0
3.9849E-8,0.000501588,0.000066744,0.966969364,0,0
6.24344E-8,0.001004153,0.00010457,0.95699032,0,0
1.0542E-7,0.002508021,0.000176559,0.939028041,0,0
1.65413E-7,0.005005213,0.000277024,0.920367229,0,0
2.6051E-7,0.010016447,0.000436252,0.896517314,0,0
4.75153E-7,0.025034704,0.00079555,0.855503443,0,0
7.58446E-7,0.050062933,0.001269567,0.814689153,0,0
1.20236E-6,0.100012232,0.002011896,0.762897914,0,0
2.04792E-6,0.200117095,0.003424329,0.699830356,0,0
2.87266E-6,0.300055641,0.00480006,0.658916276,0,0
3.63639E-6,0.400249279,0.006072321,0.628280611,0,0
4.3904E-6,0.500278771,0.007326803,0.603333001,0,0
5.05769E-6,0.600321794,0.008435697,0.582177427,0,0
5.72728E-6,0.700538465,0.009547145,0.563616406,0,0
6.17373E-6,0.75044485,0.010287515,0.555234009,0,0
6.59779E-6,0.800154859,0.010990258,0.547450354,0,0
7.28936E-6,0.900345366,0.012135213,0.533080531,0,0
8.00239E-6,1.000635499,0.013314318,0.520007983,0,0
8.66259E-6,1.100546936,0.014404806,0.50803313,0,0
9.32527E-6,1.200439952,0.015498189,0.496956392,0,0
1.00972E-5,1.300525531,0.016770328,0.486677976,0,0
1.07531E-5,1.400512298,0.017849904,0.477098094,0,0
1.16134E-5,1.500773737,0.01926414,0.468116954,0,0
1.3407E-5,1.750902987,0.022206078,0.448059076,0,0
1.49031E-5,2.001054374,0.024653169,0.430396168,0,0
1.67958E-5,2.251426393,0.027740402,0.414629279,0,0
1.87841E-5,2.50179682,0.030972931,0.400459036,0,0
2.05317E-5,2.750616018,0.033805382,0.387885441,0,0
2.21148E-5,3.001789587,0.036363972,0.376110169,0,0
2.41368E-5,3.251672784,0.03962213,0.365332801,0,0
2.59411E-5,3.500592593,0.042520085,0.355453548,0,0
2.80134E-5,3.751660152,0.045837692,0.346173037,0,0
2.98133E-5,4.002404974,0.048710084,0.337491268,0,0
3.15676E-5,4.251278929,0.051501157,0.329408243,0,0
3.34788E-5,4.501810076,0.054532741,0.321724379,0,0
3.54292E-5,4.75025441,0.057616306,0.314539467,0,0
3.75078E-5,5.001203555,0.060891614,0.307653927,0,0
3.95548E-5,5.251934608,0.064106062,0.301167548,0,0
4.129E-5,5.502007729,0.066822092,0.294980541,0,0
4.31917E-5,5.751352859,0.069789836,0.289092905,0,0
4.48831E-5,6.002609896,0.072421365,0.28340485,0,0
4.64991E-5,6.253673087,0.074928756,0.277916376,0,0
4.84736E-5,6.501005452,0.077983058,0.272727273,0,0
5.01933E-5,6.751838978,0.080635183,0.26763796,0,0
5.22379E-5,7.002738871,0.083778301,0.262748229,0,0
5.4084E-5,7.252611354,0.086606977,0.258058078,0,0
5.55856E-5,7.505056395,0.08890137,0.253467718,0,0
5.75411E-5,7.754185743,0.091880698,0.249076938,0,0
5.97468E-5,8.001207565,0.095229486,0.24488574,0,0
6.24863E-5,8.251169503,0.09937166,0.240794332,0,0
6.39591E-5,8.503976606,0.101590646,0.236802714,0,0
6.57796E-5,8.750954491,0.104326069,0.233010678,0,0
6.76102E-5,9.004630029,0.107068163,0.229218641,0,0
6.96206E-5,9.251290348,0.110069864,0.225626185,0,0
7.15264E-5,9.505131583,0.112906208,0.222033729,0,0
7.32843E-5,9.751589881,0.115514315,0.218640854,0,0
7.49278E-5,10.003674413,0.117945697,0.215247979,0,0
7.66289E-5,10.253648659,0.120455347,0.211954895,0,0
7.83363E-5,10.501287207,0.122967219,0.208761601,0,0
8.04594E-5,10.756047133,0.126080505,0.205568307,0,0
8.26345E-5,11.001003861,0.129258616,0.202574593,0,0
8.54632E-5,11.253277768,0.133374367,0.19958088,0,0
8.74446E-5,11.503981142,0.136245763,0.196686957,0,0
8.95781E-5,11.752391395,0.139326915,0.193892825,0,0
9.22584E-5,12.006819069,0.143182119,0.191098693,0,0
9.4263E-5,12.258565848,0.146054289,0.188404351,0,0
9.64826E-5,12.506338204,0.149223083,0.185809799,0,0
9.81596E-5,12.759481782,0.151609453,0.183215248,0,0
9.99375E-5,13.006907233,0.154132149,0.180720487,0,0
1.02109E-4,13.25967508,0.157203056,0.178225726,0,0
1.04117E-4,13.507672249,0.160033708,0.175830755,0,0
1.07062E-4,13.750687473,0.164166693,0.173535575,0,0
1.08696E-4,14.009698538,0.166450933,0.171140605,0,0
1.10731E-4,14.251091273,0.16928725,0.168945215,0,0
1.1436E-4,14.509686972,0.174321636,0.166650035,0,0
1.16393E-4,14.752220199,0.177128598,0.164554436,0,0
1.18579E-4,15.010946731,0.180135039,0.162359046,0,0
1.20997E-4,15.250358407,0.183449169,0.160363237,0,0
1.23354E-4,15.507395323,0.1866663,0.158267638,0,0
1.26526E-4,15.757322139,0.190976082,0.156271829,0,0
1.29076E-4,16.000430935,0.194424878,0.154375811,0,0
1.30916E-4,16.260799807,0.196903923,0.152380002,0,0
1.32762E-4,16.51123979,0.19938299,0.150483984,0,0
1.34087E-4,16.751482995,0.201157779,0.148687756,0,0
1.36264E-4,17.008554396,0.204065779,0.146791737,0,0
1.38989E-4,17.256463552,0.207689723,0.144995509,0,0
1.41432E-4,17.509429928,0.210924843,0.143199282,0,0
1.43449E-4,17.751978588,0.213586537,0.141502844,0,0
1.46191E-4,18.012751181,0.21718955,0.139706616,0,0
1.48796E-4,18.26353763,0.220598395,0.138010179,0,0
