LATITUDE,LONGITUDE
6.1902220,-74.5912220
5.9679720,-74.2231110
6.0488890,-74.2944440
5.6386940,-74.7775280
5.6671670,-74.7375830
5.5451940,-74.8594170
5.5686670,-74.9006390
5.5593610,-74.9097220
5.6894440,-74.7772220
5.6844170,-74.7378890
5.4074440,-74.8858330
5.3227780,-74.8544440
5.5746970,-74.6687060
5.6763060,-74.7667500
5.6762500,-74.7663330
5.6435830,-74.7708060
4.4242500,-74.8169170
6.4380560,-74.3686110
6.4402780,-74.3727780
6.2626940,-74.4734440
6.4714170,-74.3519330
6.5150280,-74.3236670
6.5154170,-74.1031940
6.2738890,-74.4063890
